Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 15:15:02.170,175186.642,0.527,0.797,0.296,0.005,0.022,0.011,-0.974,-0.113,0.237,2.082,-0.922,2.383
2024-09-23 15:15:02.180,175186.652,0.529,0.793,0.302,0.03,0.055,0.028,-0.745,-0.073,0.217,2.089,-0.916,2.393
2024-09-23 15:15:02.191,175186.662,0.531,0.79,0.306,0.025,0.069,0.027,-0.476,-0.03,0.222,2.094,-0.911,2.4
2024-09-23 15:15:02.200,175186.672,0.533,0.788,0.31,0.008,0.062,0.009,-0.283,0.021,0.201,2.097,-0.907,2.404
2024-09-23 15:15:02.210,175186.682,0.534,0.786,0.311,-0.007,0.013,-0.019,-0.148,0.006,0.189,2.098,-0.904,2.405
2024-09-23 15:15:02.220,175186.692,0.536,0.784,0.313,-0.024,-0.041,-0.019,-0.298,0.024,0.201,2.099,-0.902,2.406
2024-09-23 15:15:02.230,175186.702,0.537,0.782,0.315,-0.023,-0.069,0.019,-0.353,-0.053,0.153,2.102,-0.898,2.409
2024-09-23 15:15:02.240,175186.712,0.538,0.781,0.318,0.011,-0.078,0.07,-0.243,-0.045,0.105,2.104,-0.896,2.413
2024-09-23 15:15:02.250,175186.722,0.539,0.78,0.319,-0.002,-0.077,0.032,-0.195,-0.086,0.023,2.105,-0.894,2.415
2024-09-23 15:15:02.260,175186.732,0.539,0.779,0.32,0.004,-0.005,-0.006,-0.119,-0.123,0.003,2.106,-0.893,2.417
2024-09-23 15:15:02.270,175186.742,0.54,0.779,0.319,0.02,-0.012,0.003,-0.001,-0.124,-0.041,2.105,-0.893,2.418
2024-09-23 15:15:02.280,175186.751,0.54,0.779,0.318,0.043,-0.075,0.019,0.037,-0.102,-0.059,2.104,-0.894,2.418
2024-09-23 15:15:02.290,175186.761,0.539,0.78,0.318,0.053,0.015,0.003,0.036,-0.106,-0.065,2.103,-0.894,2.418
2024-09-23 15:15:02.300,175186.771,0.539,0.78,0.317,0.022,0.002,-0.013,0.024,-0.152,-0.069,2.102,-0.895,2.418
2024-09-23 15:15:02.310,175186.781,0.539,0.781,0.316,0.0,-0.033,-0.014,0.014,-0.194,-0.065,2.1,-0.896,2.419
2024-09-23 15:15:02.319,175186.791,0.539,0.781,0.314,-0.005,-0.037,0.015,0.06,-0.226,-0.077,2.098,-0.897,2.419
2024-09-23 15:15:02.330,175186.801,0.54,0.782,0.312,-0.004,-0.026,0.04,0.147,-0.246,-0.069,2.095,-0.898,2.418
2024-09-23 15:15:02.340,175186.811,0.54,0.783,0.309,-0.007,0.003,0.044,0.246,-0.267,-0.071,2.091,-0.899,2.416
2024-09-23 15:15:02.350,175186.821,0.54,0.784,0.306,-0.011,0.025,0.043,0.329,-0.29,-0.077,2.086,-0.901,2.412
2024-09-23 15:15:02.360,175186.831,0.54,0.786,0.301,-0.011,0.033,0.03,0.311,-0.268,-0.093,2.08,-0.904,2.408
2024-09-23 15:15:02.371,175186.841,0.54,0.787,0.298,-0.01,0.028,0.014,0.209,-0.26,-0.098,2.075,-0.906,2.405
2024-09-23 15:15:02.380,175186.851,0.54,0.788,0.295,-0.019,0.014,0.003,0.108,-0.268,-0.108,2.071,-0.907,2.404
2024-09-23 15:15:02.389,175186.861,0.54,0.789,0.293,-0.024,-0.044,0.002,-0.003,-0.284,-0.111,2.068,-0.908,2.404
2024-09-23 15:15:02.399,175186.871,0.54,0.789,0.293,-0.008,-0.064,0.004,-0.196,-0.319,-0.108,2.067,-0.909,2.406
2024-09-23 15:15:02.409,175186.881,0.541,0.789,0.293,0.002,-0.051,0.019,-0.268,-0.293,-0.102,2.067,-0.909,2.41
2024-09-23 15:15:02.419,175186.891,0.541,0.788,0.294,0.006,-0.054,0.032,-0.251,-0.313,-0.167,2.068,-0.908,2.416
2024-09-23 15:15:02.429,175186.901,0.54,0.789,0.293,0.004,-0.026,0.021,-0.155,-0.316,-0.112,2.068,-0.908,2.42
2024-09-23 15:15:02.440,175186.911,0.54,0.789,0.292,-0.024,0.024,-0.053,-0.051,-0.293,-0.15,2.067,-0.909,2.422
2024-09-23 15:15:02.450,175186.921,0.54,0.79,0.292,0.013,0.024,-0.056,-0.079,-0.213,-0.106,2.066,-0.91,2.424
2024-09-23 15:15:02.459,175186.931,0.54,0.79,0.291,0.027,0.049,-0.045,-0.077,-0.163,-0.072,2.065,-0.91,2.426
2024-09-23 15:15:02.469,175186.941,0.54,0.79,0.291,-0.003,0.023,-0.026,-0.116,-0.128,-0.078,2.066,-0.911,2.428
2024-09-23 15:15:02.479,175186.951,0.539,0.79,0.292,-0.018,0.011,0.014,-0.155,-0.131,-0.098,2.066,-0.911,2.43
2024-09-23 15:15:02.489,175186.961,0.539,0.79,0.292,-0.021,-0.013,0.06,-0.187,-0.129,-0.112,2.068,-0.911,2.434
2024-09-23 15:15:02.499,175186.971,0.538,0.79,0.293,-0.011,-0.047,0.088,-0.2,-0.116,-0.125,2.069,-0.911,2.437
2024-09-23 15:15:02.510,175186.981,0.538,0.79,0.294,0.003,-0.036,0.074,-0.187,-0.096,-0.134,2.071,-0.911,2.441
