Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 15:06:23.186,174667.653,-0.079,0.827,-0.556,-0.005,0.005,0.013,-0.009,0.046,0.006,-0.14,-0.974,0.645
2024-09-23 15:06:23.196,174667.663,-0.078,0.827,-0.557,-0.006,0.006,0.013,0.007,0.057,0.02,-0.14,-0.974,0.645
2024-09-23 15:06:23.206,174667.673,-0.078,0.827,-0.557,-0.006,-0.013,0.009,0.025,0.061,0.036,-0.139,-0.974,0.646
2024-09-23 15:06:23.216,174667.683,-0.077,0.827,-0.557,-0.009,-0.011,0.007,0.047,0.044,0.042,-0.138,-0.973,0.647
2024-09-23 15:06:23.226,174667.693,-0.077,0.826,-0.558,-0.008,0.0,0.005,0.111,0.017,0.043,-0.137,-0.973,0.648
2024-09-23 15:06:23.236,174667.703,-0.076,0.826,-0.559,-0.0,0.013,0.001,0.183,-0.015,0.017,-0.136,-0.971,0.649
2024-09-23 15:06:23.246,174667.713,-0.076,0.825,-0.561,0.01,0.016,0.016,0.194,-0.049,-0.009,-0.136,-0.969,0.649
2024-09-23 15:06:23.256,174667.723,-0.077,0.823,-0.562,0.02,0.034,0.022,0.17,-0.061,-0.037,-0.136,-0.967,0.649
2024-09-23 15:06:23.267,174667.733,-0.078,0.823,-0.563,0.023,0.047,0.009,0.115,-0.056,-0.056,-0.137,-0.966,0.649
2024-09-23 15:06:23.276,174667.743,-0.079,0.822,-0.564,0.016,0.01,-0.004,0.033,-0.044,-0.055,-0.138,-0.965,0.648
2024-09-23 15:06:23.285,174667.753,-0.079,0.822,-0.564,0.005,-0.029,-0.013,-0.026,-0.035,-0.034,-0.14,-0.965,0.647
2024-09-23 15:06:23.296,174667.763,-0.08,0.822,-0.563,-0.002,-0.037,-0.022,-0.061,-0.027,-0.016,-0.14,-0.966,0.646
2024-09-23 15:06:23.307,174667.773,-0.08,0.823,-0.563,-0.008,-0.031,-0.015,-0.073,-0.021,0.005,-0.141,-0.966,0.646
2024-09-23 15:06:23.315,174667.783,-0.08,0.823,-0.562,-0.008,-0.017,-0.01,-0.024,-0.018,0.017,-0.141,-0.967,0.646
2024-09-23 15:06:23.325,174667.793,-0.08,0.823,-0.562,-0.007,-0.009,-0.0,0.016,-0.019,0.035,-0.141,-0.967,0.647
2024-09-23 15:06:23.335,174667.803,-0.079,0.823,-0.562,-0.007,-0.008,0.017,0.068,-0.015,0.042,-0.14,-0.967,0.647
2024-09-23 15:06:23.345,174667.813,-0.079,0.823,-0.563,-0.007,0.011,0.02,0.097,-0.019,0.033,-0.139,-0.966,0.648
2024-09-23 15:06:23.355,174667.823,-0.079,0.822,-0.564,-0.005,0.021,0.017,0.124,-0.024,0.016,-0.139,-0.965,0.649
2024-09-23 15:06:23.365,174667.833,-0.079,0.822,-0.565,0.0,0.01,0.013,0.114,-0.029,-0.007,-0.139,-0.964,0.65
