Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 14:37:33.352,172937.819,0.083,0.759,-0.646,0.008,0.042,0.009,0.406,-0.185,-0.066,0.128,-0.861,0.792
2024-09-23 14:37:33.362,172937.829,0.082,0.756,-0.65,0.019,0.036,0.031,0.434,0.018,-0.017,0.126,-0.857,0.79
2024-09-23 14:37:33.372,172937.839,0.082,0.753,-0.652,0.015,0.055,0.039,0.252,-0.028,-0.019,0.125,-0.853,0.789
2024-09-23 14:37:33.382,172937.849,0.082,0.752,-0.654,-0.04,0.118,0.009,0.099,0.063,-0.044,0.125,-0.851,0.789
2024-09-23 14:37:33.392,172937.859,0.083,0.752,-0.654,-0.039,-0.046,-0.047,-0.021,0.091,0.002,0.126,-0.851,0.788
2024-09-23 14:37:33.403,172937.869,0.083,0.752,-0.653,-0.005,-0.169,-0.024,-0.077,0.111,0.011,0.127,-0.852,0.788
2024-09-23 14:37:33.412,172937.879,0.084,0.753,-0.652,-0.044,0.002,-0.019,-0.134,0.082,0.021,0.128,-0.853,0.789
2024-09-23 14:37:33.422,172937.889,0.084,0.754,-0.651,-0.029,-0.044,-0.003,-0.164,0.019,0.028,0.129,-0.854,0.789
2024-09-23 14:37:33.432,172937.899,0.085,0.755,-0.65,-0.014,-0.075,0.009,-0.187,-0.014,0.034,0.13,-0.856,0.79
2024-09-23 14:37:33.442,172937.909,0.085,0.757,-0.648,-0.009,-0.041,0.009,-0.221,-0.027,0.027,0.13,-0.858,0.791
2024-09-23 14:37:33.452,172937.919,0.085,0.758,-0.647,0.002,-0.028,0.0,-0.231,-0.029,0.025,0.13,-0.86,0.792
2024-09-23 14:37:33.463,172937.929,0.085,0.759,-0.645,0.001,-0.01,-0.004,-0.181,0.011,0.017,0.131,-0.863,0.793
2024-09-23 14:37:33.472,172937.939,0.085,0.761,-0.644,-0.004,-0.001,0.016,-0.155,0.048,0.011,0.132,-0.864,0.793
2024-09-23 14:37:33.481,172937.949,0.085,0.761,-0.643,-0.007,-0.002,0.008,-0.137,0.025,-0.005,0.132,-0.865,0.794
2024-09-23 14:37:33.491,172937.959,0.085,0.762,-0.642,-0.009,0.035,-0.001,-0.082,0.006,-0.023,0.132,-0.867,0.794
2024-09-23 14:37:33.501,172937.969,0.085,0.762,-0.642,-0.004,0.013,-0.001,0.007,-0.025,-0.049,0.132,-0.867,0.793
2024-09-23 14:37:33.512,172937.979,0.084,0.762,-0.642,0.005,0.002,0.008,0.114,-0.042,-0.071,0.131,-0.866,0.792
2024-09-23 14:37:33.522,172937.989,0.084,0.761,-0.643,0.006,0.036,0.024,0.19,-0.068,-0.083,0.129,-0.865,0.791
