Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:24:13.568,161786.405,0.036,0.815,-0.579,0.0,-0.028,-0.012,-0.12,0.005,0.018,0.062,-0.952,1.481
2024-09-23 11:24:13.578,161786.415,0.036,0.815,-0.578,0.0,-0.01,-0.001,-0.065,-0.016,-0.004,0.062,-0.954,1.481
2024-09-23 11:24:13.588,161786.425,0.036,0.816,-0.577,0.003,0.022,0.012,-0.028,-0.055,-0.02,0.061,-0.954,1.481
2024-09-23 11:24:13.598,161786.435,0.035,0.816,-0.577,0.012,0.035,0.013,0.01,-0.087,-0.027,0.06,-0.954,1.481
2024-09-23 11:24:13.608,161786.445,0.034,0.816,-0.578,0.019,0.017,0.008,0.056,-0.09,-0.037,0.059,-0.954,1.48
2024-09-23 11:24:13.618,161786.455,0.033,0.815,-0.578,0.015,0.006,0.008,0.088,-0.071,-0.047,0.057,-0.953,1.479
2024-09-23 11:24:13.628,161786.465,0.032,0.814,-0.579,0.007,0.022,0.012,0.113,-0.045,-0.042,0.056,-0.952,1.478
2024-09-23 11:24:13.638,161786.475,0.032,0.814,-0.581,-0.001,0.03,0.011,0.133,0.008,-0.036,0.055,-0.95,1.477
2024-09-23 11:24:13.648,161786.485,0.032,0.813,-0.582,-0.007,0.001,0.013,0.111,0.07,-0.029,0.055,-0.949,1.477
2024-09-23 11:24:13.657,161786.495,0.032,0.812,-0.582,-0.014,-0.012,0.009,0.083,0.09,-0.024,0.055,-0.948,1.476
2024-09-23 11:24:13.667,161786.505,0.033,0.812,-0.583,-0.02,0.002,0.005,0.069,0.07,-0.023,0.056,-0.947,1.476
2024-09-23 11:24:13.678,161786.515,0.033,0.812,-0.583,-0.016,-0.011,-0.001,0.09,0.047,-0.027,0.056,-0.947,1.475
2024-09-23 11:24:13.688,161786.525,0.033,0.811,-0.584,0.001,-0.022,-0.002,0.148,0.027,-0.027,0.056,-0.946,1.475
2024-09-23 11:24:13.697,161786.535,0.033,0.81,-0.586,0.007,0.006,0.004,0.23,0.001,-0.034,0.056,-0.944,1.474
2024-09-23 11:24:13.708,161786.545,0.032,0.808,-0.588,0.007,0.032,0.017,0.307,-0.023,-0.041,0.055,-0.941,1.473
