,Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
0,2024-10-15 14:03:45.252,74976.688,0.1,0.485,-0.869,0.003,-0.041,0.04,0.07,-0.028,-0.004,0.114,-0.506,0.557
1,2024-10-15 14:03:45.266,74976.698,0.099,0.484,-0.869,0.084,-0.018,0.035,0.08,-0.06,0.107,0.114,-0.505,0.558
2,2024-10-15 14:03:45.270,74976.708,0.1,0.483,-0.87,0.033,0.03,0.011,0.045,-0.012,0.166,0.114,-0.505,0.559
3,2024-10-15 14:03:45.271,74976.718,0.101,0.483,-0.87,-0.045,0.031,0.003,0.021,0.083,0.156,0.115,-0.504,0.561
4,2024-10-15 14:03:45.273,74976.728,0.102,0.483,-0.87,-0.068,-0.003,0.002,0.044,0.111,0.133,0.117,-0.504,0.563
5,2024-10-15 14:03:45.283,74976.738,0.104,0.482,-0.87,-0.037,-0.018,0.003,0.023,0.09,0.121,0.119,-0.503,0.564
6,2024-10-15 14:03:45.292,74976.748,0.105,0.482,-0.87,0.006,-0.012,0.006,-0.001,0.076,0.107,0.12,-0.503,0.565
7,2024-10-15 14:03:45.303,74976.758,0.106,0.482,-0.87,0.015,-0.022,0.003,-0.076,0.076,0.088,0.122,-0.503,0.566
8,2024-10-15 14:03:45.313,74976.768,0.107,0.483,-0.869,0.001,-0.035,0.003,-0.107,0.09,0.105,0.123,-0.504,0.568
9,2024-10-15 14:03:45.323,74976.778,0.109,0.484,-0.868,-0.01,-0.036,0.003,-0.121,0.112,0.125,0.125,-0.505,0.569
10,2024-10-15 14:03:45.334,74976.788,0.11,0.485,-0.868,-0.014,-0.017,-0.003,-0.132,0.122,0.13,0.127,-0.506,0.571
11,2024-10-15 14:03:45.343,74976.798,0.112,0.486,-0.867,-0.014,0.001,0.0,-0.148,0.142,0.088,0.129,-0.507,0.572
12,2024-10-15 14:03:45.355,74976.808,0.113,0.487,-0.866,-0.005,-0.002,0.001,-0.114,0.09,0.068,0.13,-0.509,0.573
13,2024-10-15 14:03:45.364,74976.818,0.115,0.488,-0.865,0.005,-0.016,0.001,-0.124,0.085,0.089,0.132,-0.51,0.574
14,2024-10-15 14:03:45.374,74976.828,0.116,0.489,-0.865,0.013,-0.011,0.004,-0.142,0.066,0.143,0.133,-0.511,0.576
15,2024-10-15 14:03:45.384,74976.838,0.117,0.49,-0.864,0.002,-0.002,0.005,-0.17,0.077,0.16,0.135,-0.512,0.578
16,2024-10-15 14:03:45.393,74976.848,0.119,0.491,-0.863,-0.013,-0.007,-0.001,-0.223,0.116,0.144,0.137,-0.514,0.579
17,2024-10-15 14:03:45.405,74976.858,0.121,0.493,-0.861,-0.019,-0.028,-0.005,-0.26,0.142,0.137,0.139,-0.516,0.581
18,2024-10-15 14:03:45.413,74976.868,0.122,0.495,-0.86,-0.012,-0.036,-0.005,-0.296,0.167,0.134,0.141,-0.518,0.583
19,2024-10-15 14:03:45.423,74976.878,0.124,0.498,-0.858,-0.007,-0.03,-0.003,-0.389,0.187,0.101,0.144,-0.522,0.585
20,2024-10-15 14:03:45.433,74976.888,0.127,0.502,-0.856,-0.014,-0.032,-0.0,-0.441,0.245,0.086,0.147,-0.526,0.587
