iter	Passed	Remaining
0	6	688
1	13	639
2	19	615
3	26	628
4	33	643
5	41	653
6	45	606
7	50	579
8	53	544
9	58	529
10	63	516
11	66	490
12	71	477
13	75	465
14	78	446
15	82	435
16	86	424
17	90	412
18	94	400
19	97	388
20	100	376
21	103	367
22	106	357
23	109	345
24	112	336
25	114	325
26	117	316
27	119	307
28	121	297
29	123	288
30	125	280
31	127	271
32	128	261
33	130	252
34	132	245
35	133	237
36	135	230
37	136	222
38	138	215
39	139	209
40	141	203
41	142	196
42	143	190
43	145	184
44	146	178
45	147	173
46	148	167
47	149	162
48	151	157
49	152	152
50	153	147
51	154	142
52	156	138
53	157	134
54	158	130
55	160	125
56	161	121
57	162	117
58	163	113
59	164	109
60	165	106
61	167	102
62	168	98
63	169	95
64	170	91
65	171	88
66	173	85
67	174	82
68	176	79
69	177	76
70	179	73
71	180	70
72	182	67
73	183	64
74	185	61
75	186	58
76	188	56
77	189	53
78	191	50
79	192	48
80	194	45
81	195	42
82	196	40
83	198	37
84	199	35
85	200	32
86	202	30
87	203	27
88	204	25
89	205	22
90	206	20
91	208	18
92	209	15
93	210	13
94	211	11
95	213	8
96	214	6
97	215	4
98	216	2
99	217	0
