Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:53:52.836,74383.932,-0.118,-0.38,-0.917,-0.02,0.002,0.002,-0.084,0.026,-0.002,-0.128,0.39,1.393
2024-10-15 13:53:52.850,74383.942,-0.118,-0.38,-0.918,0.001,-0.006,0.008,-0.075,0.032,-0.009,-0.128,0.389,1.393
2024-10-15 13:53:52.853,74383.952,-0.117,-0.379,-0.918,0.011,-0.003,0.013,-0.053,0.043,-0.01,-0.127,0.389,1.393
2024-10-15 13:53:52.855,74383.962,-0.117,-0.379,-0.918,0.002,0.002,0.012,-0.044,0.042,-0.011,-0.127,0.388,1.393
2024-10-15 13:53:52.856,74383.972,-0.117,-0.378,-0.918,0.003,0.002,0.011,-0.05,0.04,-0.013,-0.126,0.388,1.392
2024-10-15 13:53:52.858,74383.982,-0.116,-0.378,-0.919,0.009,-0.004,0.013,-0.06,0.033,-0.012,-0.126,0.387,1.392
2024-10-15 13:53:52.859,74383.992,-0.116,-0.377,-0.919,0.008,-0.012,0.015,-0.067,0.024,-0.01,-0.125,0.387,1.392
2024-10-15 13:53:52.860,74384.002,-0.116,-0.377,-0.919,0.01,-0.015,0.017,-0.067,0.017,-0.016,-0.125,0.386,1.392
2024-10-15 13:53:52.862,74384.012,-0.115,-0.376,-0.919,0.013,-0.013,0.018,-0.059,0.009,-0.018,-0.125,0.386,1.391
2024-10-15 13:53:52.863,74384.022,-0.115,-0.376,-0.92,0.013,-0.01,0.015,-0.047,0.003,-0.016,-0.125,0.385,1.391
2024-10-15 13:53:52.865,74384.032,-0.115,-0.375,-0.92,0.013,-0.007,0.014,-0.039,0.002,-0.021,-0.125,0.385,1.391
2024-10-15 13:53:52.867,74384.042,-0.115,-0.375,-0.92,0.012,-0.007,0.012,-0.032,-0.001,-0.024,-0.125,0.384,1.391
2024-10-15 13:53:52.868,74384.052,-0.115,-0.375,-0.92,0.011,-0.008,0.011,-0.036,-0.005,-0.026,-0.124,0.384,1.39
2024-10-15 13:53:52.869,74384.062,-0.115,-0.374,-0.92,0.008,-0.005,0.011,-0.043,-0.001,-0.025,-0.124,0.384,1.39
2024-10-15 13:53:52.871,74384.072,-0.115,-0.374,-0.92,0.006,-0.004,0.011,-0.053,-0.002,-0.025,-0.124,0.383,1.39
2024-10-15 13:53:52.872,74384.082,-0.115,-0.374,-0.92,0.005,-0.004,0.012,-0.063,-0.004,-0.026,-0.124,0.383,1.389
2024-10-15 13:53:52.873,74384.092,-0.115,-0.373,-0.921,0.004,-0.005,0.012,-0.081,-0.001,-0.034,-0.124,0.382,1.389
2024-10-15 13:53:52.874,74384.102,-0.114,-0.372,-0.921,0.001,-0.003,0.013,-0.084,0.008,-0.03,-0.124,0.382,1.388
2024-10-15 13:53:52.875,74384.112,-0.114,-0.372,-0.921,-0.004,0.001,0.012,-0.088,0.016,-0.032,-0.123,0.381,1.388
2024-10-15 13:53:52.876,74384.122,-0.114,-0.371,-0.922,-0.008,0.004,0.012,-0.084,0.024,-0.03,-0.123,0.38,1.388
2024-10-15 13:53:52.877,74384.132,-0.113,-0.37,-0.922,-0.007,0.005,0.011,-0.088,0.027,-0.029,-0.122,0.379,1.387
2024-10-15 13:53:52.879,74384.141,-0.113,-0.369,-0.922,-0.003,0.004,0.012,-0.096,0.026,-0.028,-0.122,0.378,1.387
2024-10-15 13:53:52.880,74384.151,-0.113,-0.369,-0.923,0.002,0.003,0.014,-0.105,0.027,-0.027,-0.122,0.377,1.386
2024-10-15 13:53:52.882,74384.161,-0.112,-0.368,-0.923,0.004,0.002,0.014,-0.111,0.023,-0.026,-0.121,0.376,1.386
2024-10-15 13:53:52.884,74384.171,-0.112,-0.367,-0.924,0.005,0.003,0.015,-0.115,0.018,-0.028,-0.121,0.375,1.385
2024-10-15 13:53:52.885,74384.181,-0.112,-0.366,-0.924,0.005,0.002,0.017,-0.117,0.014,-0.029,-0.12,0.374,1.385
2024-10-15 13:53:52.886,74384.191,-0.112,-0.365,-0.924,0.004,0.001,0.017,-0.116,0.014,-0.031,-0.12,0.373,1.384
