Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:50:20.324,74171.777,-0.209,0.256,-0.944,-0.03,0.182,0.083,0.001,0.075,-0.08,-0.218,-0.259,1.052
2024-10-15 13:50:20.334,74171.787,-0.209,0.256,-0.944,0.019,0.137,0.071,-0.042,0.065,-0.048,-0.218,-0.259,1.052
2024-10-15 13:50:20.344,74171.797,-0.208,0.257,-0.944,0.031,0.09,0.021,-0.128,0.047,-0.008,-0.217,-0.26,1.051
2024-10-15 13:50:20.354,74171.807,-0.208,0.259,-0.943,0.045,0.029,-0.028,-0.241,0.008,0.005,-0.217,-0.262,1.051
2024-10-15 13:50:20.364,74171.817,-0.208,0.261,-0.943,0.063,-0.025,-0.057,-0.31,-0.034,-0.012,-0.217,-0.264,1.05
2024-10-15 13:50:20.375,74171.827,-0.209,0.264,-0.942,0.068,-0.043,-0.058,-0.283,-0.029,0.006,-0.218,-0.267,1.049
2024-10-15 13:50:20.383,74171.837,-0.209,0.267,-0.941,0.084,-0.035,-0.04,-0.295,-0.057,0.037,-0.218,-0.27,1.049
2024-10-15 13:50:20.394,74171.847,-0.21,0.27,-0.94,0.094,-0.045,-0.029,-0.343,-0.106,0.037,-0.219,-0.273,1.049
2024-10-15 13:50:20.404,74171.857,-0.21,0.273,-0.939,0.108,-0.087,-0.004,-0.35,-0.097,0.037,-0.22,-0.277,1.048
2024-10-15 13:50:20.414,74171.867,-0.211,0.277,-0.937,0.119,-0.108,0.023,-0.357,-0.128,0.006,-0.222,-0.28,1.048
2024-10-15 13:50:20.424,74171.877,-0.212,0.28,-0.936,0.108,-0.105,0.029,-0.34,-0.081,-0.031,-0.223,-0.284,1.047
2024-10-15 13:50:20.434,74171.886,-0.213,0.283,-0.935,0.085,-0.099,0.016,-0.368,-0.027,-0.045,-0.224,-0.287,1.045
2024-10-15 13:50:20.444,74171.896,-0.213,0.287,-0.934,0.055,-0.085,-0.001,-0.441,0.012,-0.043,-0.224,-0.291,1.044
2024-10-15 13:50:20.454,74171.906,-0.213,0.291,-0.933,0.03,-0.094,-0.002,-0.485,0.068,-0.067,-0.225,-0.295,1.042
2024-10-15 13:50:20.464,74171.916,-0.212,0.295,-0.932,0.021,-0.089,0.014,-0.489,0.206,-0.126,-0.224,-0.3,1.04
2024-10-15 13:50:20.474,74171.926,-0.21,0.3,-0.931,0.01,-0.053,0.033,-0.478,0.42,-0.167,-0.222,-0.304,1.037
