Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:29:41.301,72932.751,0.178,0.342,-0.923,-0.162,-0.207,-0.122,0.066,0.095,0.446,0.191,-0.349,1.013
2024-10-15 13:29:41.311,72932.761,0.181,0.342,-0.922,-0.104,-0.267,-0.205,-0.195,0.258,0.444,0.194,-0.349,1.018
2024-10-15 13:29:41.321,72932.771,0.185,0.347,-0.919,-0.088,-0.281,-0.301,-1.255,0.268,0.519,0.199,-0.354,1.024
2024-10-15 13:29:41.331,72932.781,0.19,0.362,-0.913,-0.097,-0.488,-0.334,-2.101,0.279,0.547,0.205,-0.37,1.034
2024-10-15 13:29:41.341,72932.791,0.193,0.378,-0.906,-0.028,-0.67,-0.117,-1.545,0.027,0.355,0.209,-0.388,1.043
2024-10-15 13:29:41.352,72932.801,0.194,0.388,-0.901,0.113,-0.512,-0.088,-0.736,0.048,0.129,0.212,-0.398,1.048
2024-10-15 13:29:41.361,72932.811,0.194,0.392,-0.899,0.238,-0.24,0.054,-0.181,0.037,-0.359,0.213,-0.403,1.048
2024-10-15 13:29:41.371,72932.821,0.192,0.394,-0.899,0.277,-0.407,0.161,-0.123,-0.241,-0.388,0.21,-0.405,1.044
2024-10-15 13:29:41.381,72932.831,0.186,0.397,-0.899,0.395,-0.639,0.195,-0.221,-0.576,-0.608,0.204,-0.408,1.039
2024-10-15 13:29:41.391,72932.841,0.178,0.399,-0.9,0.419,-0.421,0.227,-0.039,-0.604,-0.668,0.195,-0.41,1.032
2024-10-15 13:29:41.401,72932.851,0.172,0.399,-0.901,0.193,0.164,0.15,0.255,-0.316,-0.433,0.188,-0.411,1.026
2024-10-15 13:29:41.411,72932.861,0.168,0.394,-0.903,-0.065,0.572,0.086,1.074,0.098,-0.536,0.184,-0.405,1.02
2024-10-15 13:29:41.421,72932.871,0.169,0.383,-0.908,-0.187,0.7,0.097,1.383,0.546,-0.593,0.184,-0.393,1.011
2024-10-15 13:29:41.431,72932.881,0.171,0.376,-0.911,-0.124,0.402,0.062,0.288,-0.017,-0.198,0.185,-0.385,1.005
2024-10-15 13:29:41.441,72932.891,0.168,0.376,-0.911,0.11,-0.331,0.148,-0.167,-0.352,-0.354,0.182,-0.386,1.003
2024-10-15 13:29:41.451,72932.901,0.164,0.377,-0.912,0.144,-0.152,0.214,0.151,-0.215,-0.332,0.178,-0.387,0.999
