Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:45:32.452,73883.903,0.219,0.174,-0.96,-0.239,0.65,0.208,-1.055,1.027,0.456,0.224,-0.174,0.973
2024-10-15 13:45:32.461,73883.913,0.231,0.183,-0.956,-0.248,0.813,0.007,-1.278,0.926,1.187,0.237,-0.184,0.984
2024-10-15 13:45:32.471,73883.923,0.239,0.19,-0.952,-0.12,0.602,-0.222,-0.756,0.166,1.34,0.245,-0.191,1.0
2024-10-15 13:45:32.481,73883.933,0.237,0.19,-0.953,0.103,0.171,-0.359,0.202,-0.995,1.219,0.244,-0.191,1.013
2024-10-15 13:45:32.491,73883.943,0.226,0.184,-0.956,0.239,-0.137,-0.266,0.213,-1.627,1.044,0.232,-0.185,1.024
2024-10-15 13:45:32.501,73883.953,0.214,0.183,-0.96,0.223,-0.161,0.207,-0.261,-1.342,0.943,0.219,-0.184,1.033
2024-10-15 13:45:32.512,73883.963,0.206,0.183,-0.961,-0.004,-0.041,0.226,-0.158,-0.519,0.849,0.211,-0.184,1.043
2024-10-15 13:45:32.521,73883.973,0.204,0.182,-0.962,-0.222,-0.13,-0.01,0.098,-0.169,0.602,0.209,-0.183,1.05
2024-10-15 13:45:32.532,73883.983,0.203,0.178,-0.963,-0.232,-0.424,-0.225,0.462,-0.23,0.025,0.208,-0.179,1.053
2024-10-15 13:45:32.541,73883.993,0.199,0.174,-0.964,-0.079,-0.761,-0.262,0.614,-0.545,-0.576,0.204,-0.175,1.049
2024-10-15 13:45:32.551,73884.003,0.192,0.168,-0.967,0.068,-0.935,-0.123,0.764,-0.735,-0.759,0.196,-0.169,1.041
2024-10-15 13:45:32.561,73884.013,0.183,0.164,-0.969,0.168,-0.945,-0.032,0.407,-0.815,-0.604,0.187,-0.164,1.033
2024-10-15 13:45:32.571,73884.023,0.174,0.164,-0.971,0.229,-0.804,0.077,-0.171,-0.905,-0.675,0.177,-0.165,1.026
2024-10-15 13:45:32.581,73884.033,0.165,0.168,-0.972,0.189,-0.612,0.222,-0.443,-0.482,-0.998,0.168,-0.169,1.019
2024-10-15 13:45:32.591,73884.043,0.165,0.176,-0.971,0.042,-0.391,0.221,-0.798,0.991,-1.226,0.168,-0.177,1.008
2024-10-15 13:45:32.601,73884.053,0.178,0.188,-0.966,-0.15,0.048,0.165,-1.284,1.934,-0.786,0.182,-0.189,1.0
2024-10-15 13:45:32.611,73884.063,0.196,0.201,-0.96,-0.302,0.57,0.033,-1.12,1.86,-0.009,0.202,-0.202,0.998
2024-10-15 13:45:32.621,73884.073,0.209,0.208,-0.955,-0.126,0.672,0.02,-0.505,0.719,0.361,0.215,-0.21,1.002
2024-10-15 13:45:32.631,73884.083,0.211,0.208,-0.955,0.186,0.399,-0.03,0.48,-0.277,0.067,0.218,-0.209,1.005
2024-10-15 13:45:32.641,73884.093,0.207,0.201,-0.958,0.282,0.093,-0.013,1.074,-0.513,-0.522,0.212,-0.202,1.0
2024-10-15 13:45:32.651,73884.103,0.202,0.19,-0.961,0.169,-0.034,0.108,1.396,-0.11,-0.855,0.207,-0.191,0.991
2024-10-15 13:45:32.661,73884.113,0.202,0.178,-0.963,-0.036,0.069,0.117,1.281,0.42,-0.667,0.207,-0.179,0.98
2024-10-15 13:45:32.671,73884.123,0.207,0.171,-0.963,-0.179,0.331,0.079,0.356,0.607,0.097,0.211,-0.172,0.975
2024-10-15 13:45:32.681,73884.133,0.214,0.172,-0.962,-0.19,0.637,0.1,-0.801,0.766,1.139,0.219,-0.172,0.982
2024-10-15 13:45:32.691,73884.143,0.224,0.181,-0.958,-0.164,0.829,0.071,-1.698,0.827,1.698,0.23,-0.182,0.999
2024-10-15 13:45:32.701,73884.153,0.235,0.193,-0.953,-0.235,0.787,-0.132,-1.464,0.657,1.648,0.242,-0.194,1.02
2024-10-15 13:45:32.711,73884.163,0.241,0.199,-0.95,-0.238,0.453,-0.282,-0.534,0.022,0.961,0.248,-0.2,1.036
