Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 11:19:36.632,65128.023,0.006,0.293,-0.956,0.103,-0.027,0.224,-0.334,0.154,-0.083,0.006,-0.297,0.305
2024-10-15 11:19:36.642,65128.033,0.006,0.297,-0.955,-0.176,0.31,0.398,-0.439,-0.159,0.338,0.006,-0.301,0.306
2024-10-15 11:19:36.652,65128.043,0.005,0.299,-0.954,-0.122,0.591,0.412,-0.017,-0.227,0.453,0.006,-0.304,0.311
2024-10-15 11:19:36.662,65128.053,0.004,0.296,-0.955,0.052,0.706,0.285,0.665,-0.317,0.528,0.004,-0.3,0.316
2024-10-15 11:19:36.672,65128.063,0.003,0.288,-0.958,-0.106,0.709,0.068,0.825,-0.286,0.573,0.003,-0.292,0.321
2024-10-15 11:19:36.682,65128.073,0.002,0.281,-0.96,-0.123,0.371,-0.241,0.583,-0.114,0.441,0.002,-0.285,0.327
2024-10-15 11:19:36.692,65128.083,0.003,0.278,-0.961,-0.092,-0.063,-0.408,0.083,-0.099,0.313,0.003,-0.282,0.331
2024-10-15 11:19:36.702,65128.093,0.001,0.282,-0.96,-0.121,-0.353,-0.352,-0.899,-0.431,0.28,0.001,-0.285,0.334
2024-10-15 11:19:36.712,65128.103,-0.001,0.295,-0.955,-0.025,-0.526,-0.116,-1.771,-0.255,0.26,-0.002,-0.3,0.337
2024-10-15 11:19:36.722,65128.113,-0.002,0.311,-0.95,0.089,-0.564,0.239,-1.344,-0.083,0.265,-0.003,-0.316,0.339
2024-10-15 11:19:36.732,65128.123,-0.002,0.317,-0.949,-0.047,-0.36,0.367,0.159,-0.072,0.246,-0.002,-0.322,0.342
2024-10-15 11:19:36.742,65128.133,-0.004,0.309,-0.951,-0.146,0.015,0.203,1.193,-0.409,-0.009,-0.004,-0.315,0.343
2024-10-15 11:19:36.752,65128.143,-0.008,0.3,-0.954,0.039,0.12,-0.158,0.62,-0.388,-0.09,-0.009,-0.305,0.343
2024-10-15 11:19:36.762,65128.153,-0.01,0.298,-0.954,0.255,-0.311,-0.434,-0.207,0.121,-0.384,-0.011,-0.303,0.34
2024-10-15 11:19:36.772,65128.163,-0.009,0.302,-0.953,0.195,-0.596,-0.29,-0.431,0.276,-0.4,-0.01,-0.307,0.336
2024-10-15 11:19:36.782,65128.173,-0.008,0.305,-0.952,-0.062,-0.451,-0.06,-0.257,0.161,-0.327,-0.009,-0.31,0.332
2024-10-15 11:19:36.792,65128.183,-0.008,0.306,-0.952,0.039,-0.136,0.051,0.039,0.078,-0.362,-0.009,-0.311,0.329
2024-10-15 11:19:36.802,65128.193,-0.008,0.304,-0.953,0.144,0.153,0.088,0.47,0.264,-0.351,-0.008,-0.309,0.325
2024-10-15 11:19:36.812,65128.203,-0.007,0.297,-0.955,0.071,0.283,0.087,0.853,0.138,-0.389,-0.008,-0.302,0.321
2024-10-15 11:19:36.822,65128.213,-0.007,0.291,-0.957,-0.027,0.294,0.016,0.476,0.185,-0.276,-0.007,-0.295,0.318
2024-10-15 11:19:36.832,65128.223,-0.005,0.288,-0.958,-0.011,0.197,0.039,0.149,0.261,-0.277,-0.006,-0.292,0.315
2024-10-15 11:19:36.842,65128.233,-0.004,0.288,-0.958,-0.005,0.163,0.153,-0.087,0.141,-0.08,-0.004,-0.292,0.313
2024-10-15 11:19:36.852,65128.243,-0.003,0.289,-0.957,-0.101,0.222,0.264,-0.232,0.018,0.152,-0.003,-0.293,0.313
2024-10-15 11:19:36.862,65128.253,-0.002,0.291,-0.957,-0.046,0.319,0.314,0.028,0.021,0.328,-0.002,-0.295,0.316
2024-10-15 11:19:36.872,65128.263,-0.001,0.287,-0.958,-0.07,0.51,0.307,0.698,-0.076,0.47,-0.001,-0.291,0.32
