Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:49:56.150,163328.992,-0.016,0.825,-0.564,-0.002,-0.003,0.004,0.034,0.018,-0.02,-0.029,-0.971,1.023
2024-09-23 11:49:56.159,163329.002,-0.016,0.825,-0.565,-0.002,0.002,0.002,0.051,0.016,-0.009,-0.029,-0.97,1.023
2024-09-23 11:49:56.169,163329.012,-0.016,0.825,-0.565,-0.004,-0.004,0.005,0.062,0.029,-0.008,-0.029,-0.97,1.023
2024-09-23 11:49:56.179,163329.022,-0.016,0.824,-0.566,0.004,-0.01,0.009,0.039,0.02,0.002,-0.029,-0.969,1.023
2024-09-23 11:49:56.189,163329.032,-0.016,0.824,-0.566,-0.006,0.014,0.003,0.022,0.022,0.009,-0.028,-0.969,1.023
2024-09-23 11:49:56.200,163329.042,-0.016,0.824,-0.566,-0.004,-0.015,0.0,0.011,0.024,0.007,-0.028,-0.969,1.023
2024-09-23 11:49:56.210,163329.052,-0.016,0.824,-0.566,0.005,-0.021,0.002,-0.005,0.026,0.004,-0.028,-0.969,1.023
2024-09-23 11:49:56.218,163329.062,-0.015,0.824,-0.566,-0.003,-0.003,-0.001,-0.021,0.024,0.01,-0.027,-0.969,1.023
2024-09-23 11:49:56.228,163329.072,-0.015,0.824,-0.566,-0.002,-0.016,-0.006,-0.027,0.014,0.022,-0.027,-0.969,1.023
2024-09-23 11:49:56.238,163329.082,-0.015,0.825,-0.566,-0.003,-0.016,-0.008,-0.02,0.007,0.02,-0.027,-0.969,1.024
2024-09-23 11:49:56.248,163329.092,-0.015,0.825,-0.565,-0.005,-0.003,-0.001,-0.021,-0.01,0.018,-0.026,-0.97,1.024
2024-09-23 11:49:56.258,163329.102,-0.015,0.825,-0.565,-0.0,-0.002,0.004,-0.008,-0.004,0.022,-0.026,-0.97,1.024
2024-09-23 11:49:56.269,163329.112,-0.015,0.825,-0.565,0.007,-0.003,0.005,-0.018,0.013,0.013,-0.026,-0.97,1.025
2024-09-23 11:49:56.279,163329.122,-0.014,0.825,-0.565,0.008,0.003,0.002,-0.035,0.004,0.002,-0.026,-0.97,1.025
2024-09-23 11:49:56.289,163329.132,-0.014,0.825,-0.565,-0.003,-0.005,-0.005,-0.028,0.005,0.034,-0.025,-0.97,1.025
2024-09-23 11:49:56.299,163329.142,-0.014,0.825,-0.565,-0.008,-0.011,-0.003,-0.008,0.01,0.006,-0.025,-0.971,1.025
2024-09-23 11:49:56.309,163329.152,-0.014,0.825,-0.565,0.006,-0.017,0.009,0.008,0.005,0.017,-0.025,-0.971,1.026
2024-09-23 11:49:56.319,163329.162,-0.014,0.825,-0.565,0.002,0.015,0.002,0.011,0.007,0.004,-0.025,-0.97,1.026
2024-09-23 11:49:56.329,163329.172,-0.014,0.825,-0.565,0.004,0.006,0.007,0.005,0.016,0.01,-0.024,-0.97,1.026
2024-09-23 11:49:56.339,163329.182,-0.013,0.825,-0.565,-0.004,0.006,0.003,-0.007,0.037,0.025,-0.024,-0.97,1.026
2024-09-23 11:49:56.349,163329.192,-0.013,0.825,-0.565,-0.005,-0.011,0.002,-0.04,0.021,0.025,-0.023,-0.971,1.027
2024-09-23 11:49:56.359,163329.202,-0.013,0.825,-0.564,-0.005,-0.013,-0.006,-0.003,0.009,0.039,-0.023,-0.971,1.027
2024-09-23 11:49:56.369,163329.212,-0.012,0.825,-0.565,-0.013,-0.005,-0.011,0.031,0.02,0.009,-0.022,-0.971,1.028
2024-09-23 11:49:56.379,163329.222,-0.012,0.825,-0.565,0.015,-0.023,0.02,0.019,0.013,0.014,-0.022,-0.97,1.028
2024-09-23 11:49:56.389,163329.232,-0.012,0.825,-0.565,0.011,0.03,0.006,-0.004,0.001,0.042,-0.021,-0.97,1.028
2024-09-23 11:49:56.399,163329.242,-0.012,0.825,-0.565,-0.016,0.016,-0.006,0.008,0.02,0.021,-0.021,-0.97,1.029
2024-09-23 11:49:56.409,163329.252,-0.011,0.825,-0.565,0.003,-0.046,0.007,-0.009,0.021,0.036,-0.02,-0.97,1.03
2024-09-23 11:49:56.419,163329.262,-0.011,0.825,-0.565,0.006,-0.006,0.003,-0.031,0.037,0.039,-0.019,-0.971,1.03
2024-09-23 11:49:56.429,163329.272,-0.01,0.825,-0.564,-0.013,0.011,-0.008,-0.052,0.049,0.034,-0.018,-0.971,1.031
2024-09-23 11:49:56.439,163329.282,-0.01,0.826,-0.564,-0.004,-0.035,-0.003,-0.072,0.054,0.059,-0.017,-0.972,1.032
2024-09-23 11:49:56.449,163329.292,-0.009,0.826,-0.563,-0.007,-0.019,-0.005,-0.075,0.071,0.055,-0.016,-0.972,1.032
2024-09-23 11:49:56.459,163329.302,-0.008,0.827,-0.563,-0.013,-0.013,-0.003,-0.106,0.093,0.063,-0.014,-0.973,1.034
2024-09-23 11:49:56.469,163329.312,-0.007,0.827,-0.562,0.004,-0.027,0.006,-0.159,0.086,0.08,-0.012,-0.975,1.035
2024-09-23 11:49:56.479,163329.322,-0.006,0.828,-0.56,-0.015,-0.02,-0.005,-0.193,0.093,0.098,-0.01,-0.976,1.036
2024-09-23 11:49:56.489,163329.332,-0.004,0.83,-0.558,-0.02,-0.034,-0.011,-0.274,0.089,0.093,-0.008,-0.979,1.038
2024-09-23 11:49:56.499,163329.342,-0.003,0.831,-0.556,-0.0,-0.051,-0.009,-0.327,0.087,0.113,-0.005,-0.982,1.04
2024-09-23 11:49:56.509,163329.352,-0.002,0.833,-0.553,-0.013,-0.013,-0.032,-0.386,0.109,0.102,-0.003,-0.985,1.042
2024-09-23 11:49:56.519,163329.362,-0.0,0.836,-0.549,-0.01,-0.039,-0.023,-0.492,0.138,0.098,-0.0,-0.989,1.043
2024-09-23 11:49:56.529,163329.372,0.001,0.839,-0.545,-0.007,-0.024,-0.021,-0.625,0.167,0.092,0.003,-0.995,1.045
2024-09-23 11:49:56.539,163329.382,0.003,0.842,-0.539,-0.02,-0.033,-0.039,-0.729,0.202,0.088,0.006,-1.002,1.047
2024-09-23 11:49:56.549,163329.392,0.005,0.846,-0.532,-0.014,-0.078,-0.052,-0.821,0.241,0.071,0.009,-1.009,1.048
2024-09-23 11:49:56.559,163329.402,0.007,0.851,-0.525,-0.018,-0.069,-0.052,-0.866,0.295,0.071,0.013,-1.018,1.05
2024-09-23 11:49:56.569,163329.412,0.009,0.855,-0.518,-0.031,-0.045,-0.047,-0.907,0.338,0.056,0.018,-1.026,1.051
2024-09-23 11:49:56.579,163329.422,0.012,0.86,-0.51,-0.034,-0.029,-0.046,-0.915,0.364,0.113,0.023,-1.036,1.053
2024-09-23 11:49:56.589,163329.432,0.015,0.865,-0.502,-0.047,-0.007,-0.029,-0.888,0.386,0.099,0.029,-1.045,1.056
2024-09-23 11:49:56.599,163329.442,0.018,0.869,-0.495,-0.04,-0.025,-0.025,-0.814,0.407,0.131,0.035,-1.053,1.059
2024-09-23 11:49:56.608,163329.452,0.021,0.873,-0.488,-0.045,0.015,-0.027,-0.741,0.411,0.149,0.043,-1.061,1.062
2024-09-23 11:49:56.618,163329.462,0.024,0.876,-0.481,-0.047,0.043,-0.011,-0.689,0.41,0.175,0.05,-1.068,1.066
2024-09-23 11:49:56.628,163329.472,0.027,0.879,-0.475,-0.039,0.042,-0.004,-0.674,0.368,0.133,0.058,-1.074,1.07
2024-09-23 11:49:56.638,163329.482,0.029,0.883,-0.469,-0.034,0.031,-0.008,-0.74,0.089,-0.058,0.061,-1.082,1.072
2024-09-23 11:49:56.648,163329.491,0.029,0.886,-0.463,-0.041,0.022,-0.001,-0.638,-0.076,0.013,0.062,-1.088,1.072
2024-09-23 11:49:56.658,163329.501,0.028,0.888,-0.458,-0.101,-0.007,0.036,-0.474,-0.13,-0.038,0.061,-1.094,1.073
2024-09-23 11:49:56.668,163329.511,0.027,0.89,-0.455,-0.117,0.044,0.053,-0.306,-0.176,-0.026,0.059,-1.098,1.072
2024-09-23 11:49:56.678,163329.521,0.026,0.891,-0.453,-0.029,0.073,0.049,-0.135,-0.243,-0.037,0.057,-1.1,1.072
2024-09-23 11:49:56.688,163329.531,0.024,0.892,-0.452,-0.016,0.062,0.066,0.031,-0.289,-0.03,0.054,-1.101,1.071
2024-09-23 11:49:56.698,163329.541,0.023,0.891,-0.453,-0.029,0.075,0.08,0.215,-0.313,-0.019,0.05,-1.1,1.071
2024-09-23 11:49:56.708,163329.551,0.021,0.89,-0.456,-0.02,0.072,0.089,0.389,-0.301,0.017,0.047,-1.097,1.07
2024-09-23 11:49:56.719,163329.561,0.02,0.888,-0.46,-0.009,0.066,0.092,0.535,-0.306,0.017,0.044,-1.092,1.07
2024-09-23 11:49:56.728,163329.571,0.019,0.885,-0.466,0.013,0.063,0.088,0.636,-0.3,0.037,0.041,-1.086,1.07
2024-09-23 11:49:56.739,163329.581,0.018,0.882,-0.472,0.037,0.046,0.073,0.742,-0.266,0.071,0.038,-1.079,1.071
2024-09-23 11:49:56.748,163329.591,0.017,0.878,-0.479,0.043,0.024,0.06,0.801,-0.238,0.075,0.036,-1.071,1.072
2024-09-23 11:49:56.758,163329.601,0.017,0.874,-0.486,0.064,0.015,0.053,0.839,-0.202,0.09,0.035,-1.063,1.073
2024-09-23 11:49:56.769,163329.611,0.017,0.87,-0.493,0.098,0.001,0.037,0.869,-0.177,0.095,0.034,-1.055,1.074
2024-09-23 11:49:56.778,163329.621,0.017,0.865,-0.501,0.11,-0.015,0.021,0.878,-0.158,0.082,0.034,-1.046,1.075
2024-09-23 11:49:56.788,163329.631,0.017,0.861,-0.508,0.115,-0.02,0.008,0.849,-0.155,0.069,0.033,-1.037,1.076
2024-09-23 11:49:56.798,163329.641,0.017,0.857,-0.516,0.123,-0.023,-0.008,0.8,-0.154,0.04,0.032,-1.029,1.077
2024-09-23 11:49:56.808,163329.651,0.016,0.853,-0.522,0.12,-0.035,-0.028,0.71,-0.186,-0.044,0.03,-1.021,1.076
