Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-11-02 22:52:49.714,40326.934,-0.024,-0.376,-0.926,-0.049,-0.018,0.003,-0.091,0.064,-0.055,-0.026,0.386,1.23
2024-11-02 22:52:49.738,40326.944,-0.024,-0.375,-0.927,-0.029,0.017,0.021,-0.118,0.022,-0.055,-0.026,0.385,1.23
2024-11-02 22:52:49.741,40326.954,-0.024,-0.374,-0.927,-0.015,-0.029,0.029,-0.115,-0.015,-0.074,-0.026,0.384,1.229
2024-11-02 22:52:49.743,40326.964,-0.024,-0.374,-0.927,0.006,-0.038,0.034,-0.072,-0.008,-0.097,-0.026,0.383,1.228
2024-11-02 22:52:49.745,40326.974,-0.023,-0.373,-0.927,0.006,-0.02,0.028,-0.03,0.022,-0.098,-0.025,0.383,1.227
2024-11-02 22:52:49.754,40326.984,-0.022,-0.373,-0.927,-0.016,-0.009,0.014,-0.015,0.042,-0.094,-0.024,0.383,1.226
2024-11-02 22:52:49.764,40326.994,-0.022,-0.373,-0.927,-0.027,-0.006,0.009,-0.032,0.032,-0.104,-0.023,0.383,1.225
2024-11-02 22:52:49.775,40327.004,-0.021,-0.373,-0.928,-0.022,-0.017,0.006,-0.065,0.012,-0.12,-0.023,0.382,1.224
2024-11-02 22:52:49.784,40327.014,-0.021,-0.372,-0.928,-0.017,-0.031,0.01,-0.088,0.007,-0.14,-0.022,0.382,1.222
2024-11-02 22:52:49.795,40327.024,-0.02,-0.372,-0.928,-0.017,-0.034,0.016,-0.103,0.007,-0.148,-0.022,0.381,1.221
2024-11-02 22:52:49.805,40327.034,-0.02,-0.371,-0.928,-0.022,-0.032,0.02,-0.104,0.013,-0.158,-0.021,0.38,1.219
2024-11-02 22:52:49.814,40327.044,-0.019,-0.37,-0.929,-0.028,-0.03,0.023,-0.078,0.012,-0.171,-0.02,0.379,1.217
2024-11-02 22:52:49.826,40327.054,-0.018,-0.37,-0.929,-0.03,-0.024,0.026,-0.055,0.013,-0.189,-0.02,0.379,1.215
2024-11-02 22:52:49.834,40327.064,-0.018,-0.37,-0.929,-0.026,-0.015,0.028,-0.038,0.015,-0.201,-0.019,0.379,1.213
2024-11-02 22:52:49.845,40327.074,-0.017,-0.37,-0.929,-0.026,-0.012,0.028,-0.042,0.007,-0.211,-0.018,0.379,1.211
2024-11-02 22:52:49.855,40327.084,-0.017,-0.369,-0.929,-0.027,-0.018,0.028,-0.067,-0.006,-0.225,-0.018,0.378,1.209
2024-11-02 22:52:49.865,40327.094,-0.016,-0.369,-0.929,-0.029,-0.028,0.031,-0.123,-0.015,-0.242,-0.017,0.378,1.207
