Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 11:18:52.054,65083.438,0.138,-0.382,-0.914,0.013,-0.018,0.013,-0.112,0.031,-0.093,0.149,0.392,0.484
2024-10-15 11:18:52.068,65083.448,0.138,-0.381,-0.914,-0.022,-0.013,0.012,-0.137,0.014,-0.087,0.15,0.39,0.483
2024-10-15 11:18:52.070,65083.458,0.139,-0.379,-0.915,-0.01,-0.0,0.015,-0.163,0.02,-0.08,0.15,0.389,0.483
2024-10-15 11:18:52.075,65083.468,0.139,-0.377,-0.916,0.001,0.004,0.016,-0.196,0.039,-0.086,0.151,0.387,0.482
2024-10-15 11:18:52.086,65083.478,0.14,-0.375,-0.916,-0.011,0.002,0.01,-0.206,0.034,-0.094,0.151,0.385,0.481
2024-10-15 11:18:52.095,65083.488,0.141,-0.373,-0.917,-0.011,-0.001,0.007,-0.241,0.043,-0.115,0.152,0.382,0.481
2024-10-15 11:18:52.106,65083.498,0.141,-0.37,-0.918,-0.003,-0.003,0.006,-0.257,0.042,-0.101,0.153,0.38,0.48
2024-10-15 11:18:52.116,65083.508,0.142,-0.368,-0.919,-0.006,-0.005,0.006,-0.295,0.059,-0.103,0.153,0.377,0.479
2024-10-15 11:18:52.126,65083.518,0.143,-0.365,-0.92,-0.013,-0.005,0.011,-0.303,0.077,-0.121,0.154,0.374,0.478
2024-10-15 11:18:52.137,65083.528,0.144,-0.362,-0.921,-0.018,-0.011,0.008,-0.297,0.056,-0.13,0.155,0.371,0.478
2024-10-15 11:18:52.146,65083.538,0.145,-0.36,-0.922,-0.018,-0.01,0.014,-0.3,0.054,-0.126,0.156,0.368,0.477
2024-10-15 11:18:52.157,65083.548,0.146,-0.357,-0.923,-0.008,0.004,0.017,-0.303,0.071,-0.124,0.157,0.365,0.476
2024-10-15 11:18:52.167,65083.558,0.147,-0.354,-0.924,-0.01,-0.004,0.015,-0.285,0.075,-0.122,0.158,0.362,0.475
2024-10-15 11:18:52.176,65083.568,0.148,-0.352,-0.924,-0.017,-0.004,0.016,-0.25,0.061,-0.126,0.159,0.359,0.474
2024-10-15 11:18:52.188,65083.578,0.149,-0.349,-0.925,-0.007,0.002,0.012,-0.217,0.046,-0.128,0.159,0.357,0.474
2024-10-15 11:18:52.196,65083.588,0.15,-0.347,-0.926,0.004,0.006,0.013,-0.187,0.042,-0.13,0.16,0.355,0.473
2024-10-15 11:18:52.206,65083.597,0.15,-0.346,-0.926,0.004,0.009,0.011,-0.159,0.041,-0.128,0.161,0.353,0.471
2024-10-15 11:18:52.216,65083.607,0.151,-0.344,-0.927,-0.0,0.01,0.009,-0.141,0.032,-0.129,0.162,0.351,0.47
2024-10-15 11:18:52.226,65083.617,0.152,-0.343,-0.927,-0.003,0.008,0.011,-0.132,0.029,-0.132,0.162,0.35,0.469
2024-10-15 11:18:52.237,65083.627,0.153,-0.341,-0.928,-0.001,0.004,0.014,-0.135,0.024,-0.137,0.163,0.348,0.468
2024-10-15 11:18:52.246,65083.637,0.153,-0.34,-0.928,-0.004,-0.0,0.016,-0.156,0.027,-0.141,0.164,0.346,0.467
2024-10-15 11:18:52.257,65083.647,0.154,-0.338,-0.929,-0.008,-0.006,0.017,-0.184,0.029,-0.147,0.165,0.345,0.466
2024-10-15 11:18:52.266,65083.657,0.155,-0.336,-0.929,-0.01,-0.013,0.018,-0.225,0.031,-0.148,0.165,0.342,0.465
2024-10-15 11:18:52.276,65083.667,0.156,-0.333,-0.93,-0.013,-0.015,0.022,-0.252,0.045,-0.16,0.166,0.34,0.463
2024-10-15 11:18:52.286,65083.677,0.157,-0.33,-0.931,-0.013,-0.016,0.021,-0.272,0.037,-0.169,0.167,0.337,0.462
2024-10-15 11:18:52.296,65083.687,0.158,-0.328,-0.932,-0.012,-0.016,0.016,-0.307,0.03,-0.175,0.168,0.334,0.461
2024-10-15 11:18:52.306,65083.697,0.159,-0.324,-0.933,-0.01,-0.013,0.017,-0.323,0.04,-0.19,0.168,0.33,0.459
2024-10-15 11:18:52.316,65083.707,0.16,-0.321,-0.934,-0.014,-0.016,0.016,-0.34,0.046,-0.201,0.169,0.327,0.458
2024-10-15 11:18:52.326,65083.717,0.161,-0.317,-0.935,-0.023,-0.015,0.014,-0.351,0.058,-0.214,0.17,0.323,0.456
2024-10-15 11:18:52.338,65083.727,0.162,-0.314,-0.936,-0.025,-0.015,0.02,-0.36,0.06,-0.231,0.171,0.319,0.455
2024-10-15 11:18:52.345,65083.737,0.163,-0.31,-0.937,-0.029,-0.018,0.023,-0.382,0.068,-0.245,0.173,0.315,0.453
2024-10-15 11:18:52.356,65083.747,0.165,-0.306,-0.938,-0.035,-0.02,0.028,-0.421,0.064,-0.262,0.174,0.311,0.451
2024-10-15 11:18:52.366,65083.757,0.166,-0.301,-0.939,-0.038,-0.03,0.03,-0.468,0.072,-0.287,0.175,0.306,0.449
2024-10-15 11:18:52.376,65083.767,0.168,-0.296,-0.94,-0.045,-0.038,0.033,-0.527,0.084,-0.322,0.177,0.3,0.447
2024-10-15 11:18:52.388,65083.777,0.17,-0.29,-0.942,-0.054,-0.051,0.03,-0.57,0.119,-0.365,0.178,0.294,0.444
2024-10-15 11:18:52.395,65083.787,0.172,-0.284,-0.943,-0.067,-0.059,0.027,-0.593,0.152,-0.403,0.181,0.288,0.441
2024-10-15 11:18:52.406,65083.797,0.175,-0.278,-0.945,-0.079,-0.065,0.026,-0.611,0.184,-0.444,0.183,0.281,0.438
2024-10-15 11:18:52.416,65083.807,0.178,-0.271,-0.946,-0.083,-0.072,0.029,-0.617,0.205,-0.483,0.186,0.274,0.435
2024-10-15 11:18:52.426,65083.817,0.181,-0.264,-0.947,-0.084,-0.075,0.029,-0.622,0.2,-0.516,0.189,0.267,0.431
2024-10-15 11:18:52.435,65083.827,0.185,-0.257,-0.949,-0.08,-0.075,0.028,-0.606,0.184,-0.547,0.192,0.26,0.427
2024-10-15 11:18:52.445,65083.837,0.188,-0.251,-0.95,-0.072,-0.076,0.033,-0.578,0.177,-0.578,0.195,0.253,0.422
2024-10-15 11:18:52.455,65083.847,0.191,-0.244,-0.951,-0.064,-0.077,0.037,-0.518,0.159,-0.605,0.198,0.247,0.417
2024-10-15 11:18:52.465,65083.857,0.194,-0.239,-0.952,-0.06,-0.066,0.038,-0.45,0.145,-0.634,0.201,0.241,0.412
2024-10-15 11:18:52.475,65083.867,0.196,-0.233,-0.952,-0.058,-0.052,0.036,-0.401,0.117,-0.653,0.203,0.235,0.406
2024-10-15 11:18:52.485,65083.877,0.199,-0.228,-0.953,-0.051,-0.051,0.033,-0.397,0.093,-0.677,0.206,0.23,0.4
2024-10-15 11:18:52.495,65083.887,0.201,-0.223,-0.954,-0.048,-0.054,0.022,-0.407,0.09,-0.694,0.208,0.225,0.394
2024-10-15 11:18:52.505,65083.897,0.204,-0.218,-0.955,-0.052,-0.064,0.019,-0.423,0.083,-0.716,0.21,0.219,0.388
2024-10-15 11:18:52.515,65083.907,0.206,-0.212,-0.955,-0.061,-0.061,0.022,-0.453,0.081,-0.745,0.213,0.214,0.382
2024-10-15 11:18:52.525,65083.917,0.209,-0.206,-0.956,-0.064,-0.059,0.037,-0.486,0.105,-0.761,0.215,0.207,0.375
2024-10-15 11:18:52.535,65083.927,0.211,-0.2,-0.957,-0.066,-0.059,0.045,-0.502,0.139,-0.77,0.217,0.201,0.378
2024-10-15 11:18:52.546,65083.937,0.214,-0.193,-0.958,-0.07,-0.053,0.043,-0.486,0.142,-0.77,0.22,0.194,0.371
