Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:57:07.979,74579.418,0.002,-0.445,-0.895,-0.034,0.067,0.003,0.0,0.044,-0.038,0.002,0.462,1.53
2024-10-15 13:57:07.991,74579.428,0.002,-0.445,-0.895,0.017,0.077,0.024,-0.015,-0.035,-0.026,0.002,0.461,1.53
2024-10-15 13:57:07.993,74579.438,0.002,-0.445,-0.895,0.041,0.024,0.039,-0.002,-0.049,-0.034,0.002,0.461,1.53
2024-10-15 13:57:07.995,74579.448,0.001,-0.445,-0.895,0.026,0.001,0.039,0.033,-0.027,-0.022,0.002,0.461,1.529
2024-10-15 13:57:08.004,74579.458,0.001,-0.446,-0.895,-0.002,0.009,0.039,0.05,-0.015,-0.01,0.002,0.462,1.529
2024-10-15 13:57:08.014,74579.468,0.001,-0.446,-0.895,-0.016,0.014,0.041,0.037,-0.027,0.001,0.001,0.462,1.529
2024-10-15 13:57:08.024,74579.478,0.001,-0.446,-0.895,-0.013,0.007,0.039,0.019,-0.044,0.002,0.001,0.463,1.529
2024-10-15 13:57:08.034,74579.488,0.0,-0.446,-0.895,-0.004,0.004,0.041,-0.002,-0.046,0.005,0.0,0.463,1.529
2024-10-15 13:57:08.044,74579.498,-0.0,-0.446,-0.895,-0.001,0.001,0.038,-0.018,-0.03,0.001,-0.0,0.463,1.529
2024-10-15 13:57:08.054,74579.508,0.0,-0.446,-0.895,-0.008,0.0,0.03,-0.034,0.05,-0.027,0.0,0.462,1.529
2024-10-15 13:57:08.064,74579.518,0.001,-0.445,-0.895,-0.023,-0.005,0.021,-0.07,0.013,0.005,0.001,0.462,1.529
2024-10-15 13:57:08.075,74579.528,0.001,-0.445,-0.896,-0.024,-0.023,0.01,-0.065,-0.009,-0.011,0.001,0.461,1.529
2024-10-15 13:57:08.084,74579.538,0.001,-0.444,-0.896,0.002,-0.014,0.005,-0.042,0.005,-0.029,0.001,0.461,1.529
2024-10-15 13:57:08.094,74579.548,0.001,-0.444,-0.896,0.0,-0.006,0.003,-0.016,0.011,-0.024,0.001,0.46,1.528
2024-10-15 13:57:08.104,74579.558,0.001,-0.444,-0.896,-0.005,-0.001,0.001,-0.008,0.009,-0.021,0.001,0.46,1.528
2024-10-15 13:57:08.114,74579.568,0.001,-0.444,-0.896,-0.003,-0.003,0.0,-0.016,-0.001,-0.027,0.001,0.46,1.528
2024-10-15 13:57:08.125,74579.578,0.001,-0.444,-0.896,0.004,-0.009,0.005,-0.026,-0.018,-0.028,0.001,0.46,1.528
2024-10-15 13:57:08.134,74579.588,0.001,-0.444,-0.896,0.01,-0.013,0.009,-0.026,-0.028,-0.029,0.001,0.46,1.527
2024-10-15 13:57:08.146,74579.598,0.001,-0.443,-0.896,0.012,-0.011,0.01,-0.019,-0.025,-0.025,0.001,0.459,1.527
2024-10-15 13:57:08.154,74579.608,0.0,-0.443,-0.896,0.009,-0.002,0.013,-0.013,-0.014,-0.021,0.0,0.459,1.527
2024-10-15 13:57:08.165,74579.618,0.0,-0.443,-0.896,0.002,0.004,0.011,-0.009,-0.013,-0.01,0.0,0.459,1.527
2024-10-15 13:57:08.174,74579.628,0.0,-0.443,-0.896,-0.001,0.008,0.014,0.0,-0.012,-0.001,0.0,0.459,1.527
2024-10-15 13:57:08.184,74579.638,0.0,-0.443,-0.896,0.0,0.011,0.016,0.009,-0.016,0.008,0.0,0.459,1.527
2024-10-15 13:57:08.195,74579.648,-0.0,-0.443,-0.896,0.002,0.014,0.014,0.008,-0.026,0.012,-0.0,0.459,1.527
2024-10-15 13:57:08.204,74579.658,-0.0,-0.443,-0.896,0.002,0.015,0.008,-0.016,-0.023,0.01,-0.0,0.459,1.527
2024-10-15 13:57:08.214,74579.668,-0.001,-0.443,-0.896,-0.0,0.005,0.004,-0.055,-0.015,0.014,-0.001,0.459,1.527
2024-10-15 13:57:08.224,74579.678,-0.001,-0.443,-0.897,-0.007,-0.011,-0.0,-0.083,-0.007,0.014,-0.001,0.458,1.527
2024-10-15 13:57:08.234,74579.688,-0.0,-0.442,-0.897,-0.011,-0.019,-0.005,-0.081,0.01,0.002,-0.001,0.458,1.527
2024-10-15 13:57:08.245,74579.698,-0.0,-0.441,-0.897,-0.016,-0.016,-0.005,-0.058,0.032,-0.014,-0.0,0.457,1.527
2024-10-15 13:57:08.254,74579.708,0.0,-0.441,-0.898,-0.021,-0.006,-0.0,-0.037,0.045,-0.024,0.0,0.456,1.527
2024-10-15 13:57:08.264,74579.718,0.001,-0.441,-0.898,-0.02,0.0,0.003,-0.018,0.053,-0.034,0.001,0.456,1.527
2024-10-15 13:57:08.275,74579.728,0.001,-0.44,-0.898,-0.015,0.001,0.009,-0.01,0.043,-0.04,0.002,0.456,1.526
2024-10-15 13:57:08.284,74579.738,0.002,-0.44,-0.898,-0.011,-0.004,0.012,-0.013,0.041,-0.043,0.002,0.456,1.526
2024-10-15 13:57:08.295,74579.748,0.002,-0.44,-0.898,-0.007,-0.005,0.011,-0.038,0.035,-0.044,0.003,0.456,1.525
