Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:43:37.748,73769.19,-0.066,-0.35,-0.935,0.023,0.008,0.002,0.016,-0.063,-0.014,-0.07,0.357,1.48
2024-10-15 13:43:37.754,73769.2,-0.066,-0.35,-0.935,0.025,0.003,0.002,0.01,-0.082,-0.013,-0.071,0.357,1.48
2024-10-15 13:43:37.758,73769.21,-0.067,-0.35,-0.934,0.012,0.0,0.006,0.007,-0.066,-0.003,-0.072,0.357,1.48
2024-10-15 13:43:37.768,73769.22,-0.068,-0.35,-0.934,0.003,-0.002,0.01,0.008,-0.048,0.017,-0.072,0.357,1.48
2024-10-15 13:43:37.778,73769.23,-0.068,-0.35,-0.934,0.005,-0.002,0.014,0.001,-0.04,0.047,-0.073,0.357,1.48
2024-10-15 13:43:37.789,73769.24,-0.069,-0.35,-0.934,0.011,-0.005,0.014,0.006,-0.056,0.052,-0.073,0.357,1.48
2024-10-15 13:43:37.798,73769.25,-0.069,-0.35,-0.934,0.01,-0.002,0.014,-0.002,-0.058,0.044,-0.074,0.357,1.481
2024-10-15 13:43:37.808,73769.26,-0.07,-0.35,-0.934,0.002,0.0,0.014,-0.005,0.007,0.023,-0.075,0.357,1.481
2024-10-15 13:43:37.818,73769.27,-0.069,-0.35,-0.934,-0.009,-0.0,0.015,0.016,0.076,0.005,-0.074,0.357,1.481
2024-10-15 13:43:37.828,73769.28,-0.068,-0.35,-0.934,-0.013,0.003,0.013,0.026,0.094,-0.009,-0.073,0.358,1.481
2024-10-15 13:43:37.839,73769.29,-0.068,-0.35,-0.934,-0.003,0.003,0.015,0.036,0.073,-0.005,-0.072,0.358,1.481
2024-10-15 13:43:37.848,73769.3,-0.067,-0.351,-0.934,0.0,-0.003,0.012,0.024,0.054,0.004,-0.072,0.358,1.481
2024-10-15 13:43:37.859,73769.31,-0.067,-0.351,-0.934,-0.004,-0.004,0.008,0.024,0.052,0.009,-0.071,0.358,1.481
2024-10-15 13:43:37.868,73769.32,-0.066,-0.351,-0.934,-0.013,-0.005,0.007,0.026,0.05,0.005,-0.071,0.359,1.482
