Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-23 22:01:45.794,19629.353,0.481,0.158,-0.862,-0.022,0.006,-0.007,0.011,-0.005,-0.036,0.509,-0.159,1.195
2024-10-23 22:01:45.808,19629.363,0.481,0.158,-0.862,-0.017,-0.008,-0.003,0.003,0.007,-0.027,0.509,-0.159,1.195
2024-10-23 22:01:45.811,19629.373,0.481,0.158,-0.862,-0.015,-0.02,-0.005,-0.042,-0.005,-0.02,0.509,-0.159,1.195
2024-10-23 22:01:45.817,19629.383,0.481,0.159,-0.862,-0.019,-0.014,-0.011,-0.061,0.013,-0.049,0.509,-0.16,1.195
2024-10-23 22:01:45.827,19629.393,0.481,0.16,-0.862,-0.021,-0.024,-0.016,-0.089,0.015,-0.049,0.509,-0.16,1.194
2024-10-23 22:01:45.836,19629.403,0.481,0.161,-0.862,-0.017,-0.029,-0.019,-0.124,0.016,-0.047,0.509,-0.162,1.195
2024-10-23 22:01:45.847,19629.413,0.481,0.162,-0.861,-0.022,-0.02,-0.022,-0.141,0.016,-0.06,0.509,-0.163,1.195
2024-10-23 22:01:45.857,19629.423,0.481,0.164,-0.861,-0.023,-0.023,-0.021,-0.124,0.021,-0.068,0.51,-0.165,1.195
2024-10-23 22:01:45.867,19629.433,0.481,0.165,-0.861,-0.024,-0.026,-0.017,-0.103,0.031,-0.067,0.51,-0.166,1.195
2024-10-23 22:01:45.878,19629.443,0.481,0.166,-0.861,-0.024,-0.021,-0.011,-0.093,0.03,-0.064,0.51,-0.167,1.195
2024-10-23 22:01:45.888,19629.453,0.482,0.167,-0.86,-0.027,-0.014,-0.003,-0.053,0.034,-0.073,0.51,-0.168,1.194
2024-10-23 22:01:45.898,19629.463,0.482,0.168,-0.86,-0.026,-0.012,0.002,0.001,0.04,-0.075,0.51,-0.168,1.194
2024-10-23 22:01:45.908,19629.473,0.482,0.168,-0.86,-0.023,-0.001,0.002,0.05,0.044,-0.083,0.511,-0.168,1.193
2024-10-23 22:01:45.917,19629.483,0.482,0.167,-0.86,-0.023,0.007,0.003,0.088,0.055,-0.082,0.511,-0.168,1.192
2024-10-23 22:01:45.928,19629.493,0.482,0.167,-0.86,-0.018,0.006,0.005,0.094,0.055,-0.081,0.511,-0.168,1.191
2024-10-23 22:01:45.937,19629.503,0.483,0.166,-0.86,-0.015,0.008,0.01,0.088,0.048,-0.087,0.511,-0.167,1.19
2024-10-23 22:01:45.948,19629.513,0.483,0.166,-0.86,-0.008,0.005,0.014,0.083,0.039,-0.096,0.511,-0.167,1.188
2024-10-23 22:01:45.957,19629.523,0.483,0.166,-0.86,-0.001,-0.002,0.014,0.065,0.031,-0.102,0.512,-0.167,1.187
2024-10-23 22:01:45.967,19629.533,0.483,0.166,-0.86,0.001,-0.006,0.012,0.033,0.017,-0.105,0.512,-0.167,1.186
2024-10-23 22:01:45.978,19629.543,0.483,0.166,-0.86,0.006,-0.013,0.012,0.007,0.009,-0.113,0.511,-0.167,1.185
2024-10-23 22:01:45.987,19629.553,0.482,0.167,-0.86,0.012,-0.018,0.015,-0.012,0.001,-0.115,0.511,-0.168,1.184
