Date,TimeStamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudePitch,AttitudeRoll,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ
13:43.2,34490.294,0.00114171,0.00023138,0.008843958,0.010470196,-0.019775055,0.255115666,-0.019772682,-0.010470005,-0.99974966,-0.000258028,0.00188108,-0.000612409
13:43.2,34490.304,0.002694266,-0.000124482,0.006371379,0.010480547,-0.019801743,0.255103424,-0.019799361,-0.010480355,-0.999749064,0.000818688,-0.003418877,0.000258977
13:43.2,34490.314,0.000797497,-0.00015919,0.005776286,0.010491615,-0.019797063,0.255085092,-0.01979468,-0.010491422,-0.999749005,-0.00066117,-0.001519661,-0.000596854
13:43.2,34490.324,0.001215884,0.000189231,0.007790625,0.010489085,-0.019788204,0.255067305,-0.019785823,-0.010488892,-0.999749243,0.000681862,-4.61E-05,-0.001990486
13:43.2,34490.334,0.00156218,9.80E-05,0.006432056,0.010489413,-0.019814072,0.255057619,-0.019811686,-0.01048922,-0.999748707,0.001288278,-0.006080249,0.000131118
13:43.2,34490.344,0.000276878,8.46E-05,0.007088423,0.010476004,-0.019810504,0.255057441,-0.019808121,-0.010475812,-0.999748945,-0.000727734,0.0006184,0.001016619
13:43.2,34490.354,0.001875432,-0.000344709,0.008126557,0.010458682,-0.019791618,0.255065122,-0.019789243,-0.010458492,-0.999749482,-0.000714492,0.001830788,-0.000588477
13:43.2,34490.364,0.002023894,-0.000364044,0.0055632,0.010454607,-0.01978749,0.25507136,-0.019785117,-0.010454416,-0.999749601,0.002110323,-0.002444651,0.002251252
13:43.2,34490.374,0.001831029,-0.000115076,0.006722569,0.010444175,-0.019808252,0.255080754,-0.019805877,-0.010443985,-0.999749303,-0.00458542,-0.000899755,0.00037279
13:43.2,34490.384,0.001044272,0.000324236,0.006768227,0.010440982,-0.019814951,0.255094965,-0.019812575,-0.010440792,-0.999749184,0.001617349,-0.000746091,0.000557347
13:43.2,34490.394,0.000507604,-0.001102863,0.007424355,0.010448209,-0.019812344,0.255098572,-0.019809967,-0.010448019,-0.999749184,0.000900513,0.004286991,-0.001713991
13:43.2,34490.404,0.001068247,-0.000696911,0.009286702,0.010442173,-0.019777881,0.255084567,-0.019775514,-0.010441983,-0.999749899,-0.000407099,0.004127467,-3.54E-05
13:43.2,34490.414,0.002102787,-0.001856578,0.004617274,0.010442174,-0.019790085,0.255096922,-0.019787714,-0.010441985,-0.99974966,0.000470113,-0.001835882,0.001216362
13:43.2,34490.424,0.001456777,-1.28E-05,0.006005168,0.01045485,-0.019815473,0.255100827,-0.019813092,-0.010454659,-0.999749064,-0.000122441,-0.000426804,-0.001626829
13:43.2,34490.434,0.001383157,-0.001553805,0.007958233,0.010455032,-0.019818148,0.255096913,-0.019815767,-0.010454841,-0.999749005,-0.0003964,0.000356781,0.000603082
13:43.2,34490.444,0.000938112,-0.001229822,0.004845619,0.010443321,-0.019815605,0.255087241,-0.019813228,-0.010443131,-0.999749184,-0.001763667,0.00093016,-0.000926637
13:43.2,34490.454,0.001756428,0.000230672,0.004326642,0.01043897,-0.019825206,0.255081446,-0.019822827,-0.01043878,-0.999749005,7.70E-05,0.000580591,0.000961939
13:43.2,34490.464,0.001311509,-0.001335435,0.008415699,0.010444519,-0.019838054,0.255079126,-0.019835671,-0.010444329,-0.999748707,0.00174282,-0.000670828,0.000359532
13:43.2,34490.474,0.001938641,-0.000287488,0.007789969,0.010454868,-0.019839579,0.255096308,-0.019837193,-0.010454678,-0.999748588,-0.002068412,-0.001914032,0.001097957
13:43.2,34490.484,0.000742115,-0.000505766,0.006462455,0.010434954,-0.019848496,0.255112573,-0.019846112,-0.010434764,-0.999748588,-0.000678775,-0.002352655,-0.002522344
13:43.2,34490.494,0.001137029,-0.000705584,0.006050527,0.0104335,-0.01984668,0.255103125,-0.019844297,-0.010433311,-0.999748647,-0.000186607,-0.002627493,0.001314738
13:43.2,34490.504,0.001837533,0.000543167,0.009056568,0.01043103,-0.01984528,0.255097385,-0.019842898,-0.010430842,-0.999748707,0.000113265,0.000100117,-0.000128163
13:43.2,34490.514,9.94E-05,0.000512533,0.007943273,0.010430914,-0.019816154,0.255098798,-0.01981378,-0.010430725,-0.999749303,4.38E-05,0.000182142,0.001080928
13:43.3,34490.524,0.000657264,-0.000342022,0.004006326,0.010430851,-0.019824674,0.255090886,-0.019822298,-0.010430662,-0.999749124,0.000310872,-0.000506818,-0.000475157
13:43.3,34490.534,0.002806176,-9.75E-05,0.006813705,0.010431225,-0.019837356,0.255084828,-0.019834977,-0.010431035,-0.999748826,0.000430603,0.000315566,-0.000841084
13:43.3,34490.544,0.001440683,0.000635756,0.009545326,0.010416806,-0.01982989,0.255098458,-0.019827515,-0.010416618,-0.999749124,-0.001362503,-0.001431467,0.00112566
13:43.3,34490.554,0.001268115,-0.001631061,0.005105495,0.01040829,-0.019809905,0.255087314,-0.019807536,-0.010408103,-0.99974966,0.001106357,0.002587243,-0.0004667
13:43.3,34490.564,0.002336727,-0.001185533,0.006905973,0.010411314,-0.019810403,0.255104473,-0.019808033,-0.010411126,-0.999749601,-0.002047358,0.0018602,0.001284861
13:43.3,34490.574,0.001566056,0.000659512,0.010018647,0.010410045,-0.019817933,0.255110203,-0.019815562,-0.010409857,-0.999749482,0.000848507,-0.002523097,0.000196799
13:43.3,34490.584,0.001674356,-0.000202145,0.004921615,0.010433399,-0.019834688,0.255114125,-0.019832307,-0.010433209,-0.999748886,0.000687386,0.000124351,-0.000102274
13:43.3,34490.594,0.001487019,-0.000791467,0.007012129,0.01043917,-0.019830455,0.25510878,-0.019828074,-0.010438981,-0.999748886,0.001084096,-0.002545734,0.001339505
13:43.3,34490.604,0.001607707,0.000327515,0.008568168,0.010444261,-0.019844338,0.255126944,-0.019841954,-0.010444071,-0.999748588,-0.001364415,0.000291864,0.000608733
13:43.3,34490.614,0.000569332,-0.001342901,0.005440533,0.010437052,-0.019828295,0.255132353,-0.019825915,-0.010436862,-0.999748945,-0.000531329,0.003136653,0.00202942
13:43.4,34490.624,0.000690632,-0.000552939,0.007607639,0.010433556,-0.019812259,0.25513657,-0.019809885,-0.010433367,-0.999749303,-0.001670895,-0.001211224,-0.00182231
13:43.4,34490.634,0.001764506,0.000294056,0.007073045,0.010441319,-0.019833288,0.255118517,-0.019830907,-0.010441129,-0.999748826,0.001455295,-0.00288795,0.001203972
13:43.4,34490.644,0.001442937,-0.002536587,0.004067183,0.010433552,-0.01983215,0.255117512,-0.019829771,-0.010433363,-0.999748945,-0.001124775,0.002034637,0.001525416
13:43.4,34490.654,0.001365818,-0.0017727,0.010095656,0.01040398,-0.01978553,0.255126025,-0.019783169,-0.010403792,-0.999750137,-0.003556067,0.003421611,0.00347032
13:43.4,34490.664,0.002363939,-0.000574553,0.006906986,0.010381421,-0.019776563,0.255136501,-0.019774208,-0.010381235,-0.999750555,-0.002572029,-0.002284212,0.00195658
13:43.4,34490.674,0.002466183,-0.000982339,0.003213763,0.010385625,-0.019802523,0.25513612,-0.019800162,-0.010385438,-0.999750018,0.000783218,-0.00087753,-0.001039885
13:43.4,34490.684,0.001342595,-0.000350351,0.008615971,0.010376743,-0.019777558,0.255124285,-0.019775204,-0.010376557,-0.999750614,0.001745684,0.006389438,0.001511955
13:43.4,34490.694,0.00173641,0.00074431,0.006083429,0.010372772,-0.019759382,0.255129729,-0.019757034,-0.010372586,-0.999751031,0.001084471,-0.001121209,-0.000192653
13:43.4,34490.704,0.001806991,0.001021668,0.003000915,0.010375471,-0.01976893,0.255140261,-0.019766578,-0.010375285,-0.999750793,0.000582998,0.004049318,-0.001774837
