Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 15:14:14.250,175138.722,0.014,0.658,-0.753,0.05,0.156,0.115,1.411,-0.303,0.222,0.018,-0.719,0.992
2024-09-23 15:14:14.261,175138.732,0.012,0.649,-0.761,0.041,0.151,0.102,0.986,-0.222,-0.084,0.016,-0.706,0.992
2024-09-23 15:14:14.271,175138.742,0.011,0.644,-0.765,-0.085,0.09,-0.004,0.326,-0.195,0.119,0.014,-0.7,0.992
2024-09-23 15:14:14.281,175138.752,0.01,0.644,-0.765,-0.067,-0.137,-0.044,-0.301,-0.097,0.103,0.014,-0.7,0.994
2024-09-23 15:14:14.291,175138.762,0.011,0.648,-0.761,0.04,-0.28,-0.074,-0.84,-0.003,0.15,0.014,-0.705,0.995
2024-09-23 15:14:14.301,175138.772,0.012,0.656,-0.754,-0.069,-0.193,-0.119,-1.316,0.269,0.051,0.016,-0.716,0.997
2024-09-23 15:14:14.311,175138.782,0.015,0.668,-0.744,-0.009,-0.203,-0.071,-1.632,0.349,0.128,0.021,-0.731,0.999
2024-09-23 15:14:14.320,175138.792,0.019,0.68,-0.733,-0.083,-0.195,-0.122,-1.595,0.393,0.091,0.025,-0.747,1.0
2024-09-23 15:14:14.330,175138.802,0.022,0.691,-0.723,-0.099,-0.177,-0.078,-1.421,0.464,0.051,0.031,-0.762,1.002
2024-09-23 15:14:14.340,175138.812,0.026,0.7,-0.714,-0.025,-0.077,-0.033,-1.106,0.442,0.056,0.036,-0.775,1.003
2024-09-23 15:14:14.351,175138.822,0.029,0.707,-0.707,-0.028,-0.011,0.033,-0.997,0.428,0.033,0.041,-0.785,1.005
2024-09-23 15:14:14.360,175138.832,0.032,0.714,-0.7,-0.031,0.085,0.058,-0.883,0.436,-0.044,0.046,-0.795,1.005
2024-09-23 15:14:14.370,175138.842,0.035,0.72,-0.694,0.01,0.119,0.073,-0.817,0.356,-0.055,0.05,-0.803,1.005
2024-09-23 15:14:14.380,175138.852,0.037,0.725,-0.688,-0.014,0.044,0.026,-0.765,0.3,-0.048,0.053,-0.811,1.005
2024-09-23 15:14:14.391,175138.862,0.038,0.73,-0.682,0.016,-0.061,-0.002,-0.708,0.268,-0.036,0.056,-0.819,1.005
2024-09-23 15:14:14.401,175138.872,0.04,0.735,-0.677,0.014,-0.071,-0.0,-0.656,0.264,-0.043,0.059,-0.825,1.005
2024-09-23 15:14:14.411,175138.882,0.041,0.739,-0.673,0.005,0.023,0.019,-0.562,0.219,-0.036,0.061,-0.831,1.005
2024-09-23 15:14:14.421,175138.892,0.042,0.742,-0.669,0.006,0.026,0.039,-0.399,0.166,-0.027,0.063,-0.836,1.005
2024-09-23 15:14:14.431,175138.902,0.043,0.744,-0.667,0.02,0.018,0.022,-0.235,0.104,-0.017,0.064,-0.839,1.005
2024-09-23 15:14:14.442,175138.912,0.043,0.745,-0.665,0.024,0.045,-0.013,-0.067,0.037,-0.012,0.065,-0.841,1.005
2024-09-23 15:14:14.451,175138.922,0.043,0.745,-0.665,0.019,0.042,-0.003,0.071,-0.018,0.006,0.065,-0.841,1.005
2024-09-23 15:14:14.459,175138.932,0.043,0.744,-0.666,0.019,0.037,0.024,0.16,-0.066,0.033,0.065,-0.84,1.005
2024-09-23 15:14:14.470,175138.942,0.043,0.743,-0.668,0.015,0.057,0.031,0.242,-0.081,0.059,0.064,-0.838,1.005
2024-09-23 15:14:14.480,175138.952,0.043,0.741,-0.67,0.007,0.045,0.03,0.315,-0.083,0.073,0.064,-0.835,1.006
2024-09-23 15:14:14.490,175138.962,0.043,0.739,-0.673,0.001,0.029,0.03,0.382,-0.091,0.082,0.064,-0.831,1.007
