Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-23 22:35:07.355,21630.859,0.508,-0.059,-0.86,0.015,-0.018,0.014,-0.082,-0.002,0.012,0.533,0.059,1.106
2024-10-23 22:35:07.368,21630.869,0.508,-0.059,-0.86,-0.005,-0.018,0.007,-0.099,0.019,-0.019,0.534,0.059,1.107
2024-10-23 22:35:07.370,21630.879,0.508,-0.058,-0.859,-0.019,-0.003,-0.001,-0.116,0.022,-0.02,0.534,0.058,1.107
2024-10-23 22:35:07.372,21630.889,0.508,-0.057,-0.859,-0.013,-0.018,-0.004,-0.143,0.037,-0.021,0.534,0.057,1.107
2024-10-23 22:35:07.378,21630.899,0.509,-0.055,-0.859,-0.006,-0.023,-0.003,-0.183,0.039,-0.022,0.534,0.055,1.108
2024-10-23 22:35:07.389,21630.909,0.509,-0.053,-0.859,-0.014,-0.021,-0.006,-0.239,0.049,-0.028,0.535,0.053,1.109
2024-10-23 22:35:07.399,21630.919,0.509,-0.051,-0.859,-0.014,-0.025,-0.006,-0.311,0.043,-0.024,0.535,0.051,1.11
2024-10-23 22:35:07.409,21630.929,0.509,-0.048,-0.859,-0.009,-0.031,0.003,-0.409,0.051,-0.021,0.535,0.048,1.112
2024-10-23 22:35:07.419,21630.939,0.51,-0.044,-0.859,-0.011,-0.039,0.012,-0.532,0.051,-0.014,0.536,0.044,1.114
2024-10-23 22:35:07.429,21630.949,0.51,-0.039,-0.859,-0.009,-0.05,0.022,-0.692,0.054,-0.007,0.536,0.039,1.117
2024-10-23 22:35:07.439,21630.959,0.511,-0.032,-0.859,-0.007,-0.074,0.036,-0.869,0.056,-0.007,0.536,0.032,1.121
2024-10-23 22:35:07.450,21630.969,0.511,-0.024,-0.859,-0.003,-0.092,0.044,-1.057,0.055,-0.005,0.537,0.024,1.126
2024-10-23 22:35:07.458,21630.979,0.511,-0.014,-0.859,-0.002,-0.11,0.051,-1.234,0.05,-0.014,0.537,0.014,1.132
2024-10-23 22:35:07.470,21630.989,0.512,-0.003,-0.859,0.002,-0.117,0.054,-1.412,0.077,-0.007,0.537,0.003,1.138
2024-10-23 22:35:07.479,21630.999,0.513,0.01,-0.859,0.006,-0.121,0.059,-1.553,0.095,0.009,0.538,-0.01,1.146
2024-10-23 22:35:07.489,21631.009,0.514,0.024,-0.858,0.003,-0.129,0.083,-1.676,0.133,0.015,0.54,-0.024,1.154
2024-10-23 22:35:07.500,21631.019,0.515,0.038,-0.856,0.0,-0.117,0.094,-1.829,0.178,0.036,0.541,-0.038,1.163
2024-10-23 22:35:07.509,21631.028,0.517,0.055,-0.854,-0.005,-0.083,0.083,-2.036,0.202,0.05,0.544,-0.055,1.174
2024-10-23 22:35:07.519,21631.038,0.518,0.073,-0.852,-0.012,-0.082,0.076,-2.287,0.216,0.027,0.547,-0.073,1.185
2024-10-23 22:35:07.529,21631.048,0.52,0.093,-0.849,0.007,-0.105,0.067,-2.551,0.218,0.031,0.55,-0.093,1.198
2024-10-23 22:35:07.539,21631.058,0.522,0.116,-0.845,0.025,-0.127,0.049,-2.797,0.255,0.037,0.554,-0.116,1.215
2024-10-23 22:35:07.549,21631.068,0.525,0.14,-0.84,0.024,-0.146,0.053,-3.093,0.314,0.056,0.559,-0.141,1.231
2024-10-23 22:35:07.558,21631.078,0.528,0.167,-0.833,0.012,-0.151,0.065,-3.528,0.391,0.088,0.565,-0.168,1.249
2024-10-23 22:35:07.569,21631.088,0.532,0.198,-0.824,-0.005,-0.131,0.065,-3.997,0.451,0.106,0.573,-0.199,1.27
2024-10-23 22:35:07.578,21631.098,0.536,0.232,-0.812,-0.026,-0.136,0.068,-4.384,0.475,0.102,0.583,-0.234,1.295
2024-10-23 22:35:07.589,21631.108,0.54,0.267,-0.798,-0.039,-0.173,0.075,-4.581,0.465,0.083,0.594,-0.271,1.321
2024-10-23 22:35:07.599,21631.118,0.544,0.303,-0.783,-0.031,-0.162,0.073,-4.656,0.536,0.084,0.607,-0.308,1.349
