Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 14:36:49.425,172893.892,0.097,0.791,-0.604,-0.008,-0.003,-0.026,-0.224,-0.135,-0.01,0.159,-0.913,0.74
2024-09-23 14:36:49.435,172893.902,0.096,0.793,-0.602,0.001,-0.03,-0.03,-0.237,-0.192,0.004,0.157,-0.915,0.741
2024-09-23 14:36:49.445,172893.912,0.094,0.794,-0.6,0.01,-0.019,-0.015,-0.295,-0.244,0.023,0.156,-0.918,0.742
2024-09-23 14:36:49.455,172893.922,0.093,0.796,-0.598,0.013,-0.034,-0.004,-0.329,-0.239,0.034,0.154,-0.921,0.743
2024-09-23 14:36:49.465,172893.932,0.092,0.798,-0.595,0.019,-0.017,0.003,-0.283,-0.207,0.052,0.153,-0.924,0.744
2024-09-23 14:36:49.475,172893.942,0.091,0.8,-0.593,0.005,-0.005,0.003,-0.309,-0.15,0.045,0.153,-0.927,0.746
2024-09-23 14:36:49.485,172893.952,0.091,0.802,-0.591,-0.002,-0.017,0.005,-0.401,-0.111,0.023,0.153,-0.93,0.747
2024-09-23 14:36:49.496,172893.962,0.091,0.804,-0.588,-0.009,-0.009,0.009,-0.389,-0.085,0.025,0.153,-0.934,0.749
2024-09-23 14:36:49.504,172893.972,0.09,0.806,-0.584,-0.008,-0.043,-0.001,-0.412,-0.057,-0.028,0.153,-0.938,0.75
2024-09-23 14:36:49.515,172893.982,0.09,0.809,-0.581,0.001,-0.081,-0.001,-0.392,-0.017,-0.043,0.153,-0.942,0.75
2024-09-23 14:36:49.525,172893.992,0.089,0.811,-0.578,-0.003,-0.039,-0.003,-0.27,0.01,-0.035,0.153,-0.946,0.75
2024-09-23 14:36:49.534,172894.002,0.089,0.812,-0.577,-0.009,-0.009,0.006,-0.188,0.114,-0.051,0.153,-0.948,0.75
2024-09-23 14:36:49.545,172894.012,0.09,0.813,-0.575,-0.007,-0.004,0.025,-0.171,0.184,-0.038,0.155,-0.95,0.75
2024-09-23 14:36:49.555,172894.022,0.091,0.814,-0.573,-0.015,0.036,0.031,-0.171,0.195,-0.025,0.157,-0.951,0.75
2024-09-23 14:36:49.565,172894.032,0.091,0.815,-0.572,-0.035,0.029,0.002,-0.172,0.184,-0.024,0.159,-0.953,0.75
2024-09-23 14:36:49.575,172894.042,0.092,0.816,-0.57,-0.017,-0.013,-0.003,-0.163,0.18,-0.03,0.16,-0.955,0.75
2024-09-23 14:36:49.585,172894.052,0.093,0.817,-0.569,-0.0,-0.016,-0.0,-0.16,0.169,-0.039,0.162,-0.956,0.75
2024-09-23 14:36:49.595,172894.062,0.094,0.818,-0.568,-0.001,0.014,0.004,-0.114,0.156,-0.064,0.163,-0.958,0.749
2024-09-23 14:36:49.605,172894.072,0.094,0.818,-0.567,0.001,0.011,0.002,-0.054,0.141,-0.083,0.164,-0.959,0.748
2024-09-23 14:36:49.615,172894.082,0.094,0.819,-0.566,0.008,0.008,0.006,-0.015,0.107,-0.098,0.164,-0.959,0.747
2024-09-23 14:36:49.625,172894.092,0.093,0.819,-0.566,0.006,0.033,0.015,0.023,0.063,-0.102,0.163,-0.959,0.745
2024-09-23 14:36:49.635,172894.102,0.093,0.819,-0.567,0.007,0.033,0.013,0.085,0.037,-0.102,0.162,-0.959,0.743
2024-09-23 14:36:49.645,172894.112,0.092,0.818,-0.568,0.011,0.01,0.009,0.174,0.017,-0.098,0.161,-0.958,0.741
2024-09-23 14:36:49.655,172894.122,0.091,0.817,-0.57,0.011,0.021,0.018,0.243,-0.02,-0.091,0.159,-0.956,0.739
2024-09-23 14:36:49.664,172894.131,0.09,0.815,-0.572,0.007,0.043,0.027,0.291,-0.061,-0.088,0.157,-0.953,0.737
2024-09-23 14:36:49.675,172894.141,0.089,0.814,-0.574,0.008,0.034,0.025,0.343,-0.089,-0.069,0.154,-0.95,0.734
2024-09-23 14:36:49.685,172894.151,0.088,0.812,-0.577,0.011,0.011,0.021,0.398,-0.091,-0.062,0.152,-0.947,0.732
2024-09-23 14:36:49.695,172894.161,0.087,0.809,-0.581,0.008,0.017,0.021,0.462,-0.078,-0.065,0.149,-0.943,0.73
2024-09-23 14:36:49.705,172894.171,0.086,0.807,-0.585,0.003,0.048,0.026,0.52,-0.09,-0.077,0.147,-0.938,0.728
2024-09-23 14:36:49.715,172894.181,0.085,0.803,-0.589,0.002,0.038,0.028,0.578,-0.118,-0.097,0.143,-0.933,0.725
2024-09-23 14:36:49.725,172894.191,0.083,0.8,-0.594,0.004,0.021,0.024,0.651,-0.138,-0.119,0.14,-0.927,0.722
2024-09-23 14:36:49.735,172894.201,0.082,0.796,-0.6,0.013,0.029,0.026,0.632,0.002,-0.07,0.136,-0.921,0.719
2024-09-23 14:36:49.745,172894.211,0.082,0.793,-0.603,0.017,0.031,0.033,0.367,0.01,-0.024,0.135,-0.916,0.717
2024-09-23 14:36:49.755,172894.221,0.081,0.791,-0.606,-0.002,0.032,0.023,0.325,-0.09,-0.04,0.134,-0.913,0.716
2024-09-23 14:36:49.765,172894.231,0.081,0.789,-0.608,-0.032,-0.004,-0.03,0.251,-0.105,-0.038,0.132,-0.91,0.715
2024-09-23 14:36:49.774,172894.241,0.08,0.788,-0.61,0.014,-0.125,-0.008,0.25,-0.067,-0.031,0.13,-0.908,0.713
2024-09-23 14:36:49.784,172894.251,0.079,0.787,-0.612,0.007,-0.037,-0.007,0.204,-0.043,-0.001,0.129,-0.905,0.713
2024-09-23 14:36:49.794,172894.261,0.079,0.786,-0.614,-0.018,0.073,0.005,0.101,-0.027,0.012,0.128,-0.904,0.712
2024-09-23 14:36:49.805,172894.271,0.079,0.785,-0.614,-0.0,0.019,-0.006,0.047,-0.03,0.053,0.128,-0.903,0.713
2024-09-23 14:36:49.815,172894.281,0.079,0.785,-0.615,0.009,-0.025,-0.014,0.018,-0.046,0.055,0.128,-0.902,0.714
2024-09-23 14:36:49.824,172894.291,0.079,0.785,-0.615,0.006,-0.034,-0.005,0.062,-0.033,0.041,0.129,-0.902,0.714
2024-09-23 14:36:49.834,172894.301,0.08,0.784,-0.616,0.005,-0.003,0.006,0.132,-0.009,0.067,0.129,-0.901,0.715
2024-09-23 14:36:49.844,172894.311,0.081,0.783,-0.617,0.008,0.02,0.001,0.165,0.037,0.083,0.13,-0.899,0.716
2024-09-23 14:36:49.854,172894.321,0.081,0.782,-0.618,0.009,0.039,0.012,0.198,-0.059,0.068,0.131,-0.898,0.717
2024-09-23 14:36:49.864,172894.331,0.081,0.781,-0.62,0.012,0.033,0.027,0.192,-0.086,0.06,0.13,-0.895,0.717
2024-09-23 14:36:49.874,172894.341,0.081,0.779,-0.621,0.007,-0.018,0.017,0.161,-0.164,0.087,0.13,-0.894,0.718
2024-09-23 14:36:49.884,172894.351,0.08,0.779,-0.622,0.005,-0.03,0.023,0.024,-0.176,0.028,0.128,-0.893,0.719
2024-09-23 14:36:49.895,172894.361,0.079,0.779,-0.622,0.006,-0.049,0.016,-0.175,-0.19,0.011,0.127,-0.893,0.719
2024-09-23 14:36:49.904,172894.371,0.078,0.781,-0.62,-0.015,-0.064,-0.006,-0.412,-0.164,0.032,0.126,-0.896,0.72
2024-09-23 14:36:49.915,172894.381,0.078,0.784,-0.616,-0.042,-0.144,-0.015,-0.615,-0.066,0.101,0.126,-0.901,0.722
2024-09-23 14:36:49.925,172894.391,0.079,0.788,-0.611,-0.047,-0.186,-0.028,-0.705,0.031,0.182,0.129,-0.908,0.726
2024-09-23 14:36:49.934,172894.401,0.081,0.792,-0.605,-0.059,-0.109,-0.039,-0.672,0.137,0.269,0.134,-0.914,0.731
2024-09-23 14:36:49.944,172894.411,0.085,0.796,-0.6,-0.065,-0.017,-0.04,-0.681,0.359,0.339,0.141,-0.92,0.737
2024-09-23 14:36:49.954,172894.421,0.091,0.8,-0.593,-0.068,0.062,-0.03,-0.873,0.527,0.355,0.152,-0.927,0.745
2024-09-23 14:36:49.964,172894.431,0.097,0.805,-0.585,-0.084,0.102,-0.026,-1.028,0.54,0.361,0.164,-0.936,0.754
2024-09-23 14:36:49.974,172894.441,0.102,0.811,-0.576,-0.113,-0.025,-0.066,-1.076,0.391,0.172,0.175,-0.946,0.761
2024-09-23 14:36:49.984,172894.451,0.105,0.817,-0.567,-0.067,-0.177,-0.073,-1.035,0.336,0.153,0.183,-0.956,0.767
2024-09-23 14:36:49.994,172894.461,0.108,0.822,-0.559,-0.067,-0.109,-0.066,-0.834,0.262,0.059,0.19,-0.965,0.772
2024-09-23 14:36:50.007,172894.471,0.108,0.826,-0.553,-0.097,0.04,-0.049,-0.592,0.215,-0.116,0.194,-0.973,0.773
