Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 14:57:54.719,174159.185,0.089,0.764,-0.639,0.015,0.025,0.012,0.284,-0.065,-0.032,0.139,-0.869,0.927
2024-09-23 14:57:54.729,174159.195,0.089,0.762,-0.641,0.006,0.063,0.028,0.193,-0.02,-0.003,0.138,-0.867,0.926
2024-09-23 14:57:54.739,174159.205,0.089,0.761,-0.642,-0.021,0.065,0.01,0.181,-0.004,-0.012,0.137,-0.865,0.926
2024-09-23 14:57:54.749,174159.215,0.089,0.76,-0.644,-0.015,-0.021,-0.008,0.172,0.021,-0.012,0.137,-0.864,0.925
2024-09-23 14:57:54.759,174159.225,0.089,0.759,-0.645,0.002,-0.061,-0.004,0.18,0.097,0.008,0.137,-0.862,0.925
2024-09-23 14:57:54.769,174159.235,0.09,0.758,-0.646,-0.014,0.036,0.009,0.2,0.126,0.027,0.138,-0.86,0.924
2024-09-23 14:57:54.779,174159.245,0.091,0.757,-0.647,-0.027,0.035,0.012,0.144,0.109,0.032,0.139,-0.858,0.925
2024-09-23 14:57:54.789,174159.255,0.092,0.756,-0.648,-0.019,-0.003,0.016,-0.012,0.071,0.046,0.141,-0.858,0.925
2024-09-23 14:57:54.799,174159.265,0.092,0.757,-0.647,-0.012,-0.062,0.015,-0.108,0.02,0.07,0.142,-0.858,0.926
2024-09-23 14:57:54.809,174159.275,0.093,0.758,-0.646,0.005,-0.139,-0.003,-0.212,0.002,0.063,0.143,-0.86,0.927
2024-09-23 14:57:54.819,174159.285,0.094,0.759,-0.644,0.018,-0.067,-0.008,-0.21,0.013,0.069,0.144,-0.862,0.929
2024-09-23 14:57:54.829,174159.295,0.094,0.76,-0.643,-0.0,0.024,0.005,-0.164,0.02,0.055,0.145,-0.864,0.93
2024-09-23 14:57:54.839,174159.304,0.095,0.761,-0.642,-0.006,-0.011,0.009,-0.105,0.041,0.043,0.146,-0.865,0.931
2024-09-23 14:57:54.849,174159.314,0.095,0.761,-0.641,0.005,0.018,0.021,-0.035,0.033,0.035,0.147,-0.865,0.932
2024-09-23 14:57:54.858,174159.324,0.095,0.761,-0.641,0.002,0.057,0.024,0.019,-0.009,0.012,0.148,-0.865,0.932
2024-09-23 14:57:54.869,174159.334,0.095,0.761,-0.641,0.011,0.039,0.016,-0.006,-0.022,0.006,0.148,-0.865,0.932
2024-09-23 14:57:54.878,174159.344,0.096,0.761,-0.641,0.018,0.031,0.004,-0.044,-0.025,0.062,0.148,-0.865,0.933
2024-09-23 14:57:54.889,174159.354,0.096,0.762,-0.641,-0.005,0.015,-0.02,-0.09,-0.035,0.18,0.149,-0.866,0.935
2024-09-23 14:57:54.899,174159.364,0.098,0.762,-0.64,-0.026,0.013,-0.029,-0.257,-0.064,0.326,0.152,-0.867,0.939
2024-09-23 14:57:54.908,174159.374,0.1,0.764,-0.637,-0.038,0.054,-0.049,-0.393,-0.157,0.414,0.156,-0.87,0.946
2024-09-23 14:57:54.918,174159.384,0.094,0.769,-0.632,-0.05,0.027,-0.08,-0.892,-0.913,-0.369,0.148,-0.878,0.945
2024-09-23 14:57:54.928,174159.394,0.089,0.774,-0.626,-0.167,-0.063,-0.021,-0.847,-0.783,0.211,0.142,-0.886,0.947
2024-09-23 14:57:54.939,174159.404,0.086,0.779,-0.621,-0.317,-0.083,0.052,-0.734,-0.526,-0.036,0.138,-0.893,0.95
2024-09-23 14:57:54.948,174159.414,0.082,0.784,-0.616,-0.129,0.132,0.012,-0.656,-0.47,-0.184,0.132,-0.9,0.95
2024-09-23 14:57:54.959,174159.424,0.079,0.787,-0.612,-0.157,0.119,-0.013,-0.429,-0.278,0.069,0.128,-0.906,0.949
2024-09-23 14:57:54.968,174159.434,0.078,0.79,-0.609,-0.127,0.018,0.027,-0.451,-0.194,0.105,0.128,-0.91,0.952
2024-09-23 14:57:54.978,174159.444,0.077,0.792,-0.605,0.012,0.041,-0.007,-0.444,-0.243,-0.03,0.127,-0.915,0.953
2024-09-23 14:57:54.988,174159.454,0.075,0.795,-0.602,0.068,0.076,0.03,-0.457,-0.277,-0.002,0.125,-0.919,0.954
2024-09-23 14:57:54.998,174159.464,0.073,0.798,-0.598,-0.024,0.019,0.063,-0.469,-0.33,-0.048,0.122,-0.924,0.955
2024-09-23 14:57:55.009,174159.474,0.071,0.801,-0.595,0.018,-0.013,0.071,-0.457,-0.362,-0.137,0.118,-0.928,0.954
2024-09-23 14:57:55.018,174159.484,0.067,0.803,-0.592,0.101,-0.042,0.081,-0.363,-0.363,-0.187,0.113,-0.933,0.952
