Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-11-02 23:09:23.278,41038.023,0.099,-0.265,-0.959,-0.008,0.007,0.001,-0.065,-0.046,0.03,0.102,0.268,1.15
2024-11-02 23:09:23.308,41038.033,0.098,-0.264,-0.959,0.007,-0.003,0.006,-0.062,-0.039,0.048,0.102,0.268,1.151
2024-11-02 23:09:23.310,41038.043,0.098,-0.264,-0.96,-0.013,-0.015,0.009,0.01,0.009,-0.008,0.102,0.267,1.151
2024-11-02 23:09:23.312,41038.053,0.098,-0.264,-0.959,-0.009,-0.001,0.007,0.04,0.015,0.009,0.102,0.268,1.151
2024-11-02 23:09:23.313,41038.063,0.098,-0.265,-0.959,-0.013,0.008,0.008,0.023,0.002,0.01,0.102,0.268,1.151
2024-11-02 23:09:23.316,41038.073,0.098,-0.265,-0.959,-0.01,0.012,0.015,-0.023,-0.021,-0.016,0.102,0.268,1.151
2024-11-02 23:09:23.324,41038.083,0.098,-0.264,-0.959,0.003,-0.029,0.018,-0.054,-0.025,-0.024,0.102,0.268,1.151
2024-11-02 23:09:23.335,41038.093,0.098,-0.264,-0.96,0.013,-0.041,0.021,-0.074,-0.024,-0.039,0.101,0.267,1.15
2024-11-02 23:09:23.344,41038.103,0.097,-0.263,-0.96,0.005,-0.036,0.021,-0.092,-0.035,-0.061,0.101,0.266,1.15
2024-11-02 23:09:23.355,41038.113,0.097,-0.262,-0.96,0.001,-0.042,0.021,-0.09,-0.022,-0.086,0.101,0.265,1.149
2024-11-02 23:09:23.365,41038.123,0.097,-0.261,-0.96,0.004,-0.048,0.022,-0.074,-0.011,-0.1,0.101,0.264,1.149
2024-11-02 23:09:23.374,41038.133,0.098,-0.26,-0.961,-0.003,-0.047,0.023,-0.063,-0.009,-0.12,0.101,0.263,1.147
2024-11-02 23:09:23.385,41038.143,0.098,-0.26,-0.961,-0.007,-0.051,0.025,-0.077,-0.012,-0.141,0.101,0.263,1.146
2024-11-02 23:09:23.395,41038.153,0.098,-0.259,-0.961,-0.004,-0.057,0.032,-0.092,-0.018,-0.159,0.102,0.262,1.145
