Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 15:21:59.324,175603.796,0.086,0.777,-0.623,-0.032,-0.008,-0.006,0.116,-0.082,-0.059,0.138,-0.891,0.815
2024-09-23 15:21:59.334,175603.806,0.086,0.776,-0.624,-0.031,-0.007,-0.003,0.218,-0.057,0.004,0.136,-0.889,0.815
2024-09-23 15:21:59.345,175603.816,0.085,0.775,-0.627,-0.036,0.031,-0.002,0.339,-0.074,0.012,0.135,-0.886,0.814
2024-09-23 15:21:59.355,175603.826,0.085,0.772,-0.63,-0.031,0.069,0.006,0.391,-0.105,0.004,0.134,-0.883,0.814
2024-09-23 15:21:59.364,175603.836,0.084,0.77,-0.633,-0.015,0.074,0.015,0.353,-0.125,0.001,0.132,-0.879,0.813
2024-09-23 15:21:59.375,175603.846,0.084,0.768,-0.635,-0.004,0.04,0.016,0.251,-0.089,0.012,0.131,-0.876,0.812
2024-09-23 15:21:59.384,175603.856,0.083,0.767,-0.637,-0.009,-0.019,0.009,0.197,-0.037,0.036,0.13,-0.874,0.812
2024-09-23 15:21:59.394,175603.866,0.084,0.765,-0.638,-0.024,-0.047,-0.0,0.158,0.009,0.064,0.13,-0.872,0.813
2024-09-23 15:21:59.404,175603.876,0.084,0.764,-0.639,-0.031,-0.033,0.003,0.123,0.039,0.08,0.131,-0.87,0.813
2024-09-23 15:21:59.414,175603.886,0.085,0.764,-0.64,-0.027,-0.002,0.003,0.063,0.064,0.088,0.132,-0.869,0.815
2024-09-23 15:21:59.423,175603.896,0.086,0.764,-0.64,-0.023,0.007,0.002,-0.014,0.088,0.084,0.134,-0.869,0.816
2024-09-23 15:21:59.434,175603.906,0.087,0.764,-0.639,-0.019,-0.015,0.001,-0.082,0.093,0.076,0.136,-0.869,0.817
2024-09-23 15:21:59.444,175603.916,0.088,0.765,-0.638,-0.015,-0.033,-0.004,-0.117,0.085,0.064,0.138,-0.87,0.818
2024-09-23 15:21:59.454,175603.926,0.089,0.765,-0.637,-0.011,-0.03,-0.005,-0.118,0.074,0.032,0.139,-0.871,0.819
2024-09-23 15:21:59.464,175603.936,0.09,0.766,-0.637,-0.006,-0.016,-0.001,-0.088,0.051,0.01,0.14,-0.872,0.82
2024-09-23 15:21:59.475,175603.946,0.09,0.766,-0.636,-0.002,0.003,0.002,-0.042,0.028,-0.014,0.141,-0.873,0.82
2024-09-23 15:21:59.484,175603.956,0.09,0.766,-0.636,0.0,0.022,0.006,-0.009,0.012,-0.028,0.141,-0.873,0.82
2024-09-23 15:21:59.494,175603.966,0.09,0.766,-0.636,0.001,0.021,0.014,0.024,0.012,-0.016,0.14,-0.873,0.819
2024-09-23 15:21:59.504,175603.976,0.09,0.766,-0.636,-0.002,0.011,0.012,0.057,0.02,0.005,0.14,-0.873,0.819
2024-09-23 15:21:59.514,175603.986,0.09,0.766,-0.637,-0.01,0.011,0.011,0.087,0.023,0.02,0.141,-0.872,0.819
2024-09-23 15:21:59.524,175603.996,0.09,0.765,-0.638,-0.015,0.016,0.012,0.125,0.02,0.026,0.141,-0.871,0.819
2024-09-23 15:21:59.534,175604.006,0.091,0.764,-0.639,-0.014,0.018,0.011,0.131,0.017,0.026,0.141,-0.87,0.819
2024-09-23 15:21:59.543,175604.016,0.091,0.763,-0.64,-0.012,0.017,0.013,0.114,0.018,0.021,0.141,-0.868,0.819
2024-09-23 15:21:59.553,175604.026,0.091,0.763,-0.64,-0.009,0.011,0.011,0.095,0.015,0.015,0.142,-0.867,0.819
2024-09-23 15:21:59.563,175604.036,0.091,0.762,-0.641,-0.007,-0.0,0.006,0.088,0.014,0.013,0.142,-0.866,0.819
2024-09-23 15:21:59.574,175604.046,0.092,0.762,-0.642,-0.007,-0.004,0.003,0.099,0.008,0.0,0.142,-0.866,0.819
2024-09-23 15:21:59.583,175604.056,0.091,0.761,-0.642,-0.006,0.003,0.006,0.112,-0.008,-0.015,0.141,-0.865,0.819
2024-09-23 15:21:59.593,175604.066,0.091,0.76,-0.643,-0.004,0.009,0.01,0.117,-0.011,-0.022,0.141,-0.864,0.818
2024-09-23 15:21:59.604,175604.076,0.091,0.759,-0.644,-0.002,0.01,0.011,0.139,-0.022,-0.026,0.14,-0.863,0.818
2024-09-23 15:21:59.612,175604.086,0.09,0.759,-0.645,-0.004,0.012,0.011,0.165,-0.028,-0.03,0.139,-0.861,0.817
