Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 14:54:37.980,173962.446,0.008,0.713,-0.701,0.014,-0.028,0.011,0.067,-0.031,0.146,0.011,-0.794,1.526
2024-09-23 14:54:37.990,173962.456,0.008,0.712,-0.702,0.016,0.005,0.023,0.122,-0.075,0.024,0.012,-0.792,1.527
2024-09-23 14:54:37.999,173962.466,0.008,0.711,-0.703,0.038,0.063,0.047,0.073,-0.093,0.031,0.011,-0.791,1.527
2024-09-23 14:54:38.009,173962.476,0.007,0.711,-0.703,0.026,-0.007,0.014,-0.056,-0.091,-0.041,0.01,-0.791,1.527
2024-09-23 14:54:38.019,173962.486,0.006,0.712,-0.702,0.028,-0.103,-0.014,-0.164,-0.078,-0.043,0.008,-0.793,1.527
2024-09-23 14:54:38.029,173962.496,0.005,0.714,-0.701,0.012,-0.063,-0.026,-0.217,-0.068,-0.061,0.007,-0.795,1.526
2024-09-23 14:54:38.039,173962.506,0.004,0.715,-0.699,-0.0,-0.017,-0.018,-0.217,-0.086,-0.036,0.006,-0.797,1.525
2024-09-23 14:54:38.049,173962.516,0.003,0.716,-0.698,-0.001,-0.0,-0.001,-0.155,-0.098,-0.04,0.005,-0.799,1.525
2024-09-23 14:54:38.060,173962.525,0.002,0.717,-0.697,0.01,0.006,0.007,-0.115,-0.076,-0.061,0.003,-0.8,1.524
2024-09-23 14:54:38.070,173962.535,0.002,0.718,-0.696,-0.002,0.009,0.02,-0.114,-0.04,-0.059,0.002,-0.801,1.523
2024-09-23 14:54:38.079,173962.545,0.001,0.719,-0.695,-0.015,-0.031,0.016,-0.132,-0.022,-0.067,0.001,-0.802,1.522
2024-09-23 14:54:38.089,173962.555,0.001,0.72,-0.694,-0.008,-0.044,0.007,-0.14,0.008,-0.056,0.001,-0.804,1.521
2024-09-23 14:54:38.099,173962.565,0.0,0.721,-0.693,-0.014,0.006,-0.001,-0.224,0.038,-0.053,0.0,-0.805,1.521
2024-09-23 14:54:38.110,173962.575,0.0,0.723,-0.691,-0.022,0.026,-0.018,-0.24,0.062,-0.022,0.001,-0.808,1.52
2024-09-23 14:54:38.119,173962.585,0.001,0.724,-0.69,-0.022,-0.016,-0.021,-0.177,0.038,-0.043,0.001,-0.81,1.52
2024-09-23 14:54:38.129,173962.595,0.0,0.725,-0.689,0.005,-0.025,0.003,-0.103,0.02,-0.064,0.001,-0.811,1.519
2024-09-23 14:54:38.139,173962.605,0.0,0.725,-0.688,0.021,0.045,0.017,0.001,0.01,-0.045,0.0,-0.812,1.518
2024-09-23 14:54:38.150,173962.615,-0.0,0.725,-0.689,0.011,0.055,0.018,0.094,-0.004,-0.034,-0.0,-0.811,1.518
2024-09-23 14:54:38.159,173962.625,-0.0,0.724,-0.69,0.001,0.043,0.024,0.15,-0.024,-0.016,-0.001,-0.81,1.517
2024-09-23 14:54:38.171,173962.635,-0.001,0.723,-0.691,0.003,0.047,0.022,0.203,-0.021,0.019,-0.001,-0.808,1.517
2024-09-23 14:54:38.180,173962.645,-0.001,0.722,-0.692,0.004,0.033,0.019,0.058,-0.011,-0.011,-0.001,-0.807,1.517
2024-09-23 14:54:38.188,173962.655,-0.001,0.722,-0.692,-0.001,0.026,-0.006,-0.036,0.035,0.016,-0.001,-0.807,1.517
2024-09-23 14:54:38.198,173962.665,-0.001,0.723,-0.691,-0.024,-0.04,-0.021,-0.114,0.02,0.007,-0.001,-0.808,1.517
2024-09-23 14:54:38.208,173962.675,-0.001,0.723,-0.69,-0.006,-0.096,-0.022,-0.111,0.004,0.004,-0.001,-0.809,1.517
2024-09-23 14:54:38.218,173962.685,-0.0,0.724,-0.69,0.006,-0.006,-0.007,-0.056,-0.005,0.029,-0.001,-0.81,1.518
2024-09-23 14:54:38.229,173962.695,-0.0,0.724,-0.689,-0.005,0.018,0.015,-0.039,-0.014,0.038,-0.0,-0.81,1.518
2024-09-23 14:54:38.239,173962.705,0.0,0.725,-0.689,-0.011,0.013,0.021,0.015,-0.05,0.102,0.0,-0.81,1.519
2024-09-23 14:54:38.249,173962.715,0.001,0.724,-0.69,-0.009,-0.008,0.013,0.081,-0.047,0.122,0.001,-0.81,1.521
2024-09-23 14:54:38.259,173962.725,0.001,0.724,-0.69,-0.002,0.002,0.018,0.134,-0.01,0.151,0.002,-0.809,1.523
2024-09-23 14:54:38.270,173962.735,0.003,0.723,-0.691,-0.018,0.01,0.015,0.057,0.044,0.166,0.004,-0.808,1.525
2024-09-23 14:54:38.279,173962.745,0.004,0.723,-0.691,-0.027,0.018,-0.008,0.022,0.132,0.175,0.006,-0.807,1.528
2024-09-23 14:54:38.289,173962.755,0.007,0.722,-0.691,-0.046,0.018,-0.023,-0.031,0.194,0.154,0.01,-0.807,1.53
2024-09-23 14:54:38.300,173962.765,0.009,0.723,-0.691,-0.043,-0.053,-0.007,-0.072,0.248,0.085,0.013,-0.808,1.532
2024-09-23 14:54:38.310,173962.775,0.008,0.723,-0.691,-0.019,-0.054,-0.019,0.008,-0.003,-0.336,0.012,-0.808,1.529
2024-09-23 14:54:38.319,173962.785,0.009,0.724,-0.69,-0.075,-0.041,-0.025,-0.184,0.444,0.082,0.014,-0.809,1.528
2024-09-23 14:54:38.329,173962.795,0.012,0.725,-0.689,-0.226,-0.035,-0.003,-0.092,0.206,-0.031,0.017,-0.811,1.528
2024-09-23 14:54:38.339,173962.805,0.013,0.725,-0.689,-0.046,0.001,0.016,0.084,0.274,-0.094,0.018,-0.811,1.527
2024-09-23 14:54:38.349,173962.815,0.014,0.724,-0.69,0.115,0.022,0.023,0.104,0.224,0.055,0.021,-0.81,1.527
2024-09-23 14:54:38.359,173962.825,0.016,0.723,-0.691,-0.02,0.03,0.027,0.175,0.116,0.046,0.023,-0.808,1.527
2024-09-23 14:54:38.369,173962.835,0.016,0.722,-0.692,0.036,0.083,0.025,0.242,0.065,-0.009,0.024,-0.806,1.527
2024-09-23 14:54:38.379,173962.845,0.017,0.72,-0.694,0.097,0.096,0.014,0.249,0.025,0.023,0.024,-0.804,1.527
2024-09-23 14:54:38.389,173962.855,0.017,0.718,-0.696,0.081,0.021,0.021,0.208,-0.038,-0.026,0.024,-0.801,1.527
2024-09-23 14:54:38.399,173962.865,0.016,0.717,-0.697,0.096,-0.005,0.026,0.092,-0.063,-0.089,0.023,-0.8,1.526
2024-09-23 14:54:38.409,173962.875,0.015,0.717,-0.697,0.084,-0.013,0.014,-0.072,-0.061,-0.119,0.021,-0.8,1.525
2024-09-23 14:54:38.419,173962.885,0.013,0.718,-0.696,0.038,-0.064,-0.006,-0.186,-0.074,-0.117,0.019,-0.801,1.523
2024-09-23 14:54:38.429,173962.895,0.012,0.719,-0.694,0.005,-0.092,-0.016,-0.193,-0.07,-0.123,0.017,-0.803,1.521
2024-09-23 14:54:38.439,173962.905,0.011,0.721,-0.693,0.005,-0.059,0.002,-0.187,-0.045,-0.123,0.015,-0.805,1.52
2024-09-23 14:54:38.450,173962.915,0.01,0.722,-0.692,0.001,-0.018,0.007,-0.145,-0.024,-0.066,0.014,-0.807,1.518
2024-09-23 14:54:38.459,173962.925,0.009,0.723,-0.691,-0.017,0.014,-0.004,-0.043,-0.014,-0.058,0.013,-0.808,1.518
2024-09-23 14:54:38.469,173962.935,0.009,0.723,-0.691,-0.02,0.05,0.012,0.042,-0.026,-0.045,0.013,-0.808,1.517
2024-09-23 14:54:38.479,173962.945,0.008,0.722,-0.692,-0.01,0.049,0.023,0.088,-0.023,-0.04,0.012,-0.807,1.516
2024-09-23 14:54:38.489,173962.955,0.008,0.722,-0.692,0.003,0.021,0.024,0.096,-0.011,-0.038,0.012,-0.806,1.516
2024-09-23 14:54:38.499,173962.965,0.008,0.721,-0.693,-0.004,-0.002,0.017,0.072,0.003,-0.049,0.011,-0.805,1.515
2024-09-23 14:54:38.509,173962.975,0.008,0.721,-0.693,-0.009,-0.019,0.004,0.021,0.013,-0.062,0.011,-0.805,1.514
2024-09-23 14:54:38.518,173962.985,0.007,0.721,-0.693,-0.004,-0.03,0.002,-0.0,0.018,-0.053,0.01,-0.805,1.514
