,timestamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudePitch,AttitudeRoll,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ,Date
1178,1730433575.777031,0.0856943503022193,-0.0250443369150161,0.04310804605484,0.2163396385823247,0.0682931829495155,-0.3366288912171455,0.0666494145989418,-0.2146560251712799,-0.9744129776954652,-0.2315908819437027,-0.2574251294136047,0.4644559919834137,2024/09/23 03:33:52 PM
1706,1730433581.048192,0.0034727379679679,0.0019316971302032,0.0026769042015075,0.3052813178824584,-0.1094980234925168,0.1510098361793905,-0.1042265370488166,-0.3005614876747131,-0.9480504393577576,-0.0278201177716255,-0.002136131748557,0.0079902727156877,2024/09/23 03:42:40 PM
920,1730433573.2016869,0.1002745255827903,0.092654287815094,0.029933750629425,0.2583766331799805,0.0861285058699177,-0.3482397952172192,0.0831666514277458,-0.2555114030838012,-0.963222324848175,-0.3550155460834503,-0.6292921900749207,-0.1830487549304962,2024/09/23 03:29:34 PM
111,1730433565.127145,-0.0754249989986419,0.007317692041397,0.0255060791969299,0.3983051074501318,-0.1153262993693885,-0.1667505503248823,-0.1060630455613136,-0.3878566920757293,-0.9155969619750975,-0.2932378053665161,-0.1405179798603058,-1.1405998468399048,2024/09/23 03:16:05 PM
1011,1730433574.110466,-0.0098312422633171,0.0076645016670227,-0.0165807604789733,0.2530317687610731,0.0759336584712637,-0.3379583268112925,0.0734451413154602,-0.2503403425216675,-0.9653680920600892,0.0838975831866264,0.2003621160984039,0.0237661991268396,2024/09/23 03:31:05 PM
1100,1730433574.998691,-0.006264291703701,-0.0029088705778121,0.0035785436630249,0.2233233443295383,0.0654924705355795,-0.3570243516965249,0.0638204365968704,-0.2214716523885727,-0.9730761647224426,-0.0532901063561439,0.0027821939438581,-0.0071308366023004,2024/09/23 03:32:34 PM
1972,1730433583.706095,0.0610403418540954,-0.0375775396823883,0.0037193894386291,0.3564591120049253,-0.0919674330408822,0.1437950171080403,-0.086064763367176,-0.3489581346511841,-0.9331779479980468,-0.0745706856250763,-0.1550425887107849,-0.2971494495868683,2024/09/23 03:47:06 PM
1219,1730433576.1860929,0.0179273411631584,-0.0336220562458038,-0.0026877522468566,0.1614912229518088,0.0421425879048929,-0.3142892096961859,0.0415819436311721,-0.160790205001831,-0.9861122965812684,-0.139884278178215,-0.0893250927329063,-0.0021771972533315,2024/09/23 03:34:33 PM
1068,1730433574.678611,-0.0261760130524635,0.0566774308681488,-0.0018752813339233,0.2282401362028517,0.0537800816506358,-0.3193645569418633,0.0523601062595844,-0.2262636572122573,-0.9726577997207642,0.0508057810366153,-0.0188485328108072,-0.2453938424587249,2024/09/23 03:32:02 PM
846,1730433572.463222,-0.0643943920731544,0.0407115519046783,-0.012330949306488,0.2490585054137638,0.0773697440692292,-0.3343826047214784,0.0749077126383781,-0.2464916259050369,-0.966245710849762,0.4023690223693847,0.8149568438529968,0.0971413478255271,2024/09/23 03:28:20 PM
453,1730433568.538961,0.0081543326377868,0.0619811415672302,-0.020791471004486,0.255596801676784,0.0711658434298529,-0.3024523743614725,0.0687957480549812,-0.2528228759765625,-0.9650636315345764,0.0646631643176078,-0.0431528091430664,0.0454282462596893,2024/09/23 03:21:47 PM
703,1730433571.036779,0.0261798575520515,0.0163406729698181,0.0547872185707092,0.2542077063974526,0.0684009003812925,-0.3125825137685151,0.0661510825157165,-0.2514786422252655,-0.9655995965003968,-0.039612453430891,-0.0877791345119476,0.0042593968100845,2024/09/23 03:25:57 PM
764,1730433571.644556,0.0249008014798164,0.0087139308452606,0.0201749205589294,0.2718301649269726,0.1108421747174526,-0.3339827595491544,0.1065536737442016,-0.2684948444366455,-0.9573697447776794,0.0450189858675003,0.112953171133995,-0.0355152897536754,2024/09/23 03:26:58 PM
421,1730433568.220107,0.0071652010083198,0.0350585579872131,0.0177567601203918,0.2565369001949353,0.0781726811803102,-0.3010269664447828,0.0755374506115913,-0.2537323236465454,-0.9643204808235168,-0.0046022534370422,0.0375196672976017,0.0016854515997692,2024/09/23 03:21:15 PM
1818,1730433582.166304,0.0035510137677192,0.0309887528419494,0.0173553824424743,0.3433600158465786,-0.0856446057388517,0.1288109012923122,-0.0805468782782554,-0.3366528749465942,-0.938177525997162,0.1947290152311325,0.422634869813919,0.7353306412696838,2024/09/23 03:44:32 PM
1966,1730433583.643948,0.0010237619280815,-0.0176193118095397,0.009829044342041,0.3476481880474178,-0.1010409942993107,0.144895968478344,-0.0948348119854927,-0.34068763256073,-0.9353813529014589,0.0434488914906978,0.0085977390408515,0.0264501329511404,2024/09/23 03:47:00 PM
537,1730433569.378028,-0.0081568285822868,0.0276962518692016,0.0001622438430786,0.2591802063186535,0.0823155489738207,-0.3082296563901896,0.0794764161109924,-0.2562882304191589,-0.9633274674415588,0.0932648926973342,0.0195116382092237,-0.0102628208696842,2024/09/23 03:23:11 PM
1673,1730433580.7185612,0.009009875357151,-0.0122388899326324,0.0148578286170959,0.310906878430916,-0.1092900177037554,0.1523514815817446,-0.1038432642817497,-0.3059221506118774,-0.946376383304596,-0.0120359547436237,-0.0104353399947285,0.0078444369137287,2024/09/23 03:42:07 PM
1992,1730433583.907238,0.0409634783864021,-0.0191361606121063,0.0258995294570922,0.351100654712241,-0.0953634896069143,0.1388921279990366,-0.0894101485610008,-0.3439315259456634,-0.9347282648086548,-0.0732519403100013,-0.1343048214912414,-0.0647907182574272,2024/09/23 03:47:26 PM
