Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 14:03:45.252,74976.688,0.1,0.485,-0.869,0.003,-0.041,0.04,0.07,-0.028,-0.004,0.114,-0.506,0.557
2024-10-15 14:03:45.355,74976.808,0.113,0.487,-0.866,-0.005,-0.002,0.001,-0.114,0.09,0.068,0.13,-0.509,0.573
2024-10-15 14:03:45.473,74976.928,0.136,0.514,-0.847,-0.003,0.003,0.001,-0.291,0.266,-0.017,0.159,-0.54,0.59
2024-10-15 14:03:45.593,74977.048,0.144,0.522,-0.841,-0.024,0.036,0.013,0.189,0.023,0.194,0.17,-0.549,0.581
2024-10-15 14:03:45.712,74977.167,0.145,0.528,-0.837,0.027,-0.004,0.012,-0.067,-0.043,-0.013,0.172,-0.556,0.584
2024-10-15 14:03:45.833,74977.287,0.147,0.533,-0.834,0.004,-0.007,0.011,-0.061,-0.006,-0.012,0.175,-0.562,0.586
2024-10-15 14:03:45.953,74977.407,0.148,0.534,-0.832,0.005,-0.004,0.003,-0.007,-0.014,-0.003,0.176,-0.563,0.587
2024-10-15 14:03:46.072,74977.527,0.147,0.526,-0.838,-0.005,-0.016,0.002,0.035,0.025,0.006,0.174,-0.554,0.586
2024-10-15 14:03:46.192,74977.646,0.149,0.525,-0.838,0.001,-0.009,0.012,0.019,0.009,-0.012,0.176,-0.553,0.587
2024-10-15 14:03:46.312,74977.766,0.148,0.504,-0.851,-0.01,0.031,0.017,0.461,-0.072,0.071,0.173,-0.528,0.585
2024-10-15 14:03:46.431,74977.886,0.145,0.473,-0.869,0.003,-0.02,0.012,0.109,-0.035,0.049,0.166,-0.493,0.586
2024-10-15 14:03:46.552,74978.006,0.158,0.475,-0.866,-0.014,-0.043,0.001,-0.382,0.238,0.015,0.181,-0.495,0.592
2024-10-15 14:03:46.671,74978.126,0.179,0.529,-0.829,0.023,0.003,-0.004,-0.442,-0.033,0.062,0.212,-0.558,0.612
2024-10-15 14:03:46.791,74978.245,0.175,0.557,-0.812,-0.021,-0.023,-0.001,-0.413,-0.07,0.146,0.213,-0.591,0.636
2024-10-15 14:03:46.911,74978.365,0.169,0.62,-0.766,-0.008,-0.016,0.004,-0.72,-0.11,0.066,0.217,-0.669,0.672
2024-10-15 14:03:47.030,74978.485,0.156,0.656,-0.738,0.001,0.02,0.014,-0.092,-0.162,-0.052,0.209,-0.716,0.684
2024-10-15 14:03:47.150,74978.605,0.144,0.653,-0.743,-0.001,-0.044,0.061,0.098,-0.042,-0.003,0.192,-0.711,0.682
2024-10-15 14:03:47.270,74978.725,0.145,0.642,-0.753,-0.01,-0.014,0.009,0.074,0.054,-0.018,0.19,-0.698,0.677
2024-10-15 14:03:47.390,74978.844,0.146,0.636,-0.758,0.001,-0.016,-0.011,-0.032,0.037,-0.037,0.19,-0.689,0.671
2024-10-15 14:03:47.510,74978.964,0.106,0.661,-0.743,0.091,0.016,-0.064,-0.641,-1.214,-0.149,0.142,-0.722,0.669
2024-10-15 14:03:47.629,74979.084,0.044,0.696,-0.716,0.182,0.084,-0.036,0.424,-0.742,0.285,0.061,-0.77,0.693
2024-10-15 14:03:47.750,74979.204,-0.015,0.595,-0.803,0.202,0.132,0.115,1.524,-1.278,0.422,-0.019,-0.638,0.739
2024-10-15 14:03:47.869,74979.324,-0.13,0.43,-0.893,-0.214,-0.133,0.008,-0.142,-1.049,-0.053,-0.145,-0.445,0.783
2024-10-15 14:03:47.989,74979.443,-0.245,0.325,-0.913,-0.215,-0.047,0.191,1.116,-1.019,0.194,-0.263,-0.331,0.81
2024-10-15 14:03:48.109,74979.563,-0.3,0.236,-0.924,0.438,-0.009,0.231,1.164,-0.464,0.372,-0.314,-0.238,0.864
2024-10-15 14:03:48.228,74979.683,-0.311,0.117,-0.943,0.409,-0.189,0.113,0.574,-0.198,-0.051,-0.318,-0.118,0.923
2024-10-15 14:03:48.348,74979.803,-0.344,0.133,-0.929,-0.443,0.111,0.053,-0.11,-0.491,0.122,-0.355,-0.133,0.884
2024-10-15 14:03:48.468,74979.923,-0.387,0.148,-0.91,0.095,0.044,0.09,0.383,-0.095,0.117,-0.402,-0.149,0.877
2024-10-15 14:03:48.588,74980.042,-0.385,0.107,-0.917,0.084,0.06,-0.247,0.158,0.28,-0.128,-0.398,-0.107,0.888
2024-10-15 14:03:48.708,74980.162,-0.356,0.078,-0.931,-0.272,-0.157,-0.065,-0.258,0.111,-0.344,-0.365,-0.078,0.87
2024-10-15 14:03:48.828,74980.282,-0.375,0.096,-0.922,-0.158,0.065,-0.078,-0.349,-0.255,0.083,-0.386,-0.096,0.83
2024-10-15 14:03:48.947,74980.402,-0.376,0.107,-0.92,0.303,-0.044,0.098,0.091,0.075,0.119,-0.388,-0.107,0.829
2024-10-15 14:03:49.067,74980.522,-0.351,0.1,-0.931,0.269,0.195,0.041,0.38,0.24,-0.126,-0.361,-0.1,0.826
2024-10-15 14:03:49.187,74980.641,-0.351,0.096,-0.931,-0.484,-0.009,0.009,-0.031,-0.197,-0.18,-0.361,-0.096,0.793
2024-10-15 14:03:49.306,74980.761,-0.38,0.116,-0.918,-0.03,0.187,-0.139,0.367,0.142,0.207,-0.392,-0.116,0.797
2024-10-15 14:03:49.426,74980.881,-0.367,0.085,-0.926,0.301,-0.134,-0.087,-0.276,0.185,-0.182,-0.377,-0.085,0.81
2024-10-15 14:03:49.546,74981.001,-0.343,0.093,-0.935,-0.176,-0.076,0.072,-0.652,-0.01,-0.365,-0.351,-0.093,0.776
2024-10-15 14:03:49.666,74981.121,-0.352,0.17,-0.92,-0.176,-0.034,-0.153,-0.748,-0.097,0.206,-0.365,-0.171,0.739
2024-10-15 14:03:49.786,74981.24,-0.338,0.194,-0.921,0.24,-0.047,0.043,-0.049,0.235,0.075,-0.352,-0.196,0.742
2024-10-15 14:03:49.906,74981.36,-0.314,0.216,-0.925,0.143,-0.005,-0.145,-0.224,0.226,0.002,-0.327,-0.217,0.735
2024-10-15 14:03:50.025,74981.48,-0.301,0.209,-0.93,-0.126,0.018,0.046,0.0,-0.087,-0.186,-0.313,-0.21,0.731
2024-10-15 14:03:50.145,74981.6,-0.333,0.198,-0.922,-0.284,-0.027,-0.029,0.069,-0.338,0.332,-0.346,-0.2,0.732
2024-10-15 14:03:50.265,74981.719,-0.343,0.182,-0.922,0.346,-0.096,0.032,0.386,-0.015,0.162,-0.356,-0.183,0.767
2024-10-15 14:03:50.387,74981.839,-0.335,0.196,-0.922,-0.146,0.111,-0.151,-0.005,0.525,0.165,-0.348,-0.197,0.761
2024-10-15 14:03:50.504,74981.959,-0.312,0.197,-0.929,-0.219,-0.02,0.044,-0.116,-0.086,-0.242,-0.323,-0.199,0.751
2024-10-15 14:03:50.624,74982.079,-0.342,0.216,-0.915,-0.136,-0.007,-0.052,-0.601,-0.397,0.09,-0.357,-0.218,0.739
2024-10-15 14:03:50.744,74982.199,-0.339,0.206,-0.918,0.329,-0.091,0.011,0.259,0.125,0.166,-0.353,-0.207,0.763
2024-10-15 14:03:50.864,74982.318,-0.314,0.21,-0.926,-0.139,0.271,-0.084,1.298,0.847,0.156,-0.327,-0.212,0.759
2024-10-15 14:03:50.984,74982.438,-0.296,0.191,-0.936,-0.357,0.027,0.065,-0.132,-0.234,-0.286,-0.306,-0.192,0.755
2024-10-15 14:03:51.104,74982.558,-0.326,0.164,-0.931,-0.124,-0.05,-0.056,-0.168,0.028,-0.096,-0.337,-0.165,0.748
2024-10-15 14:03:51.224,74982.678,-0.319,0.201,-0.926,0.145,-0.0,-0.024,-0.134,0.267,-0.056,-0.331,-0.202,0.716
2024-10-15 14:03:51.343,74982.798,-0.278,0.22,-0.935,0.092,-0.047,-0.066,-0.054,0.322,-0.008,-0.289,-0.222,0.713
2024-10-15 14:03:51.463,74982.917,-0.258,0.253,-0.932,0.009,-0.103,-0.006,-0.452,0.064,-0.157,-0.27,-0.256,0.706
2024-10-15 14:03:51.583,74983.037,-0.284,0.299,-0.911,-0.378,0.106,-0.012,-0.197,-0.361,-0.071,-0.302,-0.304,0.672
2024-10-15 14:03:51.703,74983.157,-0.283,0.353,-0.892,0.136,0.042,0.141,0.15,-0.019,0.398,-0.307,-0.361,0.695
2024-10-15 14:03:51.822,74983.277,-0.27,0.331,-0.904,0.229,-0.248,-0.211,-1.547,-0.024,-0.152,-0.29,-0.338,0.71
2024-10-15 14:03:51.942,74983.397,-0.263,0.311,-0.913,-0.097,-0.017,-0.029,0.101,-0.059,-0.37,-0.28,-0.316,0.686
2024-10-15 14:03:52.062,74983.516,-0.283,0.33,-0.901,-0.225,0.042,0.072,0.058,-0.278,0.179,-0.305,-0.336,0.669
2024-10-15 14:03:52.182,74983.636,-0.284,0.352,-0.892,0.168,-0.116,0.0,0.199,0.04,0.213,-0.309,-0.36,0.71
2024-10-15 14:03:52.301,74983.756,-0.283,0.353,-0.892,0.036,0.156,-0.185,-0.334,0.11,-0.118,-0.308,-0.361,0.701
2024-10-15 14:03:52.421,74983.876,-0.276,0.303,-0.912,-0.192,0.098,-0.017,-0.092,0.076,-0.197,-0.294,-0.308,0.68
2024-10-15 14:03:52.541,74983.996,-0.288,0.316,-0.904,-0.14,-0.015,0.02,-0.072,-0.102,0.276,-0.308,-0.321,0.681
2024-10-15 14:03:52.661,74984.115,-0.282,0.337,-0.899,0.246,-0.184,-0.016,0.318,0.027,0.058,-0.304,-0.343,0.712
2024-10-15 14:03:52.780,74984.235,-0.28,0.312,-0.908,0.288,-0.054,0.009,0.877,0.192,-0.437,-0.299,-0.317,0.696
2024-10-15 14:03:52.901,74984.355,-0.305,0.316,-0.898,-0.166,-0.15,-0.006,-0.333,-0.247,0.293,-0.327,-0.322,0.676
2024-10-15 14:03:53.020,74984.475,-0.296,0.38,-0.877,0.344,-0.264,-0.017,0.187,0.009,-0.056,-0.326,-0.39,0.701
2024-10-15 14:03:53.140,74984.595,-0.306,0.332,-0.892,-0.139,-0.017,-0.111,-0.291,-0.006,-0.423,-0.33,-0.338,0.671
2024-10-15 14:03:53.260,74984.714,-0.252,0.545,-0.8,-0.163,-0.099,0.182,-3.94,1.351,0.647,-0.305,-0.577,0.6
2024-10-15 14:03:53.379,74984.834,-0.15,0.704,-0.694,0.208,0.153,0.084,1.576,0.116,-0.426,-0.213,-0.781,0.593
2024-10-15 14:03:53.499,74984.954,-0.186,0.518,-0.834,0.026,-0.16,0.045,1.038,0.023,-0.43,-0.22,-0.545,0.581
2024-10-15 14:03:53.619,74985.074,-0.174,0.503,-0.846,-0.102,-0.129,-0.053,-0.722,0.032,0.27,-0.203,-0.527,0.577
2024-10-15 14:03:53.739,74985.194,-0.183,0.467,-0.865,0.03,0.132,0.007,1.603,0.31,-0.422,-0.208,-0.486,0.588
2024-10-15 14:03:53.859,74985.313,-0.176,0.447,-0.877,-0.055,-0.072,-0.045,-0.321,0.042,0.25,-0.198,-0.463,0.57
2024-10-15 14:03:53.979,74985.433,-0.167,0.52,-0.838,0.168,-0.081,0.087,0.117,-0.057,-0.323,-0.197,-0.547,0.567
2024-10-15 14:03:54.100,74985.553,-0.144,0.626,-0.767,-0.171,-0.139,0.131,-2.377,0.709,0.237,-0.186,-0.676,0.524
2024-10-15 14:03:54.218,74985.673,-0.061,0.755,-0.653,0.042,0.221,0.002,0.086,0.186,0.261,-0.093,-0.856,0.541
2024-10-15 14:03:54.338,74985.793,-0.063,0.653,-0.755,0.172,-0.07,-0.103,1.427,-0.108,-0.159,-0.084,-0.712,0.569
2024-10-15 14:03:54.458,74985.912,-0.076,0.559,-0.826,-0.058,0.144,0.128,1.893,0.181,-0.325,-0.092,-0.593,0.56
2024-10-15 14:03:54.577,74986.032,-0.072,0.558,-0.827,0.07,-0.104,-0.045,-0.093,-0.106,0.532,-0.087,-0.592,0.611
2024-10-15 14:03:54.697,74986.152,-0.081,0.508,-0.857,0.173,0.076,0.066,0.655,0.139,-0.237,-0.095,-0.533,0.618
2024-10-15 14:03:54.817,74986.272,-0.097,0.535,-0.839,-0.081,-0.126,-0.043,-0.722,-0.469,0.389,-0.115,-0.564,0.638
2024-10-15 14:03:54.937,74986.391,-0.102,0.513,-0.852,0.098,0.003,0.026,0.662,0.254,-0.199,-0.12,-0.539,0.644
2024-10-15 14:03:55.057,74986.511,-0.107,0.504,-0.857,-0.02,-0.141,-0.193,-0.706,-0.223,0.412,-0.125,-0.529,0.643
