Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:53:52.836,74383.932,-0.118,-0.38,-0.917,-0.02,0.002,0.002,-0.084,0.026,-0.002,-0.128,0.39,1.393
2024-10-15 13:53:52.868,74384.052,-0.115,-0.375,-0.92,0.011,-0.008,0.011,-0.036,-0.005,-0.026,-0.124,0.384,1.39
2024-10-15 13:53:52.884,74384.171,-0.112,-0.367,-0.924,0.005,0.003,0.015,-0.115,0.018,-0.028,-0.121,0.375,1.385
2024-10-15 13:53:52.900,74384.291,-0.111,-0.355,-0.928,-0.0,-0.004,0.014,-0.116,-0.014,-0.015,-0.119,0.363,1.381
2024-10-15 13:53:52.957,74384.411,-0.103,-0.334,-0.937,-0.059,-0.095,0.019,-0.35,0.149,-0.346,-0.109,0.341,1.362
2024-10-15 13:53:53.078,74384.531,-0.052,-0.239,-0.97,-0.13,-0.131,0.146,-1.491,0.313,-0.817,-0.054,0.241,1.28
2024-10-15 13:53:53.198,74384.651,0.01,0.128,-0.992,-0.186,-0.121,0.127,-4.533,0.786,-1.236,0.01,-0.128,1.143
2024-10-15 13:53:53.317,74384.77,0.098,0.723,-0.684,0.073,0.114,0.006,-5.775,1.387,-0.762,0.143,-0.808,1.077
2024-10-15 13:53:53.437,74384.89,0.089,0.888,-0.452,0.118,0.262,0.036,0.196,0.351,-0.177,0.194,-1.093,1.012
2024-10-15 13:53:53.557,74385.01,0.064,0.85,-0.523,0.098,-0.121,0.037,0.989,0.032,-0.505,0.123,-1.016,0.91
2024-10-15 13:53:53.677,74385.13,0.038,0.803,-0.595,-0.072,0.159,0.09,0.127,-0.251,0.191,0.064,-0.932,0.833
2024-10-15 13:53:53.797,74385.25,0.035,0.758,-0.651,0.041,-0.0,0.144,0.62,-0.79,0.272,0.053,-0.861,0.893
2024-10-15 13:53:53.916,74385.369,0.007,0.67,-0.743,0.051,-0.037,0.053,1.286,-0.303,0.003,0.009,-0.734,0.928
2024-10-15 13:53:54.036,74385.489,-0.005,0.596,-0.803,0.017,-0.046,0.077,-0.089,0.063,-0.009,-0.007,-0.639,0.916
2024-10-15 13:53:54.156,74385.609,0.024,0.565,-0.825,0.01,0.215,-0.049,0.241,0.127,0.157,0.03,-0.6,0.929
2024-10-15 13:53:54.276,74385.729,0.013,0.548,-0.836,-0.009,0.013,-0.046,-0.294,-0.301,-0.053,0.015,-0.581,0.918
2024-10-15 13:53:54.396,74385.849,-0.006,0.547,-0.837,-0.006,0.088,0.01,0.221,-0.03,0.16,-0.007,-0.579,0.917
2024-10-15 13:53:54.515,74385.968,-0.017,0.566,-0.824,-0.034,0.097,0.007,0.055,0.169,-0.051,-0.02,-0.602,0.912
2024-10-15 13:53:54.635,74386.088,-0.002,0.5,-0.866,0.008,-0.257,-0.088,-0.382,-0.529,0.054,-0.003,-0.523,0.92
2024-10-15 13:53:54.754,74386.208,-0.03,0.497,-0.867,-0.02,0.207,0.035,0.754,0.186,-0.016,-0.035,-0.52,0.915
2024-10-15 13:53:54.874,74386.328,-0.035,0.47,-0.882,0.04,-0.059,-0.042,0.019,-0.042,0.069,-0.039,-0.489,0.916
2024-10-15 13:53:54.995,74386.448,-0.038,0.453,-0.891,0.01,0.185,0.041,0.561,-0.016,-0.137,-0.043,-0.47,0.912
2024-10-15 13:53:55.115,74386.567,-0.045,0.448,-0.893,0.036,-0.099,0.057,-0.143,-0.138,0.03,-0.051,-0.465,0.917
