Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:50:03.425,74154.865,-0.263,-0.278,-0.924,-0.017,0.044,-0.022,-0.031,0.079,0.063,-0.278,0.281,1.55
2024-10-15 13:50:03.532,74154.985,-0.258,-0.281,-0.924,0.002,-0.001,0.016,0.063,0.025,0.012,-0.273,0.285,1.55
2024-10-15 13:50:03.653,74155.105,-0.253,-0.286,-0.924,-0.018,0.003,-0.002,-0.112,-0.141,0.458,-0.268,0.29,1.552
2024-10-15 13:50:03.773,74155.225,-0.254,-0.282,-0.925,-0.007,0.003,0.009,0.036,0.027,-0.021,-0.268,0.286,1.552
2024-10-15 13:50:03.891,74155.345,-0.252,-0.285,-0.925,0.002,0.001,0.012,0.008,0.0,-0.004,-0.266,0.289,1.552
2024-10-15 13:50:04.012,74155.464,-0.251,-0.286,-0.925,0.003,0.012,0.008,0.023,0.019,-0.009,-0.265,0.29,1.552
2024-10-15 13:50:04.131,74155.584,-0.251,-0.286,-0.925,0.001,-0.001,0.007,0.01,-0.003,0.003,-0.265,0.29,1.553
2024-10-15 13:50:04.251,74155.704,-0.25,-0.286,-0.925,0.0,0.0,0.007,-0.023,0.007,0.017,-0.264,0.29,1.553
2024-10-15 13:50:04.371,74155.824,-0.252,-0.285,-0.925,0.001,0.004,0.013,-0.04,-0.025,0.011,-0.266,0.289,1.553
2024-10-15 13:50:04.491,74155.944,-0.253,-0.269,-0.929,0.06,-0.014,0.022,-0.223,-0.04,0.023,-0.266,0.272,1.552
2024-10-15 13:50:04.611,74156.063,-0.253,-0.232,-0.939,0.128,-0.023,-0.032,-0.345,0.072,0.014,-0.263,0.235,1.544
2024-10-15 13:50:04.730,74156.183,-0.238,-0.195,-0.951,0.147,-0.024,-0.068,-0.369,0.19,0.166,-0.245,0.197,1.546
2024-10-15 13:50:04.850,74156.303,-0.238,-0.078,-0.968,-0.084,-0.029,-0.054,-0.53,0.01,-0.057,-0.242,0.078,1.536
