Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 11:30:48.910,65800.286,0.142,0.007,-0.99,0.02,0.016,0.007,0.023,-0.028,0.04,0.143,-0.007,1.489
2024-10-15 11:30:49.017,65800.406,0.142,0.012,-0.99,-0.001,0.02,0.014,-0.013,-0.012,0.09,0.143,-0.012,1.498
2024-10-15 11:30:49.136,65800.526,0.143,0.012,-0.99,-0.004,-0.005,0.007,0.004,0.001,-0.003,0.143,-0.012,1.499
2024-10-15 11:30:49.258,65800.645,0.143,0.012,-0.99,-0.002,-0.003,0.007,-0.012,0.006,0.005,0.144,-0.012,1.499
2024-10-15 11:30:49.376,65800.765,0.143,0.012,-0.99,-0.007,-0.016,0.006,-0.02,0.009,-0.011,0.144,-0.012,1.5
2024-10-15 11:30:49.496,65800.885,0.144,0.012,-0.99,-0.0,0.0,0.008,0.008,0.003,0.01,0.144,-0.012,1.5
2024-10-15 11:30:49.616,65801.005,0.144,0.012,-0.99,0.0,-0.0,0.007,0.001,0.001,-0.002,0.144,-0.012,1.5
2024-10-15 11:30:49.736,65801.125,0.144,0.012,-0.99,-0.005,-0.001,0.01,-0.005,0.004,-0.0,0.144,-0.012,1.5
2024-10-15 11:30:49.856,65801.244,0.144,0.012,-0.99,0.002,0.01,0.009,0.017,-0.009,0.007,0.144,-0.012,1.5
2024-10-15 11:30:49.975,65801.364,0.144,0.012,-0.989,-0.0,0.013,0.008,0.008,0.0,0.006,0.145,-0.012,1.5
2024-10-15 11:30:50.096,65801.484,0.143,0.027,-0.989,0.005,-0.025,0.02,-0.45,-0.052,-0.075,0.143,-0.027,1.5
2024-10-15 11:30:50.215,65801.604,0.147,0.128,-0.981,-0.003,-0.029,-0.006,-1.1,0.175,-0.054,0.148,-0.128,1.506
2024-10-15 11:30:50.335,65801.724,0.161,0.217,-0.963,-0.018,-0.052,0.019,-0.438,0.06,-0.153,0.166,-0.219,1.507
2024-10-15 11:30:50.455,65801.843,0.153,0.25,-0.956,0.009,-0.077,-0.023,-0.232,-0.012,-0.218,0.159,-0.252,1.488
2024-10-15 11:30:50.575,65801.963,0.179,0.266,-0.947,-0.033,0.09,0.065,0.141,0.283,-0.047,0.187,-0.27,1.476
2024-10-15 11:30:50.694,65802.083,0.184,0.212,-0.96,0.034,-0.304,-0.077,-0.035,0.24,0.129,0.189,-0.214,1.461
2024-10-15 11:30:50.814,65802.203,0.182,0.173,-0.968,0.028,-0.011,0.013,0.368,-0.187,0.295,0.186,-0.174,1.476
2024-10-15 11:30:50.935,65802.323,0.153,0.195,-0.969,0.013,0.042,0.021,-0.156,-0.355,-0.028,0.157,-0.196,1.495
2024-10-15 11:30:51.054,65802.442,0.126,0.253,-0.959,-0.001,-0.009,-0.019,-0.614,-0.101,0.136,0.131,-0.255,1.505
2024-10-15 11:30:51.174,65802.562,0.111,0.317,-0.942,-0.02,0.116,0.013,-0.149,-0.294,-0.089,0.118,-0.323,1.503
2024-10-15 11:30:51.293,65802.682,0.093,0.305,-0.948,-0.009,0.031,0.0,0.111,-0.019,0.109,0.098,-0.31,1.505
2024-10-15 11:30:51.413,65802.802,0.092,0.337,-0.937,-0.05,0.045,0.018,-0.225,0.023,-0.113,0.098,-0.344,1.503
2024-10-15 11:30:51.533,65802.922,0.097,0.304,-0.948,-0.035,0.021,-0.158,0.157,0.251,0.259,0.102,-0.309,1.503
2024-10-15 11:30:51.653,65803.041,0.114,0.322,-0.94,0.023,0.057,0.104,-0.04,0.035,-0.117,0.121,-0.328,1.507
2024-10-15 11:30:51.773,65803.161,0.114,0.317,-0.942,0.029,-0.05,-0.114,-0.397,-0.006,0.225,0.12,-0.323,1.502
2024-10-15 11:30:51.893,65803.281,0.128,0.326,-0.937,0.039,0.106,0.139,0.387,-0.003,-0.151,0.135,-0.332,1.503
2024-10-15 11:30:52.012,65803.401,0.126,0.301,-0.945,-0.102,-0.053,-0.128,-0.5,-0.053,0.353,0.132,-0.305,1.502
2024-10-15 11:30:52.132,65803.521,0.134,0.319,-0.938,0.073,0.288,0.14,0.622,-0.022,-0.057,0.142,-0.325,1.501
2024-10-15 11:30:52.252,65803.64,0.139,0.309,-0.941,-0.063,-0.098,-0.14,-0.682,-0.023,0.304,0.147,-0.315,1.507
2024-10-15 11:30:52.372,65803.76,0.145,0.323,-0.935,0.06,0.126,0.139,0.142,-0.047,-0.114,0.154,-0.329,1.501
2024-10-15 11:30:52.491,65803.88,0.147,0.34,-0.929,-0.003,-0.047,-0.126,-1.134,0.013,0.34,0.157,-0.347,1.523
2024-10-15 11:30:52.611,65804.0,0.148,0.314,-0.938,-0.023,0.244,0.012,1.182,-0.428,-0.341,0.156,-0.319,1.503
2024-10-15 11:30:52.731,65804.12,0.157,0.329,-0.931,0.013,-0.231,-0.028,-0.884,0.35,0.289,0.167,-0.335,1.521
2024-10-15 11:30:52.851,65804.239,0.154,0.297,-0.943,0.011,0.204,0.055,0.796,-0.409,-0.172,0.162,-0.301,1.501
2024-10-15 11:30:52.971,65804.359,0.165,0.317,-0.934,0.097,-0.313,-0.008,-1.133,0.359,0.133,0.175,-0.323,1.525
2024-10-15 11:30:53.090,65804.479,0.149,0.296,-0.943,0.1,0.003,-0.131,0.077,-0.237,-0.348,0.156,-0.301,1.491
2024-10-15 11:30:53.210,65804.599,0.161,0.334,-0.929,0.048,-0.351,0.126,-0.576,0.649,0.057,0.171,-0.34,1.519
2024-10-15 11:30:53.330,65804.719,0.15,0.293,-0.944,0.063,-0.047,-0.11,-0.192,-0.0,0.221,0.157,-0.297,1.495
