Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-01 09:29:38.975,26869.924,0.075,0.491,-0.868,-0.003,0.001,0.001,0.036,0.017,0.004,0.086,-0.514,1.485
2024-10-01 09:29:39.004,26870.044,0.075,0.489,-0.869,0.007,0.016,-0.004,-0.007,-0.012,0.017,0.086,-0.511,1.485
2024-10-01 09:29:39.018,26870.164,0.076,0.488,-0.87,0.001,-0.011,0.012,-0.023,-0.011,-0.026,0.087,-0.51,1.486
2024-10-01 09:29:39.034,26870.284,0.077,0.487,-0.87,0.001,-0.03,0.025,-0.031,0.012,0.003,0.089,-0.509,1.486
2024-10-01 09:29:39.052,26870.403,0.077,0.488,-0.869,0.005,-0.005,0.013,-0.017,-0.03,0.003,0.088,-0.51,1.487
2024-10-01 09:29:39.066,26870.523,0.076,0.487,-0.87,-0.003,-0.001,-0.01,0.029,-0.002,0.018,0.087,-0.508,1.488
2024-10-01 09:29:39.079,26870.643,0.076,0.487,-0.87,0.005,-0.002,0.02,-0.017,-0.017,0.006,0.087,-0.509,1.49
2024-10-01 09:29:39.093,26870.763,0.076,0.487,-0.87,-0.012,-0.021,-0.016,-0.014,0.034,-0.024,0.087,-0.508,1.491
2024-10-01 09:29:39.107,26870.883,0.1,0.551,-0.828,-0.094,-0.028,-0.073,-0.998,0.492,-0.24,0.12,-0.584,1.487
2024-10-01 09:29:39.120,26871.002,0.144,0.678,-0.721,-0.074,-0.075,-0.01,-1.396,0.706,-0.212,0.196,-0.744,1.493
2024-10-01 09:29:39.132,26871.122,0.169,0.801,-0.575,-0.004,-0.055,0.098,-1.893,0.342,-0.232,0.286,-0.929,1.521
2024-10-01 09:29:39.145,26871.242,0.137,0.9,-0.415,0.044,0.039,0.078,-1.391,-0.02,-0.306,0.32,-1.119,1.565
2024-10-01 09:29:39.194,26871.362,0.097,0.939,-0.33,0.007,0.08,0.056,-0.062,-0.386,-0.315,0.286,-1.219,1.563
2024-10-01 09:29:39.314,26871.482,0.048,0.952,-0.303,0.16,0.039,-0.089,0.212,-0.348,-0.306,0.157,-1.259,1.479
2024-10-01 09:29:39.434,26871.601,0.026,0.946,-0.324,0.065,-0.082,-0.023,0.466,-0.242,0.087,0.079,-1.24,1.432
2024-10-01 09:29:39.555,26871.721,0.002,0.934,-0.356,-0.099,0.014,-0.016,0.074,-0.085,-0.226,0.007,-1.206,1.389
2024-10-01 09:29:39.675,26871.841,-0.011,0.925,-0.379,0.019,-0.014,0.061,0.465,0.158,-0.109,-0.03,-1.182,1.338
2024-10-01 09:29:39.794,26871.961,-0.013,0.898,-0.44,0.023,0.022,0.006,0.4,-0.051,-0.187,-0.029,-1.115,1.34
2024-10-01 09:29:39.914,26872.081,-0.025,0.889,-0.458,-0.016,-0.007,0.004,0.135,-0.138,0.086,-0.054,-1.094,1.335
2024-10-01 09:29:40.034,26872.2,-0.032,0.891,-0.453,0.013,0.009,0.016,0.094,-0.089,0.04,-0.072,-1.1,1.336
2024-10-01 09:29:40.153,26872.32,-0.036,0.889,-0.457,-0.018,0.045,0.019,-0.0,0.001,-0.001,-0.078,-1.095,1.341
2024-10-01 09:29:40.273,26872.44,-0.037,0.891,-0.452,0.02,-0.015,-0.005,0.005,-0.08,0.04,-0.081,-1.1,1.343
2024-10-01 09:29:40.393,26872.56,-0.04,0.881,-0.471,-0.011,0.006,-0.009,0.018,-0.032,-0.047,-0.084,-1.078,1.351
2024-10-01 09:29:40.513,26872.68,-0.046,0.884,-0.464,-0.025,-0.002,-0.003,0.029,0.021,-0.016,-0.098,-1.085,1.341
2024-10-01 09:29:40.633,26872.799,-0.045,0.881,-0.47,-0.003,-0.017,-0.001,-0.017,-0.002,-0.019,-0.096,-1.079,1.347
2024-10-01 09:29:40.752,26872.919,-0.047,0.878,-0.477,0.005,-0.01,0.012,0.165,0.002,-0.045,-0.098,-1.071,1.347
2024-10-01 09:29:40.872,26873.039,-0.048,0.874,-0.484,-0.005,-0.025,-0.007,-0.007,0.011,0.002,-0.1,-1.063,1.347
2024-10-01 09:29:40.992,26873.159,-0.048,0.871,-0.488,0.002,0.01,0.004,0.023,0.018,-0.029,-0.098,-1.058,1.346
2024-10-01 09:29:41.111,26873.279,-0.048,0.871,-0.489,0.002,-0.015,-0.003,-0.103,0.017,0.018,-0.097,-1.058,1.346
2024-10-01 09:29:41.231,26873.398,-0.047,0.871,-0.49,-0.001,-0.001,0.0,-0.023,0.015,0.034,-0.097,-1.056,1.349
2024-10-01 09:29:41.351,26873.518,-0.048,0.869,-0.492,-0.002,0.021,-0.0,0.116,-0.034,-0.001,-0.098,-1.054,1.349
2024-10-01 09:29:41.471,26873.638,-0.05,0.867,-0.496,0.0,-0.002,-0.0,-0.025,-0.081,0.051,-0.101,-1.049,1.353
2024-10-01 09:29:41.591,26873.758,-0.049,0.875,-0.481,-0.013,0.004,0.017,-0.063,0.022,-0.041,-0.102,-1.066,1.37
2024-10-01 09:29:41.710,26873.877,-0.039,0.896,-0.443,0.018,0.035,0.011,-0.447,0.092,0.039,-0.089,-1.11,1.365
2024-10-01 09:29:41.830,26873.997,-0.038,0.894,-0.446,-0.003,-0.007,0.004,0.092,-0.03,0.016,-0.086,-1.107,1.369
2024-10-01 09:29:41.950,26874.117,-0.04,0.889,-0.456,-0.003,-0.004,0.001,0.158,0.001,-0.031,-0.089,-1.095,1.37
2024-10-01 09:29:42.070,26874.237,-0.041,0.888,-0.458,0.004,-0.008,-0.004,0.004,-0.005,-0.011,-0.09,-1.092,1.367
2024-10-01 09:29:42.190,26874.357,-0.042,0.885,-0.463,0.003,-0.015,0.004,0.024,0.01,-0.005,-0.091,-1.087,1.364
2024-10-01 09:29:42.309,26874.476,-0.042,0.884,-0.465,0.002,0.0,0.002,0.014,-0.008,0.007,-0.09,-1.085,1.365
2024-10-01 09:29:42.430,26874.596,-0.043,0.882,-0.47,0.003,0.01,0.006,0.1,-0.053,-0.025,-0.092,-1.079,1.364
