Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:37:37.197,162590.04,0.041,0.737,-0.675,-0.1,-0.049,-0.112,0.081,0.186,0.205,0.061,-0.829,1.962
2024-09-23 11:37:37.317,162590.16,0.061,0.751,-0.657,0.025,0.017,-0.044,0.07,-0.192,-0.045,0.093,-0.85,1.974
2024-09-23 11:37:37.437,162590.28,0.081,0.746,-0.661,0.002,-0.147,0.096,0.118,-0.128,-0.065,0.122,-0.842,1.984
2024-09-23 11:37:37.557,162590.399,0.065,0.742,-0.668,0.038,-0.034,-0.01,0.11,-0.062,-0.113,0.098,-0.835,1.973
2024-09-23 11:37:37.676,162590.519,0.053,0.723,-0.689,-0.004,0.002,0.008,0.263,0.024,-0.053,0.076,-0.808,1.952
2024-09-23 11:37:37.796,162590.639,0.051,0.713,-0.699,0.007,0.029,0.018,0.291,-0.027,-0.052,0.073,-0.794,1.942
2024-09-23 11:37:37.916,162590.759,0.044,0.688,-0.725,0.007,-0.028,0.0,0.203,-0.123,-0.029,0.061,-0.758,1.934
2024-09-23 11:37:38.035,162590.879,0.027,0.664,-0.747,-0.023,-0.097,-0.038,-0.912,-0.026,0.267,0.036,-0.726,1.939
2024-09-23 11:37:38.155,162590.998,0.051,0.708,-0.705,0.002,0.05,0.017,-0.009,-0.039,-0.055,0.072,-0.786,1.952
2024-09-23 11:37:38.276,162591.118,0.03,0.659,-0.752,-0.025,-0.268,-0.097,-1.072,0.072,0.227,0.04,-0.719,1.945
2024-09-23 11:37:38.396,162591.238,0.082,0.781,-0.619,-0.059,0.112,0.092,-0.696,0.368,0.323,0.132,-0.896,1.993
2024-09-23 11:37:38.515,162591.358,0.084,0.763,-0.641,0.067,-0.11,0.067,1.389,-0.606,0.064,0.13,-0.868,2.038
2024-09-23 11:37:38.634,162591.478,0.056,0.703,-0.709,-0.025,-0.003,-0.019,-0.099,0.166,-0.228,0.079,-0.779,1.997
2024-09-23 11:37:38.755,162591.597,0.061,0.714,-0.698,0.028,0.018,0.012,0.137,-0.053,-0.03,0.087,-0.795,1.989
2024-09-23 11:37:38.875,162591.717,0.061,0.713,-0.698,-0.012,-0.017,-0.009,-0.154,0.071,-0.035,0.087,-0.794,1.983
2024-09-23 11:37:38.994,162591.837,0.045,0.672,-0.739,0.032,0.078,0.052,0.659,-0.167,-0.109,0.061,-0.737,1.975
2024-09-23 11:37:39.114,162591.957,0.065,0.733,-0.677,-0.032,-0.068,-0.011,-0.699,0.232,-0.05,0.095,-0.823,2.002
2024-09-23 11:37:39.234,162592.077,0.043,0.681,-0.731,-0.073,0.012,-0.028,-0.516,-0.081,0.122,0.059,-0.749,1.993
2024-09-23 11:37:39.354,162592.196,0.098,0.827,-0.554,-0.038,0.087,-0.004,-1.651,0.959,-0.156,0.174,-0.973,2.032
2024-09-23 11:37:39.473,162592.316,0.103,0.833,-0.544,0.034,-0.054,0.098,-0.166,-0.093,-0.194,0.188,-0.984,1.993
2024-09-23 11:37:39.594,162592.436,0.094,0.806,-0.584,-0.021,0.041,0.027,0.56,-0.166,0.071,0.16,-0.938,1.983
2024-09-23 11:37:39.713,162592.556,0.108,0.774,-0.624,-0.043,0.101,0.088,-0.035,-0.481,0.716,0.171,-0.885,2.041
2024-09-23 11:37:39.833,162592.676,0.074,0.721,-0.689,0.048,-0.187,-0.126,-0.032,-0.392,-0.344,0.106,-0.805,2.067
2024-09-23 11:37:39.953,162592.795,0.073,0.721,-0.689,0.03,0.002,0.027,0.419,-0.068,0.01,0.105,-0.806,2.066
2024-09-23 11:37:40.072,162592.915,0.067,0.717,-0.694,-0.007,0.015,0.005,0.004,0.026,-0.054,0.097,-0.799,2.051
2024-09-23 11:37:40.193,162593.035,0.063,0.704,-0.707,-0.007,-0.001,0.005,0.261,-0.152,0.001,0.089,-0.782,2.043
2024-09-23 11:37:40.312,162593.155,0.048,0.683,-0.729,-0.008,-0.119,-0.045,-0.797,0.051,0.208,0.065,-0.751,2.046
2024-09-23 11:37:40.433,162593.275,0.058,0.715,-0.697,0.018,0.078,0.042,0.54,-0.26,-0.074,0.084,-0.797,2.051
2024-09-23 11:37:40.552,162593.394,0.066,0.727,-0.683,-0.032,-0.033,0.043,-1.402,0.716,0.037,0.096,-0.814,2.064
