Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:49:56.150,163328.992,-0.016,0.825,-0.564,-0.002,-0.003,0.004,0.034,0.018,-0.02,-0.029,-0.971,1.023
2024-09-23 11:49:56.269,163329.112,-0.015,0.825,-0.565,0.007,-0.003,0.005,-0.018,0.013,0.013,-0.026,-0.97,1.025
2024-09-23 11:49:56.389,163329.232,-0.012,0.825,-0.565,0.011,0.03,0.006,-0.004,0.001,0.042,-0.021,-0.97,1.028
2024-09-23 11:49:56.509,163329.352,-0.002,0.833,-0.553,-0.013,-0.013,-0.032,-0.386,0.109,0.102,-0.003,-0.985,1.042
2024-09-23 11:49:56.628,163329.472,0.027,0.879,-0.475,-0.039,0.042,-0.004,-0.674,0.368,0.133,0.058,-1.074,1.07
2024-09-23 11:49:56.748,163329.591,0.017,0.878,-0.479,0.043,0.024,0.06,0.801,-0.238,0.075,0.036,-1.071,1.072
2024-09-23 11:49:56.867,163329.711,0.001,0.839,-0.543,0.009,-0.015,0.006,0.295,-0.249,-0.102,0.002,-0.996,1.061
2024-09-23 11:49:56.987,163329.831,-0.01,0.826,-0.563,-0.006,-0.028,-0.016,-0.031,-0.022,-0.025,-0.017,-0.973,1.055
2024-09-23 11:49:57.108,163329.951,-0.018,0.82,-0.572,-0.004,-0.042,-0.022,-0.09,0.003,-0.04,-0.032,-0.962,1.045
2024-09-23 11:49:57.228,163330.07,-0.022,0.816,-0.577,0.003,0.0,0.005,0.111,-0.013,-0.052,-0.038,-0.955,1.038
2024-09-23 11:49:57.347,163330.19,-0.025,0.812,-0.583,0.0,0.004,0.014,-0.002,-0.031,0.031,-0.043,-0.948,1.037
2024-09-23 11:49:57.467,163330.31,-0.025,0.816,-0.577,0.007,-0.001,-0.004,-0.108,-0.065,0.014,-0.043,-0.955,1.043
2024-09-23 11:49:57.587,163330.43,-0.028,0.822,-0.569,0.003,-0.004,0.005,-0.151,-0.042,0.011,-0.049,-0.964,1.046
2024-09-23 11:49:57.706,163330.55,-0.021,0.835,-0.55,0.006,0.031,0.017,-0.033,0.083,0.012,-0.038,-0.988,1.048
2024-09-23 11:49:57.827,163330.669,-0.024,0.826,-0.563,0.006,0.002,0.008,0.191,-0.086,-0.039,-0.043,-0.972,1.043
2024-09-23 11:49:57.947,163330.789,-0.025,0.824,-0.566,0.006,-0.009,0.001,-0.009,0.035,0.002,-0.044,-0.968,1.043
2024-09-23 11:49:58.066,163330.909,-0.023,0.825,-0.564,-0.008,-0.018,-0.017,-0.046,0.002,0.009,-0.041,-0.971,1.045
2024-09-23 11:49:58.185,163331.029,-0.021,0.827,-0.562,-0.003,-0.034,0.001,-0.03,0.01,0.041,-0.037,-0.973,1.049
2024-09-23 11:49:58.305,163331.149,-0.011,0.836,-0.549,-0.016,-0.014,-0.015,-0.475,0.194,0.072,-0.02,-0.99,1.058
2024-09-23 11:49:58.425,163331.268,0.009,0.861,-0.509,-0.131,0.022,0.101,-0.036,-0.182,-0.011,0.017,-1.037,1.074
2024-09-23 11:49:58.545,163331.388,-0.001,0.837,-0.548,0.117,-0.029,-0.043,0.577,-0.091,-0.018,-0.001,-0.991,1.08
2024-09-23 11:49:58.665,163331.508,-0.022,0.809,-0.587,-0.022,0.003,0.001,0.227,-0.028,-0.032,-0.037,-0.943,1.053
2024-09-23 11:49:58.785,163331.628,-0.022,0.806,-0.592,0.004,-0.011,-0.003,0.032,0.008,-0.043,-0.037,-0.937,1.051
2024-09-23 11:49:58.903,163331.748,-0.028,0.795,-0.606,-0.002,-0.01,0.002,0.078,-0.021,-0.019,-0.046,-0.919,1.045
2024-09-23 11:49:59.024,163331.867,-0.028,0.796,-0.605,0.001,-0.031,-0.025,-0.08,-0.047,0.024,-0.046,-0.921,1.047
2024-09-23 11:49:59.145,163331.987,-0.028,0.8,-0.599,0.006,-0.038,-0.024,-0.074,-0.049,0.022,-0.047,-0.928,1.051
2024-09-23 11:49:59.264,163332.107,-0.029,0.807,-0.59,0.001,-0.05,-0.012,-0.219,0.054,0.003,-0.05,-0.939,1.052
2024-09-23 11:49:59.384,163332.227,-0.025,0.814,-0.58,0.008,0.029,0.016,0.12,0.02,-0.018,-0.043,-0.952,1.051
2024-09-23 11:49:59.504,163332.347,-0.027,0.805,-0.593,-0.025,-0.062,-0.04,-0.057,0.025,0.013,-0.046,-0.935,1.051
2024-09-23 11:49:59.623,163332.466,-0.023,0.803,-0.595,0.001,-0.031,-0.001,0.002,0.04,0.028,-0.039,-0.933,1.056
2024-09-23 11:49:59.743,163332.586,-0.02,0.804,-0.595,-0.002,-0.009,-0.0,-0.04,0.017,0.029,-0.033,-0.934,1.06
2024-09-23 11:49:59.863,163332.706,-0.015,0.808,-0.589,-0.001,-0.04,-0.001,-0.128,0.069,0.025,-0.026,-0.94,1.066
2024-09-23 11:49:59.983,163332.826,0.002,0.841,-0.542,-0.035,0.039,0.014,-0.298,0.305,0.183,0.005,-0.998,1.075
2024-09-23 11:50:00.103,163332.946,-0.001,0.83,-0.558,0.067,0.002,-0.005,0.551,-0.01,0.049,-0.003,-0.979,1.08
2024-09-23 11:50:00.222,163333.065,-0.011,0.813,-0.581,-0.031,-0.006,-0.028,0.034,-0.032,-0.048,-0.02,-0.95,1.066
2024-09-23 11:50:00.342,163333.185,-0.016,0.799,-0.601,0.004,-0.015,-0.013,0.135,-0.023,-0.049,-0.027,-0.926,1.063
2024-09-23 11:50:00.461,163333.305,-0.021,0.788,-0.616,0.007,0.018,0.015,-0.002,-0.022,0.032,-0.033,-0.907,1.063
2024-09-23 11:50:00.582,163333.425,-0.019,0.791,-0.611,0.004,-0.01,-0.013,-0.058,-0.024,0.014,-0.031,-0.913,1.069
2024-09-23 11:50:00.701,163333.545,-0.021,0.796,-0.605,0.02,-0.054,-0.041,-0.088,-0.013,-0.036,-0.034,-0.92,1.072
2024-09-23 11:50:00.821,163333.664,-0.019,0.807,-0.591,0.003,0.019,0.01,-0.045,0.069,-0.025,-0.032,-0.939,1.069
2024-09-23 11:50:00.942,163333.784,-0.017,0.802,-0.597,0.014,0.012,0.009,0.191,-0.051,-0.003,-0.028,-0.931,1.068
2024-09-23 11:50:01.061,163333.904,-0.016,0.795,-0.607,-0.001,0.015,0.016,0.133,-0.001,0.007,-0.026,-0.919,1.072
2024-09-23 11:50:01.181,163334.024,-0.012,0.794,-0.608,-0.006,-0.013,-0.009,0.052,0.006,0.005,-0.02,-0.917,1.076
2024-09-23 11:50:01.300,163334.143,-0.009,0.794,-0.608,0.006,-0.003,0.006,0.015,-0.002,0.017,-0.016,-0.917,1.08
2024-09-23 11:50:01.421,163334.263,-0.004,0.799,-0.601,-0.015,-0.046,-0.007,-0.247,0.093,0.016,-0.007,-0.926,1.086
2024-09-23 11:50:01.540,163334.383,0.013,0.838,-0.545,-0.195,0.069,0.089,-0.261,-0.207,0.025,0.024,-0.994,1.099
2024-09-23 11:50:01.659,163334.503,-0.002,0.819,-0.574,0.095,-0.042,-0.053,0.506,-0.082,0.018,-0.004,-0.96,1.101
2024-09-23 11:50:01.780,163334.623,-0.012,0.801,-0.598,-0.019,-0.003,0.016,0.279,-0.026,-0.009,-0.02,-0.929,1.085
2024-09-23 11:50:01.899,163334.742,-0.012,0.792,-0.611,0.014,0.014,0.016,0.219,0.005,-0.033,-0.02,-0.913,1.081
2024-09-23 11:50:02.019,163334.862,-0.016,0.778,-0.627,-0.013,-0.087,-0.054,-0.121,-0.018,0.017,-0.026,-0.892,1.08
2024-09-23 11:50:02.139,163334.982,-0.017,0.781,-0.624,0.005,-0.004,0.003,-0.004,-0.043,0.019,-0.028,-0.896,1.083
2024-09-23 11:50:02.259,163335.102,-0.02,0.784,-0.62,-0.006,-0.03,-0.0,-0.011,-0.057,0.004,-0.033,-0.902,1.085
2024-09-23 11:50:02.379,163335.222,-0.02,0.79,-0.612,-0.006,0.003,0.006,-0.246,0.089,0.013,-0.033,-0.912,1.085
2024-09-23 11:50:02.498,163335.341,-0.012,0.801,-0.598,0.021,0.008,0.0,0.145,0.008,-0.007,-0.02,-0.93,1.084
2024-09-23 11:50:02.617,163335.461,-0.015,0.785,-0.619,-0.021,-0.038,-0.015,-0.032,-0.001,0.027,-0.025,-0.903,1.085
2024-09-23 11:50:02.738,163335.581,-0.013,0.783,-0.621,-0.007,-0.023,-0.007,0.048,0.026,0.024,-0.02,-0.9,1.089
2024-09-23 11:50:02.858,163335.701,-0.009,0.783,-0.622,-0.01,0.007,-0.013,0.008,-0.002,0.027,-0.015,-0.899,1.095
2024-09-23 11:50:02.977,163335.821,-0.005,0.786,-0.618,-0.005,-0.006,0.002,-0.194,0.076,0.032,-0.009,-0.904,1.099
2024-09-23 11:50:03.097,163335.94,0.012,0.821,-0.571,0.005,0.046,-0.01,-0.349,0.074,0.267,0.021,-0.963,1.117
2024-09-23 11:50:03.218,163336.06,-0.002,0.81,-0.587,0.058,-0.038,-0.008,0.367,-0.082,0.051,-0.004,-0.944,1.117
2024-09-23 11:50:03.337,163336.18,-0.008,0.793,-0.609,-0.02,-0.002,0.001,0.225,-0.034,0.003,-0.013,-0.916,1.113
2024-09-23 11:50:03.456,163336.3,-0.01,0.784,-0.621,0.011,0.021,0.021,0.212,-0.02,-0.02,-0.016,-0.901,1.11
2024-09-23 11:50:03.577,163336.42,-0.011,0.78,-0.626,-0.003,0.002,0.002,0.001,-0.052,0.031,-0.017,-0.894,1.112
2024-09-23 11:50:03.696,163336.539,-0.014,0.782,-0.623,0.007,-0.005,0.005,-0.032,-0.065,-0.011,-0.023,-0.898,1.114
2024-09-23 11:50:03.816,163336.659,-0.018,0.784,-0.621,0.003,-0.005,-0.0,-0.12,-0.029,-0.04,-0.03,-0.901,1.114
2024-09-23 11:50:03.935,163336.779,-0.014,0.801,-0.599,-0.007,-0.012,-0.001,-0.366,0.185,-0.006,-0.023,-0.929,1.11
