Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:34:14.036,73205.473,-0.012,0.095,-0.995,0.012,-0.003,0.006,0.032,0.007,-0.005,-0.012,-0.095,0.866
2024-10-15 13:34:14.142,73205.592,-0.011,0.092,-0.996,0.001,-0.006,0.002,-0.012,0.011,-0.002,-0.011,-0.093,0.863
2024-10-15 13:34:14.262,73205.712,-0.012,0.094,-0.996,-0.002,-0.001,0.007,0.036,0.002,0.0,-0.012,-0.094,0.864
2024-10-15 13:34:14.382,73205.832,-0.01,0.098,-0.995,0.002,-0.0,0.012,-0.04,-0.067,0.076,-0.01,-0.098,0.861
2024-10-15 13:34:14.501,73205.952,-0.01,0.097,-0.995,0.003,-0.003,0.005,-0.02,-0.003,-0.01,-0.01,-0.097,0.861
2024-10-15 13:34:14.622,73206.072,-0.009,0.099,-0.995,0.0,0.007,0.007,-0.016,0.007,-0.011,-0.009,-0.099,0.861
2024-10-15 13:34:14.741,73206.191,-0.006,0.096,-0.995,0.003,-0.023,0.002,0.019,0.046,0.019,-0.007,-0.096,0.862
2024-10-15 13:34:14.861,73206.311,0.006,0.079,-0.997,-0.014,0.002,-0.04,0.25,0.196,0.15,0.006,-0.079,0.869
2024-10-15 13:34:14.981,73206.431,0.047,0.041,-0.998,0.009,0.023,-0.054,0.11,0.546,0.355,0.048,-0.041,0.899
2024-10-15 13:34:15.101,73206.551,0.101,-0.011,-0.995,-0.0,0.006,0.086,0.291,0.159,0.224,0.101,0.011,0.93
2024-10-15 13:34:15.221,73206.671,0.104,-0.019,-0.994,-0.005,-0.023,0.018,-0.001,-0.033,0.171,0.104,0.019,0.954
2024-10-15 13:34:15.340,73206.79,0.102,-0.015,-0.995,0.016,-0.026,-0.001,-0.12,-0.012,0.016,0.103,0.015,0.964
2024-10-15 13:34:15.461,73206.91,0.099,-0.004,-0.995,0.007,-0.0,0.021,-0.081,-0.078,0.033,0.099,0.004,0.969
2024-10-15 13:34:15.580,73207.03,0.094,0.027,-0.995,0.004,0.024,-0.008,-0.139,-0.004,0.112,0.094,-0.027,0.982
2024-10-15 13:34:15.700,73207.15,0.088,0.052,-0.995,-0.022,0.008,-0.018,0.048,-0.049,0.082,0.088,-0.052,0.996
2024-10-15 13:34:15.820,73207.27,0.081,0.053,-0.995,-0.005,0.005,0.003,0.021,-0.042,0.066,0.082,-0.053,1.007
2024-10-15 13:34:15.939,73207.389,0.078,0.057,-0.995,-0.023,0.005,-0.003,-0.019,-0.049,0.01,0.078,-0.057,1.01
2024-10-15 13:34:16.059,73207.509,0.077,0.056,-0.995,0.006,-0.014,0.018,-0.027,-0.036,-0.004,0.077,-0.056,1.013
2024-10-15 13:34:16.178,73207.629,0.075,0.059,-0.995,-0.005,0.004,0.001,0.015,0.031,-0.002,0.075,-0.059,1.014
2024-10-15 13:34:16.298,73207.749,0.073,0.057,-0.996,-0.003,-0.007,0.02,-0.014,-0.039,0.011,0.074,-0.057,1.015
2024-10-15 13:34:16.419,73207.869,0.066,0.056,-0.996,-0.001,-0.009,0.002,0.034,-0.069,-0.011,0.066,-0.056,1.014
2024-10-15 13:34:16.538,73207.988,0.061,0.055,-0.997,0.002,0.013,-0.003,-0.034,0.0,0.052,0.061,-0.055,1.015
2024-10-15 13:34:16.658,73208.108,0.061,0.058,-0.996,0.005,-0.018,0.015,-0.067,-0.061,0.004,0.061,-0.058,1.021
2024-10-15 13:34:16.778,73208.228,0.056,0.057,-0.997,-0.006,0.003,0.002,0.025,-0.015,0.003,0.057,-0.057,1.021
2024-10-15 13:34:16.897,73208.348,0.057,0.055,-0.997,-0.002,0.009,0.005,0.031,0.014,0.062,0.057,-0.055,1.025
2024-10-15 13:34:17.018,73208.467,0.061,0.055,-0.997,-0.01,-0.008,-0.005,-0.038,0.041,0.044,0.061,-0.055,1.032
2024-10-15 13:34:17.137,73208.587,0.076,0.073,-0.994,-0.072,-0.117,-0.078,-0.149,0.276,-0.384,0.076,-0.073,1.021
2024-10-15 13:34:17.257,73208.707,0.116,0.232,-0.966,-0.07,-0.03,0.014,-1.876,0.462,-0.642,0.119,-0.234,0.968
2024-10-15 13:34:17.376,73208.827,0.118,0.399,-0.91,0.012,0.0,-0.002,-0.947,-0.286,-0.302,0.129,-0.41,0.928
2024-10-15 13:34:17.497,73208.947,0.069,0.454,-0.888,0.016,-0.007,0.072,-0.514,-0.29,-0.278,0.077,-0.471,0.922
2024-10-15 13:34:17.616,73209.066,0.029,0.513,-0.858,0.092,0.047,0.091,-0.278,-0.438,-0.017,0.034,-0.539,0.909
