Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-26 15:03:30.608,382369.96,0.016,0.022,-1.0,-0.007,0.016,0.007,0.054,-0.03,-0.02,0.016,-0.022,0.752
2024-09-26 15:03:30.722,382370.08,0.016,0.013,-1.0,-0.001,0.011,0.006,0.058,-0.021,0.026,0.016,-0.013,0.753
2024-09-26 15:03:30.841,382370.2,0.017,0.008,-1.0,-0.002,-0.019,0.003,0.026,-0.012,-0.032,0.017,-0.008,0.755
2024-09-26 15:03:30.961,382370.32,0.014,0.015,-1.0,0.005,0.021,0.005,-0.01,0.001,-0.014,0.014,-0.015,0.751
2024-09-26 15:03:31.081,382370.439,0.016,0.029,-0.999,0.0,-0.048,0.018,-0.41,0.007,-0.061,0.016,-0.029,0.75
2024-09-26 15:03:31.201,382370.559,0.007,0.087,-0.996,-0.021,0.102,-0.012,0.141,0.152,-0.034,0.007,-0.087,0.733
2024-09-26 15:03:31.321,382370.679,0.007,0.094,-0.996,-0.0,-0.03,0.01,-0.317,-0.028,0.015,0.007,-0.095,0.73
2024-09-26 15:03:31.441,382370.799,0.015,0.147,-0.989,0.021,-0.132,-0.013,-0.498,0.421,0.264,0.015,-0.148,0.734
2024-09-26 15:03:31.560,382370.918,0.1,0.467,-0.878,-0.087,-0.232,0.001,-4.875,1.096,0.021,0.114,-0.486,0.769
2024-09-26 15:03:31.679,382371.038,0.173,0.863,-0.475,0.014,-0.078,-0.069,-3.502,0.817,-0.436,0.349,-1.041,0.905
2024-09-26 15:03:31.800,382371.158,0.15,0.926,-0.347,0.005,-0.025,0.182,-0.775,0.337,-0.281,0.407,-1.183,0.897
2024-09-26 15:03:31.919,382371.278,0.123,0.954,-0.272,0.024,-0.007,0.052,-0.658,0.01,-0.296,0.424,-1.267,0.906
2024-09-26 15:03:32.040,382371.398,0.131,0.96,-0.246,-0.01,0.023,-0.016,-0.007,0.232,0.059,0.487,-1.288,0.945
2024-09-26 15:03:32.159,382371.517,0.124,0.954,-0.273,0.009,0.001,0.021,0.324,-0.235,-0.097,0.427,-1.266,0.889
2024-09-26 15:03:32.279,382371.637,0.103,0.95,-0.294,-0.009,-0.008,-0.009,-0.087,-0.0,-0.058,0.337,-1.254,0.812
2024-09-26 15:03:32.399,382371.757,0.104,0.955,-0.28,0.004,0.002,-0.009,-0.155,0.01,-0.034,0.356,-1.268,0.824
2024-09-26 15:03:32.519,382371.877,0.098,0.958,-0.271,-0.026,-0.073,0.037,0.141,0.201,-0.176,0.346,-1.278,0.803
2024-09-26 15:03:32.639,382371.997,0.069,0.956,-0.286,0.02,-0.001,-0.029,-0.381,-0.071,-0.333,0.235,-1.272,0.678
2024-09-26 15:03:32.758,382372.116,0.067,0.978,-0.198,0.014,-0.039,-0.036,-1.085,-0.013,0.036,0.326,-1.36,0.764
2024-09-26 15:03:32.878,382372.236,0.085,0.994,-0.065,-0.015,0.064,-0.098,-0.298,-0.097,0.197,0.918,-1.464,1.369
2024-09-26 15:03:32.998,382372.356,0.083,0.966,-0.245,0.058,-0.182,0.099,1.528,-0.777,-0.001,0.325,-1.309,0.81
2024-09-26 15:03:33.117,382372.476,0.073,0.918,-0.391,0.083,0.002,0.114,0.81,-0.708,0.157,0.185,-1.162,0.755
2024-09-26 15:03:33.238,382372.596,0.073,0.891,-0.448,-0.073,-0.103,0.033,0.117,0.224,-0.004,0.162,-1.099,0.757
2024-09-26 15:03:33.357,382372.715,0.123,0.894,-0.43,-0.017,0.063,-0.024,-0.649,0.42,0.257,0.278,-1.107,0.836
2024-09-26 15:03:33.477,382372.835,0.173,0.957,-0.232,0.037,0.178,0.016,-2.331,0.552,0.704,0.643,-1.277,1.191
2024-09-26 15:03:33.597,382372.955,0.245,0.969,-0.004,0.046,-0.181,0.004,-2.804,0.569,0.69,1.554,-1.323,2.083
2024-09-26 15:03:33.717,382373.075,0.305,0.933,0.19,-0.024,0.004,-0.113,-1.997,-0.325,0.283,2.128,-1.203,2.693
2024-09-26 15:03:33.836,382373.194,0.334,0.9,0.281,-0.074,0.04,0.05,-0.339,0.025,0.18,2.271,-1.119,2.859
2024-09-26 15:03:33.956,382373.314,0.339,0.887,0.314,-0.009,-0.073,0.098,-0.4,0.006,-0.141,2.317,-1.09,2.89
2024-09-26 15:03:34.076,382373.434,0.323,0.893,0.312,0.024,-0.022,0.068,0.003,0.017,-0.086,2.339,-1.105,2.911
2024-09-26 15:03:34.196,382373.554,0.316,0.895,0.314,-0.005,-0.028,0.038,-0.245,0.111,0.019,2.352,-1.109,2.917
2024-09-26 15:03:34.315,382373.674,0.304,0.886,0.352,-0.005,-0.05,0.039,-0.122,0.147,-0.084,2.429,-1.088,2.983
2024-09-26 15:03:34.435,382373.793,0.28,0.893,0.352,0.011,-0.038,0.051,0.001,0.292,-0.06,2.469,-1.104,2.991
2024-09-26 15:03:34.555,382373.913,0.234,0.932,0.278,-0.027,-0.005,0.084,2.312,0.293,-0.615,2.442,-1.199,2.916
