Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:24:13.568,161786.405,0.036,0.815,-0.579,0.0,-0.028,-0.012,-0.12,0.005,0.018,0.062,-0.952,1.481
2024-09-23 11:24:13.688,161786.525,0.033,0.811,-0.584,0.001,-0.022,-0.002,0.148,0.027,-0.027,0.056,-0.946,1.475
2024-09-23 11:24:13.808,161786.645,0.03,0.79,-0.613,-0.003,-0.032,-0.027,-0.051,-0.061,0.032,0.049,-0.91,1.467
2024-09-23 11:24:13.927,161786.764,0.031,0.797,-0.603,-0.004,-0.027,0.007,-0.082,-0.001,-0.029,0.051,-0.923,1.483
2024-09-23 11:24:14.047,161786.884,0.044,0.803,-0.594,0.013,0.018,0.004,0.081,0.061,-0.031,0.075,-0.932,1.488
2024-09-23 11:24:14.167,161787.004,0.029,0.782,-0.623,-0.035,0.015,-0.02,0.161,-0.052,-0.023,0.046,-0.897,1.464
2024-09-23 11:24:14.287,161787.124,0.038,0.777,-0.628,0.0,-0.018,0.007,0.108,0.018,0.019,0.06,-0.89,1.47
2024-09-23 11:24:14.406,161787.244,0.055,0.81,-0.584,-0.076,0.009,-0.074,-1.527,0.193,0.039,0.094,-0.945,1.489
2024-09-23 11:24:14.526,161787.363,0.047,0.844,-0.533,-0.039,-0.048,0.03,-0.268,-0.184,-0.106,0.089,-1.006,1.495
2024-09-23 11:24:14.646,161787.483,0.036,0.83,-0.556,0.071,-0.051,-0.01,0.37,-0.022,-0.005,0.065,-0.98,1.49
2024-09-23 11:24:14.766,161787.603,0.037,0.814,-0.58,-0.017,-0.021,-0.025,0.173,0.092,0.001,0.063,-0.951,1.485
2024-09-23 11:24:14.887,161787.723,0.037,0.811,-0.583,0.014,-0.029,-0.025,-0.079,-0.047,-0.051,0.063,-0.946,1.478
2024-09-23 11:24:15.005,161787.843,0.029,0.802,-0.597,0.005,0.012,0.011,0.321,-0.098,-0.069,0.048,-0.93,1.466
2024-09-23 11:24:15.125,161787.962,0.029,0.791,-0.611,0.0,0.019,-0.017,0.054,-0.094,0.111,0.048,-0.913,1.472
2024-09-23 11:24:15.245,161788.082,0.037,0.806,-0.591,-0.0,-0.015,-0.04,-0.255,0.115,0.014,0.062,-0.937,1.479
2024-09-23 11:24:15.365,161788.202,0.044,0.811,-0.584,0.025,0.022,0.009,0.148,-0.064,-0.09,0.076,-0.945,1.48
2024-09-23 11:24:15.485,161788.322,0.029,0.786,-0.618,-0.023,0.033,0.009,0.356,-0.045,-0.008,0.047,-0.904,1.46
2024-09-23 11:24:15.604,161788.442,0.037,0.779,-0.626,0.047,-0.021,0.027,-0.049,0.091,-0.024,0.058,-0.893,1.465
2024-09-23 11:24:15.724,161788.561,0.051,0.82,-0.57,-0.054,0.084,-0.035,-0.369,-0.191,-0.19,0.09,-0.961,1.486
2024-09-23 11:24:15.844,161788.681,0.033,0.821,-0.569,0.058,-0.023,0.032,0.271,-0.142,-0.04,0.058,-0.964,1.471
2024-09-23 11:24:15.964,161788.801,0.034,0.812,-0.582,0.034,0.011,-0.006,0.006,0.064,-0.016,0.058,-0.948,1.464
2024-09-23 11:24:16.084,161788.921,0.036,0.809,-0.587,-0.011,0.004,0.002,0.044,0.002,0.013,0.061,-0.942,1.465
2024-09-23 11:24:16.203,161789.041,0.028,0.787,-0.617,0.015,0.025,0.017,0.446,0.054,0.006,0.046,-0.906,1.453
2024-09-23 11:24:16.323,161789.16,0.027,0.784,-0.62,-0.004,-0.065,0.023,-0.196,-0.149,0.067,0.043,-0.901,1.459
2024-09-23 11:24:16.443,161789.28,0.032,0.797,-0.603,-0.023,-0.009,0.001,-0.177,0.093,0.054,0.052,-0.923,1.469
2024-09-23 11:24:16.563,161789.4,0.035,0.795,-0.605,0.025,0.021,-0.002,0.27,0.004,-0.099,0.058,-0.92,1.463
2024-09-23 11:24:16.683,161789.52,0.028,0.768,-0.64,-0.008,0.041,0.003,0.125,0.096,0.006,0.044,-0.876,1.452
2024-09-23 11:24:16.802,161789.64,0.032,0.767,-0.641,-0.017,-0.042,0.057,-0.082,0.026,0.025,0.05,-0.873,1.452
2024-09-23 11:24:16.922,161789.759,0.056,0.816,-0.575,-0.027,0.098,-0.03,-0.236,-0.039,-0.217,0.097,-0.955,1.479
2024-09-23 11:24:17.041,161789.879,0.04,0.814,-0.58,0.041,-0.057,-0.02,0.029,-0.132,-0.09,0.069,-0.95,1.464
2024-09-23 11:24:17.162,161789.999,0.035,0.807,-0.59,0.009,-0.032,-0.017,-0.033,-0.004,-0.036,0.059,-0.939,1.458
2024-09-23 11:24:17.281,161790.119,0.033,0.801,-0.597,0.007,-0.013,-0.005,0.121,-0.019,-0.005,0.055,-0.93,1.456
2024-09-23 11:24:17.401,161790.239,0.026,0.783,-0.622,0.004,0.022,0.02,0.51,-0.115,-0.049,0.041,-0.899,1.449
2024-09-23 11:24:17.521,161790.358,0.023,0.768,-0.64,0.001,-0.018,-0.028,-0.105,-0.091,0.074,0.036,-0.876,1.45
2024-09-23 11:24:17.641,161790.478,0.024,0.778,-0.627,-0.017,0.001,0.06,-0.075,0.064,0.033,0.038,-0.892,1.458
2024-09-23 11:24:17.761,161790.598,0.034,0.789,-0.614,0.017,0.057,0.02,0.249,0.056,-0.046,0.056,-0.909,1.463
2024-09-23 11:24:17.881,161790.718,0.022,0.761,-0.649,-0.023,-0.056,-0.039,0.163,-0.024,-0.055,0.034,-0.864,1.442
2024-09-23 11:24:18.000,161790.837,0.023,0.745,-0.667,0.003,0.043,-0.004,0.327,-0.012,-0.019,0.035,-0.84,1.44
2024-09-23 11:24:18.120,161790.957,0.024,0.752,-0.659,-0.013,-0.081,-0.003,-0.816,0.186,-0.006,0.036,-0.851,1.435
2024-09-23 11:24:18.240,161791.077,0.057,0.869,-0.492,0.038,0.013,-0.035,-1.735,0.367,-0.074,0.115,-1.053,1.467
2024-09-23 11:24:18.360,161791.197,0.048,0.942,-0.332,0.103,0.077,-0.104,-1.348,-0.031,-0.1,0.143,-1.229,1.484
2024-09-23 11:24:18.480,161791.317,0.06,0.937,-0.344,0.06,0.024,0.112,1.103,-0.203,0.282,0.172,-1.214,1.507
2024-09-23 11:24:18.600,161791.436,0.098,0.887,-0.452,-0.03,-0.104,0.003,0.714,-0.304,0.343,0.213,-1.09,1.58
2024-09-23 11:24:18.719,161791.556,0.072,0.833,-0.548,-0.081,-0.034,0.057,0.996,-0.402,-0.195,0.131,-0.985,1.535
2024-09-23 11:24:18.839,161791.676,0.06,0.806,-0.589,-0.051,0.056,-0.03,0.046,0.137,-0.01,0.101,-0.937,1.508
2024-09-23 11:24:18.959,161791.796,0.052,0.786,-0.617,-0.003,-0.071,0.021,0.093,-0.141,-0.194,0.084,-0.904,1.491
2024-09-23 11:24:19.079,161791.916,0.045,0.784,-0.619,0.0,-0.022,0.02,0.183,0.115,-0.026,0.073,-0.901,1.477
2024-09-23 11:24:19.198,161792.035,0.052,0.786,-0.616,0.014,0.028,0.014,-0.035,-0.012,-0.029,0.085,-0.905,1.478
2024-09-23 11:24:19.318,161792.155,0.052,0.792,-0.608,0.007,0.0,0.009,0.048,-0.034,-0.037,0.086,-0.914,1.479
2024-09-23 11:24:19.438,161792.275,0.045,0.781,-0.624,-0.008,-0.036,-0.031,-0.035,0.085,-0.009,0.072,-0.895,1.467
2024-09-23 11:24:19.558,161792.395,0.056,0.799,-0.599,-0.019,0.04,-0.027,-0.413,0.004,0.046,0.093,-0.925,1.485
2024-09-23 11:24:19.678,161792.515,0.05,0.8,-0.598,0.01,-0.008,-0.001,0.095,-0.188,-0.04,0.083,-0.928,1.485
2024-09-23 11:24:19.797,161792.634,0.054,0.787,-0.614,-0.011,-0.053,-0.011,-0.027,0.216,0.029,0.087,-0.906,1.481
2024-09-23 11:24:19.917,161792.754,0.046,0.79,-0.611,-0.001,-0.052,-0.008,0.057,-0.169,0.089,0.075,-0.911,1.483
2024-09-23 11:24:20.037,161792.874,0.053,0.798,-0.601,0.02,-0.053,-0.018,-0.068,0.049,-0.02,0.088,-0.924,1.492
2024-09-23 11:24:20.157,161792.994,0.055,0.797,-0.601,0.01,-0.019,-0.005,-0.12,-0.099,-0.014,0.09,-0.923,1.495
2024-09-23 11:24:20.277,161793.114,0.051,0.799,-0.6,0.011,0.003,0.003,0.09,-0.106,-0.028,0.085,-0.925,1.496
2024-09-23 11:24:20.397,161793.233,0.049,0.788,-0.613,-0.031,0.056,0.015,0.121,0.234,0.061,0.079,-0.908,1.492
2024-09-23 11:24:20.517,161793.353,0.057,0.783,-0.62,-0.016,-0.04,-0.005,-0.063,0.04,0.036,0.091,-0.899,1.488
2024-09-23 11:24:20.636,161793.473,0.068,0.793,-0.605,-0.021,-0.159,-0.04,-0.918,0.463,0.174,0.113,-0.916,1.506
