Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:29:11.065,72902.503,0.28,0.35,-0.894,0.032,-0.005,0.009,-0.06,-0.023,-0.028,0.304,-0.358,0.896
2024-10-15 13:29:11.173,72902.623,0.281,0.352,-0.893,-0.004,-0.008,0.006,-0.003,-0.015,0.007,0.304,-0.36,0.898
2024-10-15 13:29:11.293,72902.742,0.281,0.353,-0.892,-0.003,-0.006,0.003,-0.008,0.006,0.007,0.305,-0.361,0.9
2024-10-15 13:29:11.413,72902.862,0.281,0.353,-0.892,-0.001,-0.005,0.004,0.001,-0.006,-0.005,0.305,-0.361,0.9
2024-10-15 13:29:11.532,72902.982,0.279,0.353,-0.893,-0.004,-0.001,0.004,0.02,-0.021,-0.02,0.303,-0.361,0.898
2024-10-15 13:29:11.653,72903.102,0.277,0.354,-0.894,0.008,-0.02,0.011,-0.175,-0.073,0.061,0.3,-0.361,0.9
2024-10-15 13:29:11.772,72903.222,0.273,0.375,-0.886,0.013,-0.001,0.019,-0.171,-0.118,0.185,0.299,-0.385,0.928
2024-10-15 13:29:11.892,72903.341,0.268,0.349,-0.898,0.015,-0.001,0.034,0.336,-0.14,0.162,0.29,-0.357,0.938
2024-10-15 13:29:12.011,72903.461,0.264,0.296,-0.918,-0.02,-0.023,0.024,0.239,-0.022,0.108,0.28,-0.3,0.936
2024-10-15 13:29:12.131,72903.581,0.262,0.265,-0.928,0.025,-0.004,-0.01,0.311,-0.05,0.033,0.275,-0.268,0.935
2024-10-15 13:29:12.251,72903.701,0.258,0.234,-0.937,-0.0,0.034,0.001,0.415,-0.06,0.077,0.269,-0.236,0.936
2024-10-15 13:29:12.371,72903.821,0.26,0.197,-0.945,-0.003,-0.105,-0.051,-0.292,0.102,0.253,0.269,-0.198,0.942
2024-10-15 13:29:12.491,72903.94,0.245,0.21,-0.947,-0.054,0.148,0.069,0.398,-0.148,0.074,0.253,-0.211,0.953
2024-10-15 13:29:12.611,72904.06,0.241,0.217,-0.946,0.08,0.139,-0.068,0.29,-0.062,-0.178,0.25,-0.219,0.972
2024-10-15 13:29:12.730,72904.18,0.226,0.175,-0.958,-0.11,-0.055,-0.093,0.127,-0.024,0.071,0.231,-0.176,0.957
2024-10-15 13:29:12.850,72904.3,0.231,0.215,-0.949,0.201,0.149,0.08,0.197,-0.109,-0.142,0.238,-0.217,0.971
2024-10-15 13:29:12.971,72904.42,0.225,0.18,-0.958,-0.156,-0.019,0.025,-0.07,0.158,0.192,0.23,-0.181,0.962
2024-10-15 13:29:13.090,72904.539,0.225,0.234,-0.946,0.096,0.191,0.074,0.214,-0.152,-0.11,0.234,-0.236,0.971
2024-10-15 13:29:13.210,72904.659,0.232,0.212,-0.949,-0.143,-0.2,-0.049,-0.713,0.358,0.313,0.24,-0.214,0.97
2024-10-15 13:29:13.330,72904.779,0.218,0.218,-0.951,-0.043,0.253,0.022,0.753,0.083,-0.187,0.225,-0.22,0.962
2024-10-15 13:29:13.449,72904.899,0.24,0.244,-0.94,-0.03,-0.354,-0.108,-1.715,0.102,0.282,0.25,-0.247,0.984
2024-10-15 13:29:13.569,72905.019,0.216,0.22,-0.951,0.017,0.317,0.037,1.019,-0.013,-0.143,0.223,-0.222,0.961
2024-10-15 13:29:13.689,72905.138,0.238,0.268,-0.934,0.073,0.276,-0.068,-0.379,0.048,0.274,0.249,-0.271,1.003
2024-10-15 13:29:13.809,72905.258,0.212,0.226,-0.951,0.02,-0.367,0.012,-0.008,-0.018,-0.196,0.219,-0.228,0.963
2024-10-15 13:29:13.928,72905.378,0.236,0.281,-0.93,0.117,0.135,0.082,-0.157,-0.121,-0.052,0.248,-0.284,1.003
2024-10-15 13:29:14.048,72905.498,0.22,0.219,-0.951,-0.234,0.019,-0.05,0.043,0.111,0.293,0.227,-0.221,0.966
2024-10-15 13:29:14.168,72905.618,0.229,0.287,-0.93,0.226,0.014,0.052,-0.404,-0.034,-0.313,0.241,-0.291,1.001
2024-10-15 13:29:14.288,72905.737,0.225,0.256,-0.94,-0.066,-0.033,0.078,-0.058,0.139,0.14,0.235,-0.259,0.967
2024-10-15 13:29:14.408,72905.857,0.221,0.3,-0.928,0.159,0.442,-0.036,0.862,-0.169,-0.232,0.234,-0.305,0.981
2024-10-15 13:29:14.527,72905.977,0.23,0.262,-0.937,-0.127,-0.255,-0.07,-0.721,0.187,0.19,0.24,-0.266,0.966
2024-10-15 13:29:14.647,72906.097,0.226,0.305,-0.925,-0.021,0.257,-0.028,0.825,0.021,-0.142,0.24,-0.309,0.978
2024-10-15 13:29:14.767,72906.216,0.233,0.271,-0.934,-0.018,-0.21,-0.136,-0.734,0.139,0.189,0.244,-0.275,0.976
2024-10-15 13:29:14.887,72906.336,0.223,0.276,-0.935,-0.033,0.131,0.073,0.391,-0.018,-0.129,0.234,-0.279,0.964
2024-10-15 13:29:15.007,72906.456,0.243,0.322,-0.915,0.071,0.098,-0.119,-0.641,0.264,0.088,0.259,-0.328,0.99
2024-10-15 13:29:15.127,72906.576,0.244,0.348,-0.905,0.028,0.076,0.267,0.315,-0.13,-0.328,0.263,-0.355,0.989
2024-10-15 13:29:15.246,72906.696,0.255,0.46,-0.851,0.029,0.09,0.178,-0.684,0.2,-0.059,0.292,-0.478,0.992
2024-10-15 13:29:15.366,72906.815,0.265,0.481,-0.836,-0.023,0.113,0.012,0.58,-0.144,-0.035,0.308,-0.501,0.997
2024-10-15 13:29:15.487,72906.935,0.27,0.405,-0.874,-0.036,-0.035,0.056,0.857,0.162,-0.023,0.3,-0.417,0.978
2024-10-15 13:29:15.605,72907.055,0.272,0.335,-0.902,0.072,0.007,-0.082,0.582,-0.05,0.177,0.293,-0.342,0.952
2024-10-15 13:29:15.726,72907.175,0.269,0.273,-0.923,0.038,0.005,0.075,0.476,-0.191,0.218,0.284,-0.277,0.944
2024-10-15 13:29:15.845,72907.295,0.261,0.22,-0.94,-0.108,-0.076,-0.134,-0.383,0.173,0.309,0.27,-0.222,0.947
2024-10-15 13:29:15.965,72907.414,0.256,0.211,-0.943,-0.08,0.103,-0.012,0.23,-0.156,0.068,0.265,-0.212,0.952
2024-10-15 13:29:16.085,72907.534,0.263,0.241,-0.934,0.173,-0.038,0.102,0.431,-0.092,-0.04,0.274,-0.244,0.982
2024-10-15 13:29:16.205,72907.654,0.239,0.205,-0.949,-0.192,0.129,-0.064,0.158,-0.055,0.049,0.246,-0.206,0.96
2024-10-15 13:29:16.324,72907.774,0.249,0.239,-0.939,0.25,-0.012,0.196,0.106,-0.29,-0.135,0.259,-0.241,0.98
2024-10-15 13:29:16.444,72907.894,0.243,0.223,-0.944,-0.113,-0.243,-0.131,-1.007,0.377,0.076,0.252,-0.225,0.971
2024-10-15 13:29:16.563,72908.013,0.237,0.251,-0.939,-0.035,0.091,0.024,0.546,-0.283,-0.189,0.247,-0.253,0.976
2024-10-15 13:29:16.684,72908.133,0.254,0.26,-0.932,-0.022,-0.11,-0.054,-0.752,0.363,0.177,0.266,-0.263,0.985
2024-10-15 13:29:16.804,72908.253,0.244,0.272,-0.931,-0.088,0.048,-0.065,0.218,-0.081,-0.109,0.256,-0.276,0.985
2024-10-15 13:29:16.923,72908.373,0.252,0.262,-0.932,-0.066,-0.105,-0.125,-0.373,0.335,0.123,0.264,-0.266,0.981
2024-10-15 13:29:17.043,72908.493,0.242,0.273,-0.931,-0.041,0.233,0.02,0.852,-0.185,-0.157,0.254,-0.276,0.978
2024-10-15 13:29:17.163,72908.612,0.259,0.273,-0.927,-0.035,-0.112,-0.13,-0.819,0.441,0.212,0.273,-0.276,0.985
2024-10-15 13:29:17.284,72908.732,0.237,0.253,-0.938,-0.098,0.122,0.046,1.304,0.053,-0.253,0.248,-0.256,0.966
2024-10-15 13:29:17.402,72908.852,0.261,0.276,-0.925,-0.017,-0.119,-0.229,-0.652,0.161,0.09,0.275,-0.279,0.988
2024-10-15 13:29:17.522,72908.972,0.229,0.239,-0.943,0.005,-0.195,-0.014,-0.243,-0.08,-0.178,0.238,-0.242,0.957
2024-10-15 13:29:17.642,72909.092,0.266,0.284,-0.921,0.141,-0.088,0.088,-0.118,-0.04,-0.03,0.281,-0.288,0.988
2024-10-15 13:29:17.762,72909.211,0.236,0.248,-0.939,-0.322,0.04,-0.257,-0.319,0.402,0.138,0.246,-0.251,0.959
2024-10-15 13:29:17.881,72909.331,0.261,0.286,-0.922,0.249,-0.284,0.392,-0.116,-0.387,-0.243,0.276,-0.29,0.98
2024-10-15 13:29:18.001,72909.451,0.268,0.388,-0.882,-0.106,0.026,-0.157,-1.782,0.603,-0.115,0.295,-0.398,0.976
2024-10-15 13:29:18.121,72909.571,0.282,0.419,-0.863,0.001,0.086,0.006,0.406,0.014,0.141,0.316,-0.433,0.985
2024-10-15 13:29:18.241,72909.691,0.284,0.366,-0.886,0.056,-0.173,0.042,0.313,0.046,-0.147,0.31,-0.375,0.972
2024-10-15 13:29:18.360,72909.81,0.287,0.341,-0.895,0.008,0.077,0.017,0.653,-0.068,0.118,0.31,-0.348,0.95
2024-10-15 13:29:18.481,72909.93,0.283,0.306,-0.909,0.044,-0.043,-0.039,0.114,0.062,-0.003,0.302,-0.311,0.946
2024-10-15 13:29:18.600,72910.05,0.273,0.257,-0.927,0.034,0.086,-0.005,0.853,-0.215,0.118,0.287,-0.26,0.938
2024-10-15 13:29:18.720,72910.17,0.275,0.256,-0.927,-0.05,-0.273,-0.11,-1.51,0.125,0.258,0.289,-0.258,0.96
2024-10-15 13:29:18.840,72910.289,0.255,0.247,-0.935,-0.02,0.102,0.116,0.499,-0.358,-0.117,0.266,-0.25,0.954
2024-10-15 13:29:18.960,72910.409,0.269,0.286,-0.92,0.096,0.196,0.036,0.078,0.145,0.104,0.284,-0.29,0.983
2024-10-15 13:29:19.080,72910.529,0.244,0.243,-0.939,-0.118,0.003,-0.096,-0.107,0.036,0.001,0.254,-0.246,0.954
2024-10-15 13:29:19.199,72910.649,0.267,0.291,-0.919,0.256,-0.177,0.286,0.46,-0.311,-0.156,0.283,-0.295,0.994
2024-10-15 13:29:19.319,72910.769,0.243,0.254,-0.936,-0.331,0.074,-0.33,-0.312,0.321,0.162,0.254,-0.257,0.967
2024-10-15 13:29:19.439,72910.888,0.269,0.311,-0.912,0.237,-0.156,0.267,0.237,-0.268,-0.158,0.287,-0.316,1.006
2024-10-15 13:29:19.559,72911.008,0.251,0.283,-0.926,-0.239,0.157,-0.215,-0.064,0.294,0.129,0.265,-0.287,0.983
2024-10-15 13:29:19.678,72911.128,0.271,0.321,-0.907,0.118,0.01,0.167,0.289,-0.206,-0.069,0.291,-0.327,1.008
2024-10-15 13:29:19.798,72911.248,0.247,0.278,-0.928,-0.099,0.169,-0.066,0.231,0.019,-0.025,0.26,-0.282,0.969
2024-10-15 13:29:19.918,72911.368,0.27,0.311,-0.911,0.026,-0.18,-0.068,-0.39,0.112,-0.034,0.288,-0.316,0.996
2024-10-15 13:29:20.038,72911.487,0.242,0.265,-0.933,-0.05,-0.113,-0.057,-0.253,0.075,-0.049,0.254,-0.269,0.961
2024-10-15 13:29:20.158,72911.607,0.275,0.324,-0.905,0.02,-0.118,-0.048,-0.344,0.066,0.208,0.295,-0.33,1.011
2024-10-15 13:29:20.277,72911.727,0.248,0.284,-0.926,0.06,-0.009,0.081,0.367,-0.316,-0.159,0.262,-0.288,0.977
2024-10-15 13:29:20.397,72911.847,0.269,0.317,-0.909,0.045,0.181,-0.056,-0.001,0.053,0.095,0.288,-0.323,1.013
2024-10-15 13:29:20.517,72911.967,0.243,0.279,-0.929,-0.022,-0.072,-0.012,0.148,-0.219,-0.037,0.256,-0.283,0.98
2024-10-15 13:29:20.637,72912.086,0.269,0.333,-0.904,0.116,0.041,0.049,-0.173,-0.006,0.018,0.289,-0.339,1.02
2024-10-15 13:29:20.757,72912.206,0.246,0.3,-0.922,-0.051,0.071,0.0,-0.08,0.064,0.033,0.261,-0.305,0.977
2024-10-15 13:29:20.876,72912.326,0.266,0.331,-0.905,0.036,0.116,-0.009,0.019,0.021,-0.041,0.286,-0.337,1.004
2024-10-15 13:29:20.996,72912.446,0.245,0.298,-0.923,-0.032,-0.084,0.094,0.322,-0.069,-0.111,0.26,-0.302,0.968
2024-10-15 13:29:21.116,72912.566,0.269,0.323,-0.908,0.096,-0.125,-0.002,-0.136,-0.021,-0.087,0.288,-0.329,0.995
2024-10-15 13:29:21.236,72912.685,0.251,0.307,-0.918,-0.071,-0.113,0.011,-0.21,0.05,-0.003,0.267,-0.312,0.97
2024-10-15 13:29:21.356,72912.805,0.279,0.349,-0.895,0.04,0.062,-0.033,-0.142,0.1,-0.008,0.302,-0.357,1.0
2024-10-15 13:29:21.475,72912.925,0.26,0.321,-0.911,0.036,-0.123,0.064,0.41,-0.069,-0.085,0.278,-0.327,0.973
2024-10-15 13:29:21.595,72913.045,0.272,0.314,-0.91,-0.033,-0.432,-0.116,-1.549,-0.152,0.303,0.29,-0.32,0.994
2024-10-15 13:29:21.715,72913.165,0.255,0.305,-0.918,0.021,0.175,0.224,0.695,-0.216,-0.129,0.271,-0.309,0.972
2024-10-15 13:29:21.835,72913.284,0.269,0.345,-0.899,0.042,-0.268,0.125,-0.514,-0.025,0.36,0.29,-0.352,1.016
2024-10-15 13:29:21.955,72913.404,0.259,0.353,-0.899,-0.097,-0.173,0.047,0.133,0.144,-0.748,0.28,-0.361,0.986
2024-10-15 13:29:22.074,72913.524,0.295,0.462,-0.837,0.041,0.123,0.118,-0.657,0.259,-0.008,0.339,-0.48,0.978
2024-10-15 13:29:22.194,72913.644,0.302,0.431,-0.85,0.053,0.032,-0.026,0.722,0.028,0.022,0.341,-0.446,0.965
2024-10-15 13:29:22.314,72913.764,0.304,0.375,-0.876,-0.035,-0.023,0.012,0.205,0.003,0.062,0.334,-0.385,0.952
2024-10-15 13:29:22.434,72913.883,0.307,0.354,-0.884,0.111,-0.071,0.087,0.357,-0.205,0.193,0.334,-0.362,0.958
2024-10-15 13:29:22.553,72914.003,0.288,0.28,-0.916,-0.074,0.107,-0.053,0.23,-0.098,0.191,0.305,-0.284,0.943
2024-10-15 13:29:22.673,72914.123,0.289,0.308,-0.906,0.079,-0.156,0.13,0.586,-0.058,-0.134,0.308,-0.314,0.99
2024-10-15 13:29:22.793,72914.243,0.274,0.281,-0.92,-0.203,0.089,-0.183,-0.146,0.018,0.163,0.29,-0.285,0.968
2024-10-15 13:29:22.913,72914.362,0.282,0.348,-0.894,0.261,-0.187,0.245,0.283,-0.349,-0.331,0.305,-0.356,1.003
2024-10-15 13:29:23.033,72914.482,0.272,0.313,-0.91,-0.207,-0.045,-0.278,-0.473,0.233,0.281,0.29,-0.318,0.986
2024-10-15 13:29:23.152,72914.602,0.282,0.37,-0.885,0.203,0.038,0.145,0.29,-0.131,-0.247,0.309,-0.379,1.021
2024-10-15 13:29:23.272,72914.722,0.276,0.336,-0.901,-0.078,-0.101,-0.043,-0.586,0.086,0.253,0.297,-0.343,1.004
