Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:40:14.407,162747.249,0.134,0.898,-0.419,-0.058,-0.126,0.013,0.45,-0.027,-0.032,0.31,-1.115,1.39
2024-09-23 11:40:14.527,162747.369,0.105,0.877,-0.469,-0.007,0.033,0.006,0.424,-0.201,-0.341,0.22,-1.07,1.309
2024-09-23 11:40:14.646,162747.489,0.111,0.871,-0.478,0.011,0.016,0.015,0.173,-0.016,0.102,0.228,-1.057,1.315
2024-09-23 11:40:14.766,162747.609,0.104,0.86,-0.5,-0.029,-0.05,0.001,0.12,-0.082,0.135,0.206,-1.035,1.297
2024-09-23 11:40:14.886,162747.728,0.108,0.868,-0.484,-0.021,-0.06,-0.029,-0.296,0.138,-0.125,0.22,-1.052,1.317
2024-09-23 11:40:15.006,162747.848,0.125,0.867,-0.483,-0.032,-0.093,-0.079,-0.795,0.2,0.043,0.253,-1.048,1.334
2024-09-23 11:40:15.125,162747.968,0.152,0.898,-0.413,-0.12,-0.052,-0.102,-0.7,0.391,0.42,0.352,-1.115,1.415
2024-09-23 11:40:15.245,162748.088,0.132,0.892,-0.432,0.065,-0.12,0.028,0.565,-0.097,-0.041,0.297,-1.102,1.378
2024-09-23 11:40:15.365,162748.208,0.107,0.873,-0.477,-0.04,0.077,-0.006,0.096,-0.087,-0.139,0.221,-1.06,1.312
2024-09-23 11:40:15.484,162748.327,0.106,0.873,-0.476,0.014,0.021,0.01,0.15,-0.084,-0.113,0.219,-1.061,1.314
2024-09-23 11:40:15.605,162748.447,0.1,0.872,-0.479,-0.008,0.016,-0.01,0.067,0.033,-0.011,0.206,-1.06,1.302
2024-09-23 11:40:15.724,162748.567,0.099,0.856,-0.508,-0.028,-0.011,-0.022,-0.174,0.008,0.206,0.192,-1.027,1.29
2024-09-23 11:40:15.845,162748.687,0.1,0.866,-0.49,-0.022,0.016,-0.018,-0.202,0.164,-0.129,0.202,-1.047,1.303
2024-09-23 11:40:15.964,162748.807,0.114,0.864,-0.491,-0.025,-0.06,-0.07,-0.711,0.205,0.1,0.228,-1.043,1.318
