Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-01 09:44:38.131,27769.895,0.137,-0.084,-0.987,0.012,-0.014,0.012,-0.026,0.003,-0.006,0.138,0.084,1.059
2024-10-01 09:44:38.171,27770.015,0.138,-0.084,-0.987,-0.006,-0.003,0.007,-0.013,-0.01,-0.002,0.139,0.084,1.059
2024-10-01 09:44:38.191,27770.135,0.137,-0.084,-0.987,-0.004,-0.001,0.008,-0.001,-0.004,-0.0,0.138,0.084,1.059
2024-10-01 09:44:38.210,27770.255,0.138,-0.083,-0.987,-0.008,0.002,0.005,0.003,0.016,-0.001,0.139,0.083,1.059
2024-10-01 09:44:38.235,27770.375,0.138,-0.083,-0.987,-0.009,0.004,0.009,0.013,0.008,-0.0,0.139,0.083,1.059
2024-10-01 09:44:38.331,27770.494,0.139,-0.083,-0.987,-0.006,-0.002,0.008,-0.015,-0.0,0.001,0.139,0.083,1.059
2024-10-01 09:44:38.452,27770.614,0.138,-0.083,-0.987,-0.006,0.0,0.007,0.001,-0.007,-0.0,0.139,0.083,1.059
2024-10-01 09:44:38.572,27770.734,0.138,-0.083,-0.987,-0.007,-0.0,0.01,0.013,0.002,0.002,0.139,0.083,1.059
2024-10-01 09:44:38.691,27770.854,0.14,-0.072,-0.988,-0.016,-0.058,0.007,-0.329,0.051,-0.059,0.141,0.072,1.06
2024-10-01 09:44:38.811,27770.974,0.154,-0.04,-0.987,-0.296,0.114,-0.162,0.952,0.792,0.177,0.155,0.04,1.042
2024-10-01 09:44:38.931,27771.093,0.232,-0.078,-0.97,-0.17,-0.179,-0.158,0.115,0.663,-0.547,0.235,0.078,1.022
2024-10-01 09:44:39.050,27771.213,0.269,-0.074,-0.96,-0.116,-0.103,0.186,0.758,-0.223,-0.775,0.273,0.074,0.95
2024-10-01 09:44:39.171,27771.333,0.186,-0.158,-0.97,0.072,0.095,0.216,-0.107,-1.343,-0.543,0.19,0.159,0.842
2024-10-01 09:44:39.291,27771.453,0.042,-0.085,-0.995,0.158,0.254,-0.108,-0.611,-0.599,0.124,0.042,0.086,0.834
2024-10-01 09:44:39.410,27771.573,0.002,-0.031,-1.0,0.146,0.137,0.043,0.214,-0.288,-0.06,0.002,0.031,0.836
2024-10-01 09:44:39.530,27771.692,-0.021,-0.06,-0.998,0.034,0.172,-0.146,1.807,-0.023,0.019,-0.021,0.06,0.848
2024-10-01 09:44:39.650,27771.812,0.014,-0.176,-0.984,0.035,-0.091,-0.047,-0.342,0.48,0.103,0.015,0.177,0.848
2024-10-01 09:44:39.770,27771.932,0.084,-0.172,-0.981,-0.017,0.058,0.034,-0.475,0.695,0.11,0.085,0.173,0.854
2024-10-01 09:44:39.889,27772.052,0.165,-0.139,-0.977,-0.011,0.021,0.069,-0.659,0.591,0.327,0.167,0.139,0.874
2024-10-01 09:44:40.009,27772.171,0.197,-0.111,-0.974,-0.057,0.022,-0.043,0.227,0.006,0.078,0.199,0.112,0.921
2024-10-01 09:44:40.129,27772.291,0.199,-0.143,-0.97,-0.049,-0.076,-0.013,-0.09,-0.061,0.017,0.203,0.143,0.954
2024-10-01 09:44:40.249,27772.411,0.192,-0.125,-0.974,-0.063,-0.049,0.02,-0.394,-0.029,-0.071,0.194,0.125,0.967
2024-10-01 09:44:40.369,27772.531,0.224,-0.046,-0.974,-0.013,0.099,0.048,-0.899,0.612,0.061,0.226,0.046,1.0
