Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:57:07.979,74579.418,0.002,-0.445,-0.895,-0.034,0.067,0.003,0.0,0.044,-0.038,0.002,0.462,1.53
2024-10-15 13:57:08.084,74579.538,0.001,-0.444,-0.896,0.002,-0.014,0.005,-0.042,0.005,-0.029,0.001,0.461,1.529
2024-10-15 13:57:08.204,74579.658,-0.0,-0.443,-0.896,0.002,0.015,0.008,-0.016,-0.023,0.01,-0.0,0.459,1.527
2024-10-15 13:57:08.324,74579.778,0.003,-0.438,-0.899,-0.013,-0.017,0.011,-0.078,0.051,-0.048,0.004,0.454,1.524
2024-10-15 13:57:08.443,74579.897,0.013,-0.431,-0.902,-0.037,-0.003,0.014,-0.056,0.076,-0.155,0.014,0.446,1.512
2024-10-15 13:57:08.563,74580.017,0.029,-0.417,-0.908,-0.066,-0.035,0.02,-0.168,0.117,-0.33,0.032,0.43,1.481
2024-10-15 13:57:08.684,74580.137,0.039,-0.401,-0.915,-0.01,-0.023,0.029,-0.205,-0.065,-0.298,0.042,0.412,1.441
2024-10-15 13:57:08.803,74580.257,0.046,-0.374,-0.926,-0.047,-0.025,0.015,-0.275,0.03,-0.362,0.05,0.383,1.402
2024-10-15 13:57:08.923,74580.377,0.059,-0.322,-0.945,-0.098,-0.11,0.088,-0.894,-0.027,-0.601,0.062,0.328,1.347
2024-10-15 13:57:09.043,74580.496,0.075,-0.149,-0.986,-0.196,-0.271,0.197,-3.301,0.203,-1.274,0.076,0.15,1.247
2024-10-15 13:57:09.163,74580.616,0.108,0.159,-0.981,0.108,0.212,-0.015,-1.797,0.333,-0.719,0.109,-0.16,1.139
2024-10-15 13:57:09.283,74580.736,0.134,0.353,-0.926,0.17,0.101,-0.149,-1.474,0.227,0.274,0.144,-0.36,1.151
2024-10-15 13:57:09.402,74580.856,0.155,0.493,-0.856,-0.045,-0.016,-0.01,-0.992,-0.302,0.282,0.179,-0.515,1.225
2024-10-15 13:57:09.522,74580.976,0.13,0.546,-0.827,-0.016,0.009,0.005,0.158,-0.235,-0.237,0.156,-0.578,1.24
2024-10-15 13:57:09.642,74581.095,0.12,0.634,-0.764,-0.012,-0.014,-0.053,-1.5,0.029,-0.041,0.155,-0.687,1.244
2024-10-15 13:57:09.761,74581.215,0.143,0.731,-0.667,0.02,0.099,0.129,-0.887,0.134,0.277,0.211,-0.82,1.292
2024-10-15 13:57:09.881,74581.335,0.155,0.73,-0.666,0.02,-0.04,-0.034,1.051,-0.19,0.089,0.229,-0.818,1.331
2024-10-15 13:57:10.001,74581.455,0.134,0.63,-0.765,0.058,-0.057,-0.098,0.832,-0.267,0.039,0.173,-0.682,1.291
2024-10-15 13:57:10.121,74581.575,0.131,0.6,-0.789,0.014,0.065,0.007,0.963,0.015,-0.044,0.165,-0.643,1.283
2024-10-15 13:57:10.241,74581.694,0.118,0.526,-0.842,0.028,-0.091,0.014,-0.229,-0.181,-0.058,0.139,-0.554,1.249
2024-10-15 13:57:10.361,74581.814,0.093,0.459,-0.884,-0.174,0.063,-0.122,0.612,0.15,-0.071,0.105,-0.477,1.223
2024-10-15 13:57:10.481,74581.934,0.082,0.432,-0.898,-0.037,-0.053,-0.085,-0.108,-0.13,0.01,0.091,-0.446,1.219
2024-10-15 13:57:10.601,74582.054,0.06,0.43,-0.901,-0.108,0.039,-0.054,-0.213,-0.398,0.219,0.067,-0.445,1.228
2024-10-15 13:57:10.720,74582.173,0.072,0.447,-0.892,0.433,-0.137,0.036,0.082,-0.303,-0.061,0.081,-0.463,1.256
2024-10-15 13:57:10.840,74582.293,0.021,0.445,-0.895,-0.337,0.222,-0.013,0.413,-0.391,0.027,0.024,-0.461,1.238
2024-10-15 13:57:10.960,74582.413,0.037,0.411,-0.911,0.173,0.018,0.038,0.816,0.409,0.031,0.04,-0.423,1.247
2024-10-15 13:57:11.080,74582.533,0.008,0.38,-0.925,-0.127,0.074,0.039,-0.086,-0.664,0.042,0.008,-0.39,1.232
2024-10-15 13:57:11.199,74582.653,0.019,0.35,-0.937,0.197,-0.065,-0.102,0.439,0.183,0.039,0.02,-0.357,1.248
2024-10-15 13:57:11.319,74582.772,-0.014,0.338,-0.941,-0.008,-0.006,0.035,-0.525,-0.782,-0.124,-0.015,-0.345,1.225
2024-10-15 13:57:11.439,74582.892,-0.004,0.351,-0.936,0.005,0.412,-0.03,0.524,0.36,0.258,-0.004,-0.359,1.244
2024-10-15 13:57:11.559,74583.012,-0.014,0.332,-0.943,0.023,0.078,0.129,0.012,-0.769,-0.161,-0.015,-0.338,1.241
2024-10-15 13:57:11.679,74583.132,-0.019,0.344,-0.939,0.218,0.086,-0.134,0.02,0.027,0.23,-0.02,-0.351,1.248
2024-10-15 13:57:11.798,74583.252,-0.012,0.32,-0.947,-0.016,0.498,0.036,1.103,0.092,-0.119,-0.012,-0.325,1.24
2024-10-15 13:57:11.918,74583.371,-0.008,0.332,-0.943,0.044,0.02,-0.108,-0.51,0.463,0.39,-0.009,-0.338,1.242
2024-10-15 13:57:12.038,74583.491,-0.018,0.322,-0.947,-0.043,0.285,0.097,0.551,-0.254,-0.182,-0.019,-0.327,1.235
2024-10-15 13:57:12.158,74583.611,-0.013,0.332,-0.943,0.043,0.026,-0.1,-0.187,0.278,0.129,-0.014,-0.338,1.231
2024-10-15 13:57:12.278,74583.731,0.0,0.376,-0.927,-0.093,0.23,-0.083,-0.922,0.509,0.011,0.0,-0.385,1.221
2024-10-15 13:57:12.397,74583.851,0.081,0.481,-0.873,-0.031,0.036,0.03,-0.413,0.609,-0.25,0.092,-0.502,1.206
2024-10-15 13:57:12.518,74583.97,0.135,0.509,-0.85,0.105,0.056,0.008,-0.191,0.428,-0.051,0.158,-0.534,1.193
2024-10-15 13:57:12.637,74584.09,0.148,0.51,-0.847,0.003,-0.131,-0.053,0.04,0.222,0.142,0.173,-0.536,1.192
2024-10-15 13:57:12.756,74584.21,0.138,0.445,-0.885,-0.048,0.041,-0.041,0.252,-0.572,0.276,0.154,-0.461,1.203
2024-10-15 13:57:12.877,74584.33,0.1,0.464,-0.88,0.083,-0.19,-0.028,0.013,-0.195,0.274,0.113,-0.483,1.264
2024-10-15 13:57:12.996,74584.45,0.072,0.469,-0.88,0.245,-0.248,0.019,-0.873,-0.774,-0.512,0.081,-0.488,1.233
2024-10-15 13:57:13.117,74584.569,0.058,0.488,-0.871,-0.097,0.192,-0.043,0.445,0.187,0.58,0.066,-0.51,1.254
2024-10-15 13:57:13.236,74584.689,0.048,0.438,-0.898,0.065,0.388,0.156,1.753,0.245,-0.41,0.054,-0.454,1.246
2024-10-15 13:57:13.356,74584.809,0.048,0.444,-0.894,-0.117,-0.089,-0.174,-0.769,0.058,0.587,0.054,-0.461,1.245
2024-10-15 13:57:13.476,74584.929,0.043,0.424,-0.905,0.057,0.21,-0.061,0.606,0.268,-0.357,0.048,-0.437,1.255
2024-10-15 13:57:13.595,74585.049,0.036,0.421,-0.906,-0.177,-0.121,-0.059,-0.131,-0.048,0.189,0.04,-0.434,1.243
2024-10-15 13:57:13.715,74585.168,0.035,0.416,-0.909,0.09,-0.139,-0.039,-0.35,0.107,-0.3,0.038,-0.429,1.253
2024-10-15 13:57:13.835,74585.288,0.026,0.415,-0.91,-0.324,0.057,-0.071,-0.018,0.023,0.191,0.028,-0.428,1.237
2024-10-15 13:57:13.955,74585.408,0.034,0.411,-0.911,0.381,-0.332,-0.07,-0.202,-0.007,-0.366,0.037,-0.424,1.252
2024-10-15 13:57:14.074,74585.528,0.022,0.4,-0.916,-0.365,0.241,0.05,-0.145,0.155,0.154,0.024,-0.411,1.222
2024-10-15 13:57:14.194,74585.648,0.04,0.405,-0.913,0.437,-0.588,-0.078,-0.109,-0.251,-0.275,0.043,-0.417,1.246
2024-10-15 13:57:14.314,74585.767,0.018,0.399,-0.917,-0.505,0.339,0.096,0.059,0.071,0.17,0.02,-0.41,1.216
2024-10-15 13:57:14.434,74585.887,0.039,0.394,-0.918,0.481,-0.652,-0.037,0.047,-0.193,-0.28,0.042,-0.405,1.244
2024-10-15 13:57:14.554,74586.007,0.016,0.386,-0.923,-0.518,0.477,0.086,-0.05,0.225,-0.014,0.017,-0.396,1.21
2024-10-15 13:57:14.673,74586.127,0.049,0.402,-0.914,0.13,0.06,-0.067,0.068,0.26,0.121,0.054,-0.414,1.223
2024-10-15 13:57:14.793,74586.247,0.077,0.443,-0.893,-0.142,0.012,0.184,-1.169,1.13,-0.123,0.086,-0.458,1.206
2024-10-15 13:57:14.913,74586.366,0.182,0.515,-0.838,0.042,-0.094,0.093,-0.162,0.331,-0.24,0.214,-0.541,1.204
2024-10-15 13:57:15.032,74586.486,0.178,0.516,-0.838,0.011,0.06,0.006,-0.045,0.087,-0.014,0.209,-0.543,1.175
2024-10-15 13:57:15.153,74586.606,0.186,0.505,-0.843,0.04,-0.021,-0.02,0.141,0.014,0.047,0.217,-0.53,1.177
2024-10-15 13:57:15.272,74586.726,0.173,0.459,-0.871,0.015,0.079,0.03,0.875,-0.284,0.038,0.196,-0.477,1.178
2024-10-15 13:57:15.392,74586.846,0.134,0.401,-0.906,-0.243,-0.008,-0.167,0.171,-0.08,0.283,0.146,-0.413,1.189
2024-10-15 13:57:15.512,74586.965,0.131,0.374,-0.918,0.265,-0.122,-0.055,0.195,-0.476,-0.243,0.142,-0.384,1.188
2024-10-15 13:57:15.632,74587.085,0.084,0.348,-0.934,-0.577,0.138,-0.013,0.015,0.064,0.087,0.089,-0.355,1.167
2024-10-15 13:57:15.752,74587.205,0.111,0.337,-0.935,0.626,-0.558,0.14,0.28,-0.325,-0.138,0.118,-0.344,1.197
2024-10-15 13:57:15.871,74587.325,0.071,0.314,-0.947,-0.341,0.288,0.02,-0.491,-0.458,-0.022,0.075,-0.319,1.167
2024-10-15 13:57:15.991,74587.445,0.088,0.35,-0.933,0.051,0.556,-0.094,0.304,0.096,0.665,0.094,-0.358,1.202
2024-10-15 13:57:16.111,74587.564,0.085,0.306,-0.948,0.059,0.394,0.284,0.432,-0.308,0.023,0.089,-0.311,1.196
2024-10-15 13:57:16.231,74587.684,0.069,0.334,-0.94,-0.135,-0.016,-0.14,-0.875,0.373,0.375,0.073,-0.341,1.201
2024-10-15 13:57:16.350,74587.804,0.072,0.314,-0.947,0.078,0.254,-0.017,0.151,-0.066,-0.056,0.076,-0.319,1.205
2024-10-15 13:57:16.470,74587.924,0.05,0.316,-0.947,-0.552,0.154,-0.088,-0.118,0.218,0.131,0.053,-0.322,1.193
2024-10-15 13:57:16.590,74588.044,0.074,0.312,-0.947,0.562,-0.642,0.041,-0.156,-0.342,-0.338,0.078,-0.317,1.219
2024-10-15 13:57:16.710,74588.163,0.035,0.305,-0.952,-0.633,0.209,0.046,-0.1,0.084,0.071,0.036,-0.31,1.194
2024-10-15 13:57:16.829,74588.283,0.076,0.308,-0.948,0.395,-0.626,0.067,0.324,0.088,-0.209,0.08,-0.313,1.215
2024-10-15 13:57:16.950,74588.403,0.045,0.307,-0.951,-0.345,0.365,0.066,-0.374,-0.37,0.09,0.047,-0.312,1.181
2024-10-15 13:57:17.069,74588.523,0.073,0.316,-0.946,0.068,0.082,0.074,0.645,0.29,0.171,0.077,-0.322,1.211
2024-10-15 13:57:17.189,74588.643,0.051,0.298,-0.953,0.136,-0.193,0.154,-0.425,-0.56,-0.172,0.053,-0.302,1.187
2024-10-15 13:57:17.309,74588.762,0.072,0.317,-0.946,0.138,0.253,0.01,0.676,0.229,0.142,0.076,-0.322,1.206
2024-10-15 13:57:17.429,74588.882,0.055,0.318,-0.946,0.09,0.031,0.053,-0.261,-0.123,-0.242,0.058,-0.324,1.169
2024-10-15 13:57:17.549,74589.002,0.124,0.465,-0.877,-0.134,0.238,-0.224,-0.391,1.284,-0.393,0.14,-0.484,1.159
2024-10-15 13:57:17.668,74589.122,0.186,0.463,-0.867,0.103,0.009,0.125,0.668,-0.325,0.039,0.211,-0.481,1.144
2024-10-15 13:57:17.788,74589.242,0.152,0.416,-0.897,0.084,0.011,0.039,0.403,-0.303,0.179,0.167,-0.429,1.142
2024-10-15 13:57:17.908,74589.361,0.142,0.339,-0.93,0.2,-0.163,0.101,1.034,-0.475,0.05,0.151,-0.345,1.171
2024-10-15 13:57:18.028,74589.481,0.073,0.298,-0.952,-0.508,0.195,0.038,-0.236,-0.133,0.203,0.077,-0.303,1.14
2024-10-15 13:57:18.150,74589.601,0.106,0.311,-0.944,0.443,0.034,0.139,0.964,-0.175,0.307,0.112,-0.316,1.184
2024-10-15 13:57:18.267,74589.721,0.063,0.262,-0.963,-0.111,-0.009,0.037,-0.121,-0.648,-0.398,0.065,-0.265,1.157
2024-10-15 13:57:18.387,74589.841,0.081,0.322,-0.943,0.059,0.382,-0.115,0.243,0.366,0.507,0.086,-0.328,1.18
2024-10-15 13:57:18.507,74589.96,0.082,0.274,-0.958,0.169,0.056,0.14,0.248,-0.303,-0.259,0.085,-0.278,1.172
2024-10-15 13:57:18.627,74590.08,0.075,0.305,-0.949,-0.076,-0.315,-0.137,-1.252,0.121,0.415,0.078,-0.31,1.175
2024-10-15 13:57:18.747,74590.2,0.076,0.31,-0.948,0.049,0.223,-0.155,0.162,0.134,-0.2,0.08,-0.315,1.176
2024-10-15 13:57:18.866,74590.32,0.066,0.317,-0.946,-0.457,-0.106,-0.1,-0.228,0.579,0.232,0.07,-0.322,1.172
2024-10-15 13:57:18.986,74590.44,0.078,0.314,-0.946,0.31,-0.368,-0.019,-0.298,-0.157,-0.366,0.082,-0.32,1.189
2024-10-15 13:57:19.106,74590.559,0.054,0.3,-0.952,-0.743,-0.035,-0.033,-0.06,0.586,0.126,0.057,-0.305,1.179
2024-10-15 13:57:19.226,74590.679,0.08,0.296,-0.952,0.515,-0.744,0.058,-0.374,-0.23,-0.457,0.084,-0.301,1.204
2024-10-15 13:57:19.348,74590.799,0.046,0.287,-0.957,-0.669,0.26,0.042,0.194,0.225,0.148,0.048,-0.291,1.189
2024-10-15 13:57:19.465,74590.919,0.08,0.284,-0.956,0.471,-0.683,0.066,-0.113,-0.18,-0.362,0.084,-0.288,1.214
2024-10-15 13:57:19.585,74591.039,0.051,0.299,-0.953,-0.499,0.295,0.087,-0.162,0.043,-0.018,0.053,-0.303,1.176
2024-10-15 13:57:19.705,74591.158,0.082,0.314,-0.946,0.162,-0.257,0.109,0.412,0.181,0.17,0.087,-0.319,1.196
2024-10-15 13:57:19.825,74591.278,0.057,0.29,-0.955,0.151,-0.39,0.228,-0.452,-0.55,-0.262,0.059,-0.294,1.17
2024-10-15 13:57:19.945,74591.398,0.068,0.299,-0.952,0.037,0.318,-0.09,0.455,0.158,0.213,0.071,-0.304,1.182
2024-10-15 13:57:20.064,74591.518,0.067,0.313,-0.947,-0.138,0.279,0.005,0.022,0.323,-0.273,0.071,-0.319,1.162
2024-10-15 13:57:20.184,74591.638,0.146,0.507,-0.849,-0.17,0.3,-0.141,-1.069,1.231,0.057,0.17,-0.532,1.171
2024-10-15 13:57:20.304,74591.757,0.18,0.491,-0.853,0.031,-0.009,0.056,0.408,-0.25,-0.115,0.208,-0.513,1.152
2024-10-15 13:57:20.424,74591.877,0.164,0.496,-0.853,0.058,0.059,-0.003,-0.047,-0.087,0.15,0.19,-0.519,1.163
2024-10-15 13:57:20.543,74591.997,0.167,0.465,-0.87,0.073,-0.025,0.018,0.792,-0.038,-0.048,0.19,-0.483,1.164
2024-10-15 13:57:20.663,74592.117,0.155,0.387,-0.909,0.042,0.23,0.076,1.33,-0.394,0.099,0.168,-0.397,1.159
2024-10-15 13:57:20.783,74592.237,0.12,0.332,-0.936,-0.211,-0.039,-0.155,-0.376,-0.307,0.426,0.128,-0.339,1.176
2024-10-15 13:57:20.904,74592.356,0.125,0.313,-0.941,0.393,-0.292,0.082,-0.275,-0.474,-0.372,0.132,-0.319,1.185
2024-10-15 13:57:21.023,74592.476,0.08,0.297,-0.951,-0.609,0.183,0.016,0.112,-0.021,0.053,0.084,-0.302,1.162
