Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:47:26.958,163179.801,0.195,0.834,-0.517,-0.173,0.013,0.064,-0.13,-0.148,-0.445,0.36,-0.986,1.589
2024-09-23 11:47:27.079,163179.921,0.179,0.834,-0.523,0.102,-0.104,-0.019,0.533,-0.014,0.216,0.33,-0.986,1.559
2024-09-23 11:47:27.197,163180.04,0.176,0.792,-0.585,-0.005,0.041,0.007,0.627,0.051,0.019,0.292,-0.914,1.512
2024-09-23 11:47:27.317,163180.16,0.177,0.781,-0.599,0.007,0.016,-0.007,0.078,-0.029,-0.023,0.287,-0.896,1.501
2024-09-23 11:47:27.437,163180.28,0.178,0.773,-0.61,0.001,0.003,-0.001,0.118,0.018,0.017,0.284,-0.883,1.497
2024-09-23 11:47:27.557,163180.4,0.178,0.771,-0.612,0.001,-0.003,-0.001,0.045,0.012,-0.031,0.283,-0.88,1.492
2024-09-23 11:47:27.677,163180.52,0.172,0.755,-0.632,0.002,0.012,0.007,0.391,-0.046,-0.066,0.266,-0.856,1.472
2024-09-23 11:47:27.797,163180.639,0.175,0.758,-0.628,-0.004,-0.062,-0.012,-0.54,0.093,0.071,0.271,-0.861,1.472
2024-09-23 11:47:27.916,163180.759,0.184,0.778,-0.6,0.002,0.051,0.007,0.023,0.024,-0.009,0.297,-0.892,1.498
2024-09-23 11:47:28.036,163180.879,0.182,0.774,-0.606,-0.002,-0.004,-0.001,0.165,-0.014,-0.011,0.292,-0.885,1.492
2024-09-23 11:47:28.156,163180.999,0.176,0.757,-0.629,-0.009,-0.1,0.005,0.053,0.004,-0.007,0.273,-0.859,1.472
2024-09-23 11:47:28.275,163181.119,0.202,0.771,-0.604,-0.023,-0.003,-0.03,-0.657,0.388,0.28,0.323,-0.881,1.51
2024-09-23 11:47:28.395,163181.238,0.21,0.799,-0.563,-0.094,-0.011,0.097,-0.606,-0.292,-0.724,0.357,-0.926,1.546
2024-09-23 11:47:28.515,163181.358,0.194,0.811,-0.552,0.078,-0.047,-0.041,0.175,0.118,-0.013,0.338,-0.945,1.516
2024-09-23 11:47:28.635,163181.478,0.194,0.81,-0.554,0.003,-0.008,-0.016,-0.119,0.065,0.017,0.336,-0.944,1.504
2024-09-23 11:47:28.755,163181.598,0.197,0.813,-0.548,-0.003,-0.005,-0.004,-0.018,0.023,0.006,0.345,-0.949,1.508
2024-09-23 11:47:28.875,163181.717,0.194,0.812,-0.551,0.003,-0.01,-0.004,-0.008,-0.035,-0.039,0.339,-0.947,1.504
2024-09-23 11:47:28.994,163181.837,0.192,0.814,-0.548,0.003,-0.011,0.001,0.041,0.024,-0.037,0.338,-0.951,1.5
2024-09-23 11:47:29.114,163181.957,0.19,0.809,-0.556,0.006,0.003,-0.0,0.109,-0.051,-0.042,0.329,-0.943,1.49
2024-09-23 11:47:29.234,163182.077,0.188,0.805,-0.563,-0.023,-0.065,-0.018,-0.051,0.019,0.065,0.322,-0.935,1.488
2024-09-23 11:47:29.353,163182.197,0.202,0.817,-0.541,-0.007,0.01,0.008,-0.096,0.082,0.035,0.358,-0.956,1.525
2024-09-23 11:47:29.473,163182.316,0.201,0.816,-0.542,-0.014,-0.007,-0.0,0.007,0.025,-0.035,0.355,-0.954,1.513
