Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:23:24.979,72555.855,0.125,-0.193,-0.973,0.0,-0.007,0.007,-0.009,-0.007,-0.003,0.128,0.195,1.104
2024-10-15 13:23:25.011,72555.975,0.126,-0.192,-0.973,-0.009,-0.018,0.003,-0.021,0.009,-0.014,0.129,0.194,1.104
2024-10-15 13:23:25.026,72556.095,0.127,-0.19,-0.974,-0.008,0.023,0.003,0.012,0.005,0.008,0.129,0.191,1.102
2024-10-15 13:23:25.048,72556.215,0.129,-0.185,-0.974,-0.001,-0.005,0.026,0.097,-0.02,-0.057,0.131,0.187,1.097
2024-10-15 13:23:25.065,72556.335,0.136,-0.199,-0.97,-0.012,0.012,0.003,0.092,0.086,-0.056,0.139,0.201,1.088
2024-10-15 13:23:25.080,72556.454,0.14,-0.216,-0.966,-0.011,0.042,-0.024,0.269,-0.014,0.05,0.144,0.218,1.087
2024-10-15 13:23:25.126,72556.574,0.129,-0.255,-0.958,-0.039,-0.038,-0.064,0.315,-0.024,0.07,0.133,0.258,1.091
2024-10-15 13:23:25.246,72556.694,0.131,-0.278,-0.952,-0.096,-0.067,-0.03,-0.015,0.203,-0.146,0.137,0.281,1.089
2024-10-15 13:23:25.366,72556.814,0.159,-0.276,-0.948,-0.126,-0.072,0.049,-0.122,0.094,-0.373,0.166,0.28,1.06
2024-10-15 13:23:25.486,72556.934,0.177,-0.235,-0.956,-0.15,0.032,0.023,-0.337,0.047,-0.489,0.184,0.237,1.01
2024-10-15 13:23:25.606,72557.053,0.199,-0.085,-0.976,0.052,0.058,0.007,-2.467,0.098,-0.555,0.201,0.085,0.979
2024-10-15 13:23:25.726,72557.173,0.203,0.323,-0.924,0.068,0.084,0.041,-3.046,-0.053,-0.433,0.216,-0.329,1.004
2024-10-15 13:23:25.846,72557.293,0.166,0.588,-0.792,0.106,-0.154,-0.142,-2.223,0.014,-0.647,0.207,-0.629,1.0
2024-10-15 13:23:25.964,72557.413,0.138,0.716,-0.684,-0.016,0.125,-0.055,0.433,0.503,-0.31,0.199,-0.798,0.954
2024-10-15 13:23:26.085,72557.532,0.137,0.672,-0.728,0.075,0.03,0.117,0.095,0.135,-0.62,0.186,-0.737,0.858
2024-10-15 13:23:26.205,72557.652,0.075,0.663,-0.745,-0.051,0.15,0.157,0.368,-0.392,-0.214,0.1,-0.725,0.782
2024-10-15 13:23:26.325,72557.772,0.083,0.65,-0.755,0.128,0.22,-0.08,0.273,0.354,0.238,0.11,-0.707,0.793
2024-10-15 13:23:26.445,72557.892,0.121,0.579,-0.806,-0.023,0.256,0.042,1.393,-0.064,0.379,0.149,-0.618,0.826
2024-10-15 13:23:26.565,72558.012,0.123,0.445,-0.887,0.081,-0.042,-0.065,1.166,-0.206,0.154,0.138,-0.461,0.86
2024-10-15 13:23:26.684,72558.131,0.131,0.396,-0.909,-0.077,0.013,0.041,0.393,0.102,0.056,0.143,-0.407,0.858
2024-10-15 13:23:26.804,72558.251,0.137,0.35,-0.927,-0.01,-0.076,-0.052,0.162,0.102,-0.048,0.147,-0.357,0.86
