Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-30 14:26:27.769,4034.913,0.094,0.122,-0.988,0.025,0.015,0.017,-0.039,0.011,-0.015,0.095,-0.122,1.254
2024-09-30 14:26:27.800,4035.032,0.092,0.127,-0.988,0.022,0.004,0.013,-0.003,-0.022,0.008,0.093,-0.127,1.256
2024-09-30 14:26:27.819,4035.152,0.086,0.132,-0.987,0.021,0.013,0.005,-0.051,-0.058,0.001,0.087,-0.133,1.256
2024-09-30 14:26:27.839,4035.272,0.082,0.129,-0.988,0.008,-0.025,-0.002,0.154,0.008,-0.257,0.083,-0.129,1.242
2024-09-30 14:26:27.854,4035.392,0.095,0.146,-0.985,0.013,0.011,-0.012,-0.312,0.25,-0.28,0.096,-0.147,1.208
2024-09-30 14:26:27.868,4035.512,0.114,0.174,-0.978,0.021,0.016,0.027,-0.187,0.148,-0.216,0.116,-0.175,1.182
2024-09-30 14:26:27.882,4035.631,0.118,0.193,-0.974,0.03,0.028,0.048,-0.171,-0.106,0.0,0.12,-0.194,1.167
2024-09-30 14:26:27.895,4035.751,0.096,0.188,-0.977,0.017,-0.069,0.023,-0.178,-0.186,0.032,0.098,-0.19,1.171
2024-09-30 14:26:27.907,4035.871,0.077,0.212,-0.974,0.007,0.069,-0.001,-0.209,-0.045,0.069,0.079,-0.213,1.177
2024-09-30 14:26:27.920,4035.991,0.08,0.234,-0.969,-0.032,-0.048,-0.073,-0.238,0.296,-0.261,0.083,-0.236,1.179
2024-09-30 14:26:28.019,4036.11,0.125,0.407,-0.905,0.005,-0.084,0.053,-3.037,0.981,-0.533,0.137,-0.419,1.131
2024-09-30 14:26:28.138,4036.23,0.176,0.749,-0.639,0.001,-0.005,0.028,-3.908,0.826,-0.493,0.269,-0.847,1.163
2024-09-30 14:26:28.259,4036.35,0.16,0.949,-0.272,-0.021,-0.007,-0.001,-2.369,0.318,-0.351,0.533,-1.25,1.387
2024-09-30 14:26:28.379,4036.47,0.127,0.984,-0.123,-0.015,0.049,0.064,-0.214,-0.292,-0.303,0.805,-1.393,1.664
2024-09-30 14:26:28.498,4036.59,0.081,0.986,-0.142,-0.012,0.043,0.011,0.59,-0.347,-0.327,0.518,-1.406,1.421
2024-09-30 14:26:28.618,4036.709,0.035,0.966,-0.257,0.043,-0.045,0.057,1.24,-0.3,-0.362,0.134,-1.308,1.067
2024-09-30 14:26:28.738,4036.829,-0.002,0.913,-0.407,0.062,0.123,0.055,1.556,-0.25,0.17,-0.005,-1.151,0.96
2024-09-30 14:26:28.858,4036.949,0.01,0.854,-0.521,-0.003,0.015,0.015,0.829,0.085,0.145,0.02,-1.023,1.001
2024-09-30 14:26:28.977,4037.069,0.026,0.817,-0.577,-0.022,0.028,0.04,-0.042,0.138,0.089,0.046,-0.956,1.013
2024-09-30 14:26:29.097,4037.189,0.03,0.856,-0.517,0.086,-0.034,-0.03,-0.382,0.037,-0.014,0.059,-1.027,1.024
2024-09-30 14:26:29.217,4037.308,0.037,0.866,-0.499,-0.007,-0.012,0.134,0.064,0.037,0.285,0.075,-1.046,1.037
2024-09-30 14:26:29.337,4037.428,0.071,0.82,-0.568,-0.039,0.015,0.006,0.739,0.082,0.306,0.125,-0.961,1.096
2024-09-30 14:26:29.456,4037.548,0.089,0.756,-0.648,0.027,-0.007,0.035,0.677,0.036,0.102,0.136,-0.858,1.108
