Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:26:49.884,161942.721,-0.028,0.642,-0.766,-0.002,0.0,0.008,-0.032,-0.015,0.007,-0.037,-0.697,1.964
2024-09-23 11:26:50.004,161942.841,-0.029,0.64,-0.768,0.006,0.004,0.037,0.132,-0.084,0.063,-0.038,-0.695,1.969
2024-09-23 11:26:50.124,161942.961,-0.034,0.63,-0.776,0.015,0.043,-0.026,0.056,-0.091,0.022,-0.044,-0.681,1.975
2024-09-23 11:26:50.243,161943.081,-0.032,0.647,-0.761,0.011,0.043,-0.004,-0.108,0.017,-0.017,-0.042,-0.704,1.971
2024-09-23 11:26:50.362,161943.201,-0.034,0.645,-0.764,-0.006,0.015,0.004,0.119,-0.004,-0.008,-0.045,-0.701,1.971
2024-09-23 11:26:50.484,161943.32,-0.033,0.634,-0.773,0.003,0.002,0.007,0.085,0.007,0.06,-0.043,-0.686,1.974
2024-09-23 11:26:50.603,161943.44,-0.03,0.642,-0.766,-0.009,-0.031,0.015,-0.194,-0.01,0.007,-0.039,-0.698,1.979
2024-09-23 11:26:50.723,161943.56,-0.032,0.654,-0.756,-0.038,-0.045,-0.057,-0.581,0.1,-0.087,-0.042,-0.712,1.971
2024-09-23 11:26:50.842,161943.68,-0.023,0.69,-0.724,-0.007,0.019,-0.01,-0.322,0.061,0.052,-0.032,-0.761,1.966
2024-09-23 11:26:50.962,161943.8,-0.015,0.703,-0.711,0.001,0.023,0.008,0.068,0.092,0.047,-0.022,-0.78,1.97
2024-09-23 11:26:51.082,161943.919,0.001,0.696,-0.718,-0.027,0.042,0.066,0.179,0.057,0.15,0.002,-0.77,1.987
2024-09-23 11:26:51.202,161944.039,0.006,0.674,-0.739,0.077,0.003,-0.113,-0.221,0.145,0.05,0.009,-0.74,1.999
2024-09-23 11:26:51.322,161944.159,0.009,0.674,-0.739,-0.032,-0.035,0.042,-0.143,-0.201,0.123,0.012,-0.739,2.012
2024-09-23 11:26:51.442,161944.279,-0.005,0.665,-0.747,0.068,-0.025,0.051,0.21,-0.192,-0.049,-0.007,-0.727,2.012
2024-09-23 11:26:51.562,161944.399,-0.016,0.65,-0.76,-0.022,0.029,-0.002,0.128,-0.02,-0.007,-0.02,-0.707,2.009
2024-09-23 11:26:51.681,161944.518,-0.018,0.644,-0.765,-0.004,-0.003,0.003,0.086,-0.006,-0.004,-0.024,-0.7,2.006
2024-09-23 11:26:51.801,161944.638,-0.02,0.638,-0.77,0.005,0.017,0.009,0.181,-0.034,-0.014,-0.025,-0.692,2.002
2024-09-23 11:26:51.921,161944.758,-0.019,0.631,-0.775,-0.0,0.0,-0.005,-0.013,-0.022,0.087,-0.024,-0.683,2.008
2024-09-23 11:26:52.041,161944.878,-0.024,0.619,-0.785,-0.006,-0.055,-0.01,0.157,-0.048,-0.039,-0.03,-0.668,2.015
2024-09-23 11:26:52.161,161944.998,-0.019,0.64,-0.768,-0.017,-0.061,-0.013,-0.427,0.139,-0.048,-0.025,-0.695,2.011
2024-09-23 11:26:52.279,161945.117,-0.021,0.637,-0.771,0.002,-0.015,0.006,0.129,0.001,-0.019,-0.028,-0.69,2.005
2024-09-23 11:26:52.400,161945.237,-0.02,0.624,-0.781,0.003,-0.021,-0.018,0.026,-0.003,0.077,-0.025,-0.674,2.01
2024-09-23 11:26:52.520,161945.357,-0.018,0.628,-0.778,-0.021,-0.035,0.006,0.004,0.013,-0.095,-0.023,-0.679,2.014
2024-09-23 11:26:52.639,161945.477,-0.006,0.647,-0.762,-0.022,0.044,0.097,-0.754,-0.014,0.236,-0.007,-0.704,2.019
2024-09-23 11:26:52.759,161945.597,0.006,0.641,-0.767,0.103,-0.026,-0.102,-0.003,0.065,-0.005,0.008,-0.696,2.034
2024-09-23 11:26:52.879,161945.716,0.004,0.634,-0.773,0.005,-0.078,0.012,0.006,-0.032,-0.017,0.005,-0.687,2.037
2024-09-23 11:26:52.999,161945.836,0.002,0.624,-0.782,0.0,0.024,0.005,0.144,-0.001,-0.007,0.003,-0.673,2.035
2024-09-23 11:26:53.119,161945.956,0.001,0.619,-0.786,0.004,0.02,0.015,0.126,-0.01,-0.003,0.001,-0.667,2.033
2024-09-23 11:26:53.239,161946.076,0.0,0.614,-0.79,0.011,0.017,0.002,0.077,-0.03,-0.032,0.0,-0.661,2.031
2024-09-23 11:26:53.358,161946.196,-0.003,0.61,-0.793,-0.007,-0.025,-0.0,-0.026,-0.016,0.027,-0.004,-0.656,2.03
2024-09-23 11:26:53.478,161946.315,-0.006,0.6,-0.8,0.005,-0.06,-0.006,0.051,-0.086,0.031,-0.007,-0.643,2.037
2024-09-23 11:26:53.598,161946.435,-0.008,0.598,-0.801,-0.001,-0.005,0.009,-0.216,0.077,0.028,-0.01,-0.642,2.04
