Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 13:43:37.748,73769.19,-0.066,-0.35,-0.935,0.023,0.008,0.002,0.016,-0.063,-0.014,-0.07,0.357,1.48
2024-10-15 13:43:37.859,73769.31,-0.067,-0.351,-0.934,-0.004,-0.004,0.008,0.024,0.052,0.009,-0.071,0.358,1.481
2024-10-15 13:43:37.978,73769.43,-0.066,-0.352,-0.934,0.001,-0.005,0.005,-0.019,-0.057,-0.013,-0.071,0.36,1.481
2024-10-15 13:43:38.098,73769.55,-0.058,-0.353,-0.934,-0.027,0.001,0.005,0.014,0.165,-0.001,-0.062,0.361,1.482
2024-10-15 13:43:38.217,73769.669,-0.056,-0.353,-0.934,-0.002,-0.004,0.007,-0.001,0.026,-0.001,-0.06,0.361,1.483
2024-10-15 13:43:38.338,73769.789,-0.054,-0.353,-0.934,0.007,-0.0,0.009,0.006,-0.003,0.003,-0.058,0.36,1.482
2024-10-15 13:43:38.457,73769.909,-0.053,-0.351,-0.935,-0.011,-0.012,0.009,-0.039,0.033,0.002,-0.057,0.359,1.482
2024-10-15 13:43:38.577,73770.029,-0.042,-0.33,-0.943,0.001,-0.004,0.011,-0.279,0.03,0.225,-0.044,0.336,1.492
2024-10-15 13:43:38.697,73770.149,-0.063,-0.293,-0.954,-0.023,0.019,-0.009,-0.266,-0.029,0.335,-0.066,0.297,1.559
2024-10-15 13:43:38.817,73770.268,-0.063,-0.191,-0.979,-0.187,-0.148,0.062,-2.236,0.927,0.316,-0.065,0.193,1.636
2024-10-15 13:43:38.937,73770.388,0.158,0.124,-0.98,-0.229,0.014,0.06,-2.132,3.92,-3.769,0.16,-0.125,1.493
2024-10-15 13:43:39.056,73770.508,0.211,0.216,-0.953,0.266,0.246,0.199,1.056,-1.283,-1.612,0.218,-0.218,1.404
2024-10-15 13:43:39.176,73770.628,0.16,0.206,-0.965,0.387,0.316,0.038,1.098,-0.65,1.308,0.164,-0.208,1.425
2024-10-15 13:43:39.296,73770.748,0.099,-0.033,-0.995,-0.234,-0.301,0.166,1.442,-0.353,0.804,0.099,0.033,1.591
2024-10-15 13:43:39.416,73770.867,0.034,-0.144,-0.989,-0.221,-0.069,0.054,0.07,-0.289,-0.21,0.034,0.144,1.624
2024-10-15 13:43:39.535,73770.987,0.071,-0.039,-0.997,-0.34,-0.239,-0.117,-2.434,0.499,0.058,0.071,0.039,1.571
2024-10-15 13:43:39.655,73771.107,0.164,0.313,-0.935,-0.136,-0.224,0.066,-3.58,0.38,-1.149,0.174,-0.318,1.512
2024-10-15 13:43:39.775,73771.227,0.223,0.6,-0.768,0.049,0.148,0.16,-1.106,1.38,-0.76,0.282,-0.643,1.447
2024-10-15 13:43:39.895,73771.347,0.232,0.654,-0.72,0.139,0.104,0.175,0.073,0.774,-0.916,0.311,-0.713,1.305
2024-10-15 13:43:40.015,73771.466,0.231,0.704,-0.671,0.023,0.034,0.047,-0.621,0.561,-0.782,0.332,-0.782,1.223
2024-10-15 13:43:40.135,73771.586,0.209,0.687,-0.696,-0.01,-0.055,0.095,-0.118,0.047,-0.556,0.292,-0.757,1.113
2024-10-15 13:43:40.254,73771.706,0.185,0.698,-0.692,-0.021,0.007,0.047,-0.264,0.121,0.025,0.261,-0.773,1.056
2024-10-15 13:43:40.374,73771.826,0.174,0.696,-0.697,0.009,-0.028,0.066,0.085,0.339,-0.148,0.245,-0.77,1.023
2024-10-15 13:43:40.494,73771.946,0.164,0.628,-0.761,0.021,0.039,0.085,1.128,-0.192,-0.171,0.213,-0.678,0.969
2024-10-15 13:43:40.613,73772.065,0.146,0.482,-0.864,-0.047,0.052,-0.01,1.239,0.69,0.084,0.167,-0.503,0.919
2024-10-15 13:43:40.733,73772.185,0.161,0.402,-0.901,-0.019,-0.086,-0.01,0.069,-0.111,-0.172,0.177,-0.414,0.915
2024-10-15 13:43:40.853,73772.305,0.147,0.424,-0.894,-0.007,-0.057,-0.007,0.065,-0.405,-0.009,0.162,-0.437,0.89
2024-10-15 13:43:40.973,73772.425,0.113,0.458,-0.882,-0.002,0.015,-0.04,-0.405,0.059,-0.213,0.127,-0.475,0.859
2024-10-15 13:43:41.093,73772.545,0.105,0.455,-0.884,-0.079,0.0,0.067,0.15,-0.046,-0.256,0.118,-0.473,0.859
2024-10-15 13:43:41.213,73772.664,0.09,0.404,-0.91,0.004,0.201,0.052,1.491,-0.284,0.13,0.099,-0.416,0.851
2024-10-15 13:43:41.332,73772.784,0.072,0.271,-0.96,0.145,-0.012,0.34,1.434,-0.209,0.277,0.075,-0.275,0.84
2024-10-15 13:43:41.452,73772.904,0.058,0.164,-0.985,-0.432,-0.086,0.02,-0.649,0.522,-1.56,0.059,-0.164,0.871
2024-10-15 13:43:41.572,73773.024,0.055,0.146,-0.988,0.011,-0.003,-0.063,0.612,0.93,2.939,0.056,-0.147,0.812
2024-10-15 13:43:41.692,73773.144,0.07,0.11,-0.991,-0.053,-0.324,-0.084,-0.527,-0.231,-0.963,0.07,-0.11,0.838
2024-10-15 13:43:41.812,73773.263,0.083,0.12,-0.989,-0.011,-0.039,0.153,-0.053,0.874,1.611,0.084,-0.12,0.82
2024-10-15 13:43:41.932,73773.383,0.09,0.098,-0.991,-0.151,-0.152,-0.067,-0.474,0.122,-0.652,0.09,-0.098,0.818
2024-10-15 13:43:42.051,73773.503,0.086,0.119,-0.989,0.263,-0.024,-0.121,0.746,0.719,1.812,0.086,-0.119,0.774
2024-10-15 13:43:42.171,73773.623,0.095,0.067,-0.993,-0.76,0.125,-0.049,0.04,0.144,-0.318,0.095,-0.067,0.813
2024-10-15 13:43:42.291,73773.742,0.064,0.14,-0.988,0.804,0.154,0.198,0.423,-0.112,0.541,0.064,-0.14,0.726
2024-10-15 13:43:42.410,73773.862,0.096,0.092,-0.991,-0.775,0.257,-0.108,0.055,0.313,-0.246,0.096,-0.092,0.819
2024-10-15 13:43:42.531,73773.982,0.076,0.171,-0.982,0.668,-0.023,0.203,0.359,-0.151,0.536,0.077,-0.172,0.758
2024-10-15 13:43:42.650,73774.102,0.099,0.133,-0.986,-0.686,0.369,-0.009,0.132,-0.2,-0.402,0.1,-0.133,0.824
2024-10-15 13:43:42.770,73774.222,0.088,0.168,-0.982,0.462,-0.243,0.193,0.446,-0.394,0.101,0.089,-0.169,0.805
2024-10-15 13:43:42.890,73774.341,0.086,0.133,-0.987,-0.602,0.398,0.04,-0.21,-0.587,-0.463,0.087,-0.133,0.847
2024-10-15 13:43:43.009,73774.461,0.091,0.199,-0.976,0.471,-0.249,0.083,0.252,-0.203,0.139,0.093,-0.2,0.803
2024-10-15 13:43:43.128,73774.581,0.102,0.168,-0.98,-0.598,0.344,0.042,-0.303,-0.127,-0.708,0.104,-0.169,0.842
2024-10-15 13:43:43.249,73774.701,0.099,0.21,-0.973,0.153,-0.073,-0.023,0.113,0.068,-0.455,0.102,-0.212,0.798
2024-10-15 13:43:43.369,73774.821,0.099,0.168,-0.981,0.047,-0.17,-0.065,0.916,-0.702,0.458,0.101,-0.168,0.819
2024-10-15 13:43:43.489,73774.94,0.098,0.191,-0.977,-0.075,0.308,0.042,0.145,0.76,-0.426,0.1,-0.192,0.807
2024-10-15 13:43:43.608,73775.06,0.091,0.154,-0.984,-0.019,-0.375,0.208,0.224,-0.781,0.859,0.092,-0.154,0.815
2024-10-15 13:43:43.729,73775.18,0.11,0.174,-0.978,0.155,0.359,-0.194,0.388,0.133,-0.796,0.112,-0.175,0.788
2024-10-15 13:43:43.848,73775.3,0.192,0.422,-0.886,0.366,0.466,0.27,-1.398,0.14,1.624,0.213,-0.436,0.777
2024-10-15 13:43:43.967,73775.42,0.188,0.463,-0.866,-0.144,-0.03,-0.034,0.881,-0.515,0.049,0.213,-0.482,0.923
2024-10-15 13:43:44.088,73775.539,0.16,0.397,-0.904,0.138,-0.005,0.223,0.971,-1.002,-0.629,0.175,-0.409,0.868
2024-10-15 13:43:44.208,73775.659,0.164,0.35,-0.922,-0.077,-0.186,-0.057,-0.577,0.386,-0.212,0.176,-0.357,0.859
2024-10-15 13:43:44.327,73775.779,0.185,0.492,-0.851,-0.098,0.027,0.032,-1.736,0.385,0.224,0.214,-0.515,0.886
2024-10-15 13:43:44.447,73775.899,0.197,0.482,-0.854,-0.008,0.034,-0.002,0.883,-0.072,-0.374,0.226,-0.503,0.845
2024-10-15 13:43:44.567,73776.019,0.165,0.408,-0.898,0.151,0.016,0.056,0.679,-0.87,0.052,0.181,-0.421,0.813
2024-10-15 13:43:44.687,73776.138,0.133,0.313,-0.94,0.056,-0.204,0.069,0.643,-0.712,-0.195,0.141,-0.319,0.801
2024-10-15 13:43:44.806,73776.258,0.114,0.296,-0.948,-0.03,0.121,-0.197,0.797,-0.125,-0.302,0.119,-0.301,0.8
2024-10-15 13:43:44.926,73776.378,0.126,0.173,-0.977,-0.129,-0.276,-0.236,0.944,-0.237,1.317,0.128,-0.174,0.852
2024-10-15 13:43:45.046,73776.498,0.072,0.163,-0.984,0.432,-0.022,0.097,-0.402,-0.325,-2.127,0.073,-0.164,0.771
2024-10-15 13:43:45.166,73776.618,0.11,0.097,-0.989,-0.555,-0.356,-0.08,0.359,-0.416,-0.904,0.111,-0.097,0.845
2024-10-15 13:43:45.285,73776.737,0.083,0.142,-0.986,0.18,0.012,0.154,-0.593,-0.032,-1.793,0.084,-0.142,0.777
2024-10-15 13:43:45.405,73776.857,0.13,0.092,-0.987,-0.166,-0.046,0.052,0.475,-0.219,-0.213,0.131,-0.093,0.835
2024-10-15 13:43:45.525,73776.977,0.09,0.116,-0.989,0.155,-0.163,-0.059,-0.989,-0.335,-1.353,0.09,-0.117,0.801
2024-10-15 13:43:45.646,73777.097,0.127,0.083,-0.988,-0.189,-0.015,0.163,0.052,0.104,-0.241,0.128,-0.084,0.841
2024-10-15 13:43:45.765,73777.217,0.098,0.071,-0.993,0.116,-0.262,-0.07,-0.706,-0.439,-0.768,0.098,-0.071,0.819
2024-10-15 13:43:45.885,73777.336,0.113,0.071,-0.991,-0.098,-0.093,0.073,-0.658,0.702,0.623,0.113,-0.071,0.859
2024-10-15 13:43:46.005,73777.456,0.101,0.052,-0.994,-0.001,-0.22,0.021,-0.484,-0.398,-0.545,0.101,-0.052,0.854
2024-10-15 13:43:46.124,73777.576,0.096,0.1,-0.99,0.136,-0.216,-0.067,-0.316,0.803,0.542,0.096,-0.1,0.836
2024-10-15 13:43:46.244,73777.696,0.112,0.086,-0.99,-0.123,-0.127,-0.11,-0.209,-0.053,-0.178,0.113,-0.086,0.847
2024-10-15 13:43:46.364,73777.815,0.083,0.114,-0.99,0.362,-0.454,0.143,-0.567,-0.094,-0.228,0.084,-0.114,0.819
2024-10-15 13:43:46.484,73777.935,0.1,0.118,-0.988,0.02,0.033,0.143,-0.981,0.239,-0.408,0.101,-0.118,0.799
2024-10-15 13:43:46.603,73778.055,0.098,0.106,-0.989,-0.302,-0.187,0.293,-0.104,-0.287,-0.394,0.099,-0.107,0.825
2024-10-15 13:43:46.723,73778.175,0.08,0.129,-0.988,0.234,0.147,0.095,0.287,-0.368,-1.021,0.081,-0.129,0.758
2024-10-15 13:43:46.843,73778.295,0.113,0.121,-0.986,-0.024,-0.174,-0.223,0.156,0.464,0.477,0.114,-0.121,0.803
2024-10-15 13:43:46.963,73778.414,0.094,0.127,-0.987,0.243,0.016,-0.009,-0.388,-0.816,-1.151,0.095,-0.127,0.776
2024-10-15 13:43:47.083,73778.534,0.105,0.103,-0.989,-0.498,-0.172,-0.03,0.327,-0.46,-0.997,0.105,-0.103,0.813
2024-10-15 13:43:47.203,73778.654,0.081,0.123,-0.989,0.142,0.05,0.089,0.159,-0.437,-0.606,0.082,-0.123,0.774
2024-10-15 13:43:47.322,73778.774,0.11,0.096,-0.989,-0.422,-0.085,-0.096,0.588,-0.222,-0.643,0.111,-0.096,0.829
2024-10-15 13:43:47.442,73778.894,0.085,0.11,-0.99,0.11,0.27,0.002,0.489,-0.664,-0.64,0.086,-0.111,0.801
2024-10-15 13:43:47.562,73779.013,0.104,0.1,-0.989,-0.341,-0.106,-0.122,0.447,-0.265,-0.901,0.105,-0.1,0.846
2024-10-15 13:43:47.681,73779.133,0.091,0.178,-0.98,0.059,-0.013,-0.166,-1.584,-0.349,-0.569,0.092,-0.179,0.808
2024-10-15 13:43:47.801,73779.253,0.156,0.422,-0.893,0.194,-0.159,0.226,-0.308,-0.615,-0.175,0.173,-0.436,0.779
2024-10-15 13:43:47.921,73779.373,0.107,0.329,-0.938,-0.139,-0.241,0.274,-0.778,-0.538,0.393,0.114,-0.335,0.831
2024-10-15 13:43:48.041,73779.493,0.096,0.246,-0.965,0.126,0.105,-0.217,1.28,0.272,-1.172,0.099,-0.248,0.76
2024-10-15 13:43:48.161,73779.612,0.09,0.287,-0.954,0.006,-0.469,0.043,-1.034,-0.935,0.97,0.094,-0.291,0.812
2024-10-15 13:43:48.280,73779.732,0.11,0.281,-0.954,-0.099,0.104,0.01,-0.733,1.528,-0.331,0.115,-0.284,0.739
2024-10-15 13:43:48.400,73779.852,0.12,0.347,-0.93,-0.183,-0.055,0.042,-0.815,-0.261,1.068,0.129,-0.354,0.86
2024-10-15 13:43:48.520,73779.972,0.099,0.316,-0.943,0.103,-0.088,-0.097,-0.781,0.883,-1.456,0.105,-0.322,0.747
2024-10-15 13:43:48.640,73780.092,0.152,0.357,-0.922,-0.011,-0.217,0.047,0.193,-0.284,0.724,0.164,-0.365,0.763
2024-10-15 13:43:48.760,73780.211,0.147,0.291,-0.945,-0.068,0.013,-0.113,0.658,-0.024,0.486,0.155,-0.296,0.803
2024-10-15 13:43:48.880,73780.331,0.14,0.254,-0.957,-0.018,-0.022,0.052,0.441,-0.471,0.277,0.145,-0.257,0.829
2024-10-15 13:43:48.999,73780.451,0.105,0.261,-0.96,0.028,-0.017,0.021,-0.081,-0.272,-0.138,0.109,-0.264,0.812
2024-10-15 13:43:49.119,73780.571,0.09,0.287,-0.954,0.033,0.112,-0.004,-0.155,0.12,0.138,0.095,-0.291,0.815
2024-10-15 13:43:49.239,73780.691,0.089,0.257,-0.962,-0.007,0.035,0.069,0.633,-0.385,0.534,0.092,-0.26,0.848
2024-10-15 13:43:49.360,73780.81,0.081,0.238,-0.968,0.186,-0.025,0.074,0.115,-0.042,0.682,0.084,-0.241,0.851
2024-10-15 13:43:49.478,73780.93,0.079,0.214,-0.974,-0.517,-0.01,-0.026,-0.622,0.302,-0.733,0.081,-0.216,0.883
2024-10-15 13:43:49.598,73781.05,0.068,0.236,-0.969,0.349,0.05,-0.03,0.441,0.836,1.909,0.07,-0.239,0.825
2024-10-15 13:43:49.718,73781.17,0.091,0.182,-0.979,-0.672,0.051,-0.051,-0.186,0.078,-0.408,0.093,-0.183,0.878
2024-10-15 13:43:49.838,73781.29,0.07,0.195,-0.978,0.519,-0.113,0.203,0.555,0.28,1.059,0.072,-0.196,0.822
2024-10-15 13:43:49.957,73781.409,0.112,0.179,-0.978,-0.568,0.196,-0.141,0.406,-0.169,-0.34,0.114,-0.18,0.868
