Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-01 08:19:29.947,22782.563,0.027,-0.396,-0.918,0.006,-0.04,0.031,-0.067,-0.012,-0.019,0.029,0.407,1.43
2024-10-01 08:19:29.974,22782.683,0.026,-0.395,-0.918,0.002,0.002,0.006,-0.011,-0.008,0.001,0.028,0.406,1.431
2024-10-01 08:19:29.986,22782.803,0.026,-0.396,-0.918,-0.002,0.004,0.008,0.003,-0.007,0.0,0.028,0.407,1.431
2024-10-01 08:19:30.000,22782.922,0.026,-0.398,-0.917,0.001,-0.002,0.008,0.026,-0.01,-0.001,0.029,0.41,1.43
2024-10-01 08:19:30.018,22783.042,0.026,-0.4,-0.916,-0.003,0.007,0.006,0.009,0.013,-0.005,0.028,0.412,1.43
2024-10-01 08:19:30.033,22783.162,0.028,-0.402,-0.915,0.002,0.003,0.008,0.016,-0.004,-0.001,0.03,0.413,1.429
2024-10-01 08:19:30.047,22783.282,0.028,-0.405,-0.914,0.001,-0.02,0.012,-0.033,-0.008,-0.001,0.031,0.417,1.429
2024-10-01 08:19:30.062,22783.402,0.03,-0.406,-0.913,-0.003,-0.008,0.013,-0.001,0.012,-0.006,0.033,0.418,1.428
2024-10-01 08:19:30.075,22783.521,0.03,-0.405,-0.914,-0.004,0.0,0.005,-0.016,0.01,-0.005,0.033,0.417,1.428
2024-10-01 08:19:30.090,22783.641,0.031,-0.405,-0.914,-0.001,0.005,0.008,0.002,-0.013,0.003,0.033,0.417,1.428
2024-10-01 08:19:30.105,22783.761,0.031,-0.406,-0.913,0.001,-0.006,0.01,-0.025,0.001,-0.001,0.034,0.418,1.428
2024-10-01 08:19:30.117,22783.881,0.031,-0.405,-0.914,-0.002,0.006,0.007,-0.007,0.005,-0.004,0.034,0.417,1.428
2024-10-01 08:19:30.130,22784.001,0.031,-0.406,-0.913,-0.006,-0.004,0.01,-0.011,0.014,-0.003,0.034,0.418,1.428
2024-10-01 08:19:30.143,22784.12,0.031,-0.405,-0.914,-0.001,-0.001,0.005,-0.006,0.008,-0.001,0.034,0.417,1.428
2024-10-01 08:19:30.155,22784.24,0.031,-0.406,-0.914,0.002,0.01,0.003,0.015,-0.008,0.002,0.034,0.418,1.428
2024-10-01 08:19:30.168,22784.36,0.031,-0.406,-0.913,-0.003,0.005,0.009,0.001,0.004,-0.004,0.034,0.418,1.428
2024-10-01 08:19:30.181,22784.48,0.031,-0.405,-0.914,-0.001,0.001,0.005,0.006,0.002,0.001,0.033,0.417,1.428
2024-10-01 08:19:30.193,22784.599,0.031,-0.406,-0.913,0.002,-0.001,0.006,-0.004,-0.009,0.007,0.034,0.418,1.428
2024-10-01 08:19:30.206,22784.719,0.031,-0.406,-0.913,0.001,0.002,0.011,-0.009,-0.012,-0.0,0.034,0.418,1.428
2024-10-01 08:19:30.219,22784.839,0.031,-0.406,-0.914,-0.004,-0.003,0.01,-0.011,0.006,-0.003,0.034,0.418,1.428
2024-10-01 08:19:30.232,22784.959,0.031,-0.405,-0.914,-0.004,0.005,0.005,0.007,0.016,0.001,0.034,0.417,1.428
2024-10-01 08:19:30.245,22785.079,0.031,-0.405,-0.914,-0.002,0.007,-0.001,0.01,0.01,-0.002,0.034,0.417,1.428
2024-10-01 08:19:30.269,22785.198,0.031,-0.405,-0.914,0.004,0.01,0.006,0.009,-0.012,0.006,0.034,0.417,1.429
2024-10-01 08:19:30.389,22785.318,0.03,-0.404,-0.914,-0.002,0.004,0.008,0.004,0.004,0.001,0.033,0.416,1.429
2024-10-01 08:19:30.508,22785.438,0.03,-0.404,-0.914,0.002,0.002,0.006,-0.005,-0.008,0.003,0.033,0.416,1.429
2024-10-01 08:19:30.629,22785.558,0.03,-0.403,-0.914,-0.002,0.008,0.002,0.006,0.003,0.002,0.033,0.415,1.429
2024-10-01 08:19:30.748,22785.678,0.03,-0.404,-0.914,-0.001,0.003,0.01,-0.0,0.009,-0.001,0.033,0.416,1.429
2024-10-01 08:19:30.869,22785.797,0.031,-0.403,-0.915,-0.005,0.007,0.006,0.009,0.016,-0.005,0.033,0.415,1.429
2024-10-01 08:19:30.989,22785.917,0.031,-0.404,-0.914,-0.0,0.002,-0.002,0.011,-0.001,0.002,0.034,0.416,1.429
