Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:37:37.197,162590.04,0.041,0.737,-0.675,-0.1,-0.049,-0.112,0.081,0.186,0.205,0.061,-0.829,1.962
2024-09-23 11:37:37.208,162590.05,0.044,0.737,-0.675,-0.069,-0.066,-0.129,-0.035,0.259,0.17,0.065,-0.828,1.965
2024-09-23 11:37:37.218,162590.06,0.047,0.737,-0.674,-0.027,-0.018,-0.116,-0.05,0.398,0.245,0.07,-0.829,1.968
2024-09-23 11:37:37.227,162590.07,0.052,0.737,-0.673,-0.001,-0.004,-0.093,-0.07,0.423,0.209,0.077,-0.829,1.972
2024-09-23 11:37:37.237,162590.08,0.056,0.738,-0.673,0.033,-0.043,-0.062,-0.134,0.424,0.178,0.083,-0.83,1.975
2024-09-23 11:37:37.248,162590.09,0.06,0.739,-0.671,0.058,-0.007,-0.009,-0.22,0.369,0.112,0.089,-0.832,1.977
2024-09-23 11:37:37.258,162590.1,0.063,0.741,-0.669,0.012,0.035,-0.017,-0.283,0.304,0.056,0.094,-0.834,1.979
2024-09-23 11:37:37.268,162590.11,0.065,0.743,-0.667,0.001,-0.011,-0.038,-0.331,0.243,-0.014,0.097,-0.837,1.979
2024-09-23 11:37:37.277,162590.12,0.066,0.745,-0.664,0.008,-0.049,-0.032,-0.338,0.143,-0.072,0.099,-0.84,1.979
2024-09-23 11:37:37.288,162590.13,0.066,0.747,-0.661,-0.009,-0.031,-0.017,-0.349,0.017,-0.123,0.099,-0.844,1.978
2024-09-23 11:37:37.297,162590.14,0.064,0.749,-0.659,0.023,-0.004,-0.018,-0.294,-0.084,-0.182,0.097,-0.847,1.976
2024-09-23 11:37:37.308,162590.15,0.063,0.751,-0.657,0.026,-0.004,-0.035,-0.123,-0.133,-0.091,0.095,-0.85,1.975
2024-09-23 11:37:37.317,162590.16,0.061,0.751,-0.657,0.025,0.017,-0.044,0.07,-0.192,-0.045,0.093,-0.85,1.974
