,Date,timestamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudeRoll,AttitudePitch,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ
0,37:37.2,1730438818.0,-0.525321424,0.789426267,0.182720423,-0.688715837,0.786190546,-0.922808662,0.546363294,0.635546267,-0.545498133,-1.23983705,-0.708815455,4.535608292
1,37:37.2,1730438818.0,-0.383632064,0.658056974,0.273171723,-0.664398906,0.809399317,-0.870744983,0.569896162,0.61658603,-0.543175995,-1.182371974,-1.170091152,4.62977314
2,37:37.2,1730438818.0,-0.302536309,0.544475198,0.312887251,-0.638183965,0.826135315,-0.819980391,0.590591669,0.595737815,-0.544332504,-1.141832948,-1.645766377,4.738839149
3,37:37.2,1730438818.0,-0.277927637,0.508280873,0.339893043,-0.610276676,0.836809083,-0.770241818,0.608478725,0.573094189,-0.548923194,-1.045288563,-2.02854085,4.822987556
4,37:37.2,1730438818.0,-0.241427422,0.493077695,0.362091184,-0.581156366,0.841751701,-0.72228028,0.623370171,0.548990846,-0.556793272,-1.006667137,-2.377830267,4.831396103
5,37:37.2,1730438818.0,-0.20182097,0.388781607,0.3738662,-0.552238466,0.841632663,-0.674748471,0.634880662,0.524594247,-0.567210317,-1.145089388,-2.768909454,4.838896275
6,37:37.3,1730438818.0,-0.161547661,0.249370158,0.38364923,-0.525225449,0.837153206,-0.625835125,0.642626762,0.5014081,-0.579327941,-1.553012252,-3.149032116,4.805398941
7,37:37.3,1730438818.0,-0.124839962,0.165287435,0.392032564,-0.50264637,0.830443571,-0.572928862,0.646919429,0.481746256,-0.591113985,-2.259881735,-3.382234812,4.738790512
8,37:37.3,1730438818.0,-0.146287799,0.096299142,0.412916958,-0.486734346,0.823435356,-0.514633838,0.648301899,0.467741996,-0.600767851,-3.168521643,-3.537633896,4.573448658
9,37:37.3,1730438818.0,-0.170564592,-0.002029002,0.409253836,-0.478431957,0.817506417,-0.450696272,0.647539079,0.460387766,-0.607236564,-3.974064827,-3.585256338,4.372483253
10,37:37.3,1730438818.0,-0.161296129,-0.112373263,0.316691518,-0.477684796,0.812774808,-0.38250671,0.644908249,0.459724367,-0.610529959,-4.764733791,-3.65903759,4.052558422
11,37:37.3,1730438818.0,-0.11197108,-0.19811663,0.156147599,-0.485178372,0.808682991,-0.310489184,0.639894664,0.466366142,-0.610767961,-5.5208745,-3.833997726,3.665274858
12,37:37.3,1730438818.0,-0.045309424,-0.274387628,0.037414789,-0.500845874,0.805232383,-0.234983298,0.63243717,0.480167687,-0.607834101,-6.288279057,-4.00415802,3.301860094
13,37:37.3,1730438818.0,0.024642944,-0.364276946,-0.043748438,-0.524554935,0.803837104,-0.155151255,0.623214662,0.500827849,-0.600645423,-7.005977631,-4.101751328,2.939088583
14,37:37.3,1730438818.0,0.063405871,-0.453209639,-0.131869435,-0.554744995,0.805173196,-0.072767012,0.612833142,0.526726544,-0.589062512,-7.359039783,-4.096457958,2.530016899
15,37:37.3,1730438818.0,0.080632925,-0.559600949,-0.233971298,-0.589198278,0.809502686,0.010439233,0.601877391,0.55569464,-0.573539019,-7.510232925,-4.029233932,2.191826582
16,37:37.4,1730438818.0,0.083718956,-0.608489513,-0.378104389,-0.625640557,0.818399634,0.093589981,0.591772377,0.585616648,-0.553948164,-7.41412735,-3.670017004,1.908156037
17,37:37.4,1730438818.0,0.077307701,-0.456211805,-0.38957715,-0.661740862,0.832679795,0.175341354,0.58359623,0.614491165,-0.530863464,-7.074607372,-3.328133106,1.656696558
