Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:40:14.407,162747.249,0.134,0.898,-0.419,-0.058,-0.126,0.013,0.45,-0.027,-0.032,0.31,-1.115,1.39
2024-09-23 11:40:14.417,162747.259,0.134,0.896,-0.423,0.044,-0.18,-0.018,0.483,0.084,0.05,0.307,-1.111,1.387
2024-09-23 11:40:14.427,162747.269,0.138,0.893,-0.428,0.173,-0.192,-0.057,0.603,0.227,0.581,0.312,-1.104,1.39
2024-09-23 11:40:14.436,162747.279,0.144,0.89,-0.433,0.24,-0.155,-0.076,0.439,0.044,0.461,0.321,-1.097,1.398
2024-09-23 11:40:14.446,162747.289,0.146,0.888,-0.436,0.378,-0.031,-0.122,0.354,-0.066,0.105,0.323,-1.093,1.401
2024-09-23 11:40:14.456,162747.299,0.145,0.886,-0.439,0.417,0.046,-0.037,0.366,-0.196,-0.179,0.319,-1.09,1.398
2024-09-23 11:40:14.467,162747.309,0.141,0.885,-0.443,0.214,-0.018,0.011,0.421,-0.332,-0.393,0.309,-1.087,1.389
2024-09-23 11:40:14.476,162747.319,0.135,0.884,-0.448,0.103,-0.055,0.026,0.491,-0.412,-0.598,0.293,-1.084,1.376
2024-09-23 11:40:14.487,162747.329,0.128,0.882,-0.453,0.107,-0.035,0.024,0.489,-0.369,-0.695,0.275,-1.081,1.36
2024-09-23 11:40:14.497,162747.339,0.12,0.881,-0.457,0.087,-0.02,0.025,0.414,-0.269,-0.642,0.258,-1.078,1.344
2024-09-23 11:40:14.507,162747.349,0.114,0.88,-0.461,0.042,-0.019,0.031,0.389,-0.222,-0.517,0.243,-1.076,1.33
2024-09-23 11:40:14.517,162747.359,0.109,0.879,-0.465,0.01,-0.008,0.019,0.419,-0.215,-0.418,0.231,-1.073,1.318
2024-09-23 11:40:14.527,162747.369,0.105,0.877,-0.469,-0.007,0.033,0.006,0.424,-0.201,-0.341,0.22,-1.07,1.309
2024-09-23 11:40:14.536,162747.379,0.101,0.876,-0.472,-0.02,0.062,-0.007,0.385,-0.154,-0.252,0.211,-1.067,1.301
2024-09-23 11:40:14.546,162747.389,0.099,0.874,-0.476,-0.033,0.055,-0.019,0.31,-0.077,-0.186,0.205,-1.064,1.295
2024-09-23 11:40:14.556,162747.399,0.097,0.873,-0.478,-0.042,0.025,-0.026,0.192,-0.024,-0.133,0.201,-1.061,1.291
2024-09-23 11:40:14.567,162747.409,0.096,0.873,-0.479,-0.051,-0.006,-0.042,0.06,0.013,-0.039,0.199,-1.06,1.289
2024-09-23 11:40:14.576,162747.419,0.097,0.872,-0.479,-0.063,-0.031,-0.057,-0.032,0.049,0.047,0.199,-1.06,1.289
2024-09-23 11:40:14.586,162747.429,0.098,0.873,-0.478,-0.063,-0.041,-0.056,-0.091,0.088,0.131,0.202,-1.061,1.291
2024-09-23 11:40:14.596,162747.439,0.1,0.873,-0.477,-0.054,-0.034,-0.045,-0.103,0.111,0.208,0.206,-1.061,1.294
2024-09-23 11:40:14.606,162747.449,0.102,0.873,-0.476,-0.049,-0.021,-0.037,-0.075,0.13,0.249,0.211,-1.062,1.299
2024-09-23 11:40:14.616,162747.459,0.105,0.873,-0.476,-0.038,-0.0,-0.024,-0.007,0.106,0.269,0.217,-1.062,1.305
2024-09-23 11:40:14.626,162747.469,0.108,0.873,-0.476,-0.027,0.005,-0.007,0.072,0.063,0.232,0.222,-1.061,1.31
2024-09-23 11:40:14.636,162747.479,0.11,0.872,-0.477,-0.009,0.009,0.007,0.142,0.018,0.171,0.226,-1.059,1.313
2024-09-23 11:40:14.646,162747.489,0.111,0.871,-0.478,0.011,0.016,0.015,0.173,-0.016,0.102,0.228,-1.057,1.315
2024-09-23 11:40:14.656,162747.499,0.111,0.87,-0.48,0.019,0.007,0.017,0.167,-0.035,0.03,0.228,-1.056,1.316
2024-09-23 11:40:14.666,162747.509,0.111,0.869,-0.481,0.021,0.004,0.007,0.151,-0.051,-0.024,0.227,-1.054,1.315
2024-09-23 11:40:14.676,162747.519,0.11,0.869,-0.483,0.016,0.004,-0.005,0.123,-0.062,-0.075,0.225,-1.053,1.313
2024-09-23 11:40:14.686,162747.529,0.109,0.868,-0.484,0.012,-0.009,-0.009,0.111,-0.067,-0.108,0.222,-1.052,1.311
2024-09-23 11:40:14.696,162747.539,0.108,0.868,-0.485,0.012,-0.014,-0.013,0.129,-0.054,-0.125,0.219,-1.051,1.308
2024-09-23 11:40:14.706,162747.549,0.106,0.867,-0.486,0.009,-0.004,-0.013,0.156,-0.051,-0.127,0.216,-1.05,1.305
2024-09-23 11:40:14.716,162747.559,0.105,0.867,-0.488,0.0,0.012,-0.006,0.238,-0.072,-0.104,0.212,-1.048,1.302
2024-09-23 11:40:14.726,162747.569,0.104,0.865,-0.49,-0.004,0.016,0.005,0.368,-0.075,-0.064,0.209,-1.046,1.299
2024-09-23 11:40:14.736,162747.579,0.103,0.864,-0.493,-0.003,0.014,0.017,0.316,-0.046,-0.024,0.207,-1.042,1.297
2024-09-23 11:40:14.746,162747.589,0.103,0.862,-0.496,-0.003,0.037,0.023,0.29,-0.037,0.028,0.205,-1.039,1.296
2024-09-23 11:40:14.756,162747.599,0.104,0.861,-0.498,-0.027,0.051,0.004,0.227,-0.064,0.079,0.205,-1.037,1.296
