Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:47:26.958,163179.801,0.195,0.834,-0.517,-0.173,0.013,0.064,-0.13,-0.148,-0.445,0.36,-0.986,1.589
2024-09-23 11:47:26.968,163179.811,0.19,0.835,-0.516,-0.193,-0.019,0.076,-0.2,-0.09,-0.483,0.353,-0.989,1.582
2024-09-23 11:47:26.978,163179.821,0.187,0.837,-0.514,-0.153,-0.024,0.078,-0.142,0.119,-0.286,0.349,-0.992,1.577
2024-09-23 11:47:26.988,163179.831,0.187,0.838,-0.513,-0.096,-0.026,0.08,-0.09,0.159,-0.03,0.349,-0.993,1.575
2024-09-23 11:47:26.998,163179.841,0.186,0.839,-0.512,-0.005,-0.021,0.051,-0.143,-0.139,-0.121,0.349,-0.995,1.574
2024-09-23 11:47:27.008,163179.851,0.183,0.84,-0.511,0.096,0.008,0.028,-0.152,-0.379,-0.415,0.343,-0.997,1.571
2024-09-23 11:47:27.018,163179.861,0.177,0.841,-0.511,0.125,0.009,0.062,0.033,-0.243,-0.426,0.333,-0.999,1.563
2024-09-23 11:47:27.028,163179.871,0.174,0.841,-0.512,0.077,-0.053,0.06,0.087,0.1,-0.086,0.328,-0.999,1.558
2024-09-23 11:47:27.038,163179.881,0.175,0.841,-0.512,0.04,-0.092,0.006,0.094,0.144,0.117,0.33,-0.998,1.558
2024-09-23 11:47:27.048,163179.891,0.176,0.84,-0.513,0.087,-0.074,-0.023,0.119,-0.061,0.04,0.331,-0.997,1.559
2024-09-23 11:47:27.058,163179.901,0.176,0.839,-0.515,0.127,-0.068,-0.002,0.361,-0.113,0.018,0.329,-0.995,1.558
2024-09-23 11:47:27.068,163179.911,0.177,0.837,-0.518,0.12,-0.096,0.004,0.461,0.042,0.219,0.329,-0.991,1.558
2024-09-23 11:47:27.079,163179.921,0.179,0.834,-0.523,0.102,-0.104,-0.019,0.533,-0.014,0.216,0.33,-0.986,1.559
2024-09-23 11:47:27.087,163179.931,0.18,0.83,-0.527,0.132,-0.047,-0.06,0.575,-0.114,0.115,0.329,-0.98,1.558
2024-09-23 11:47:27.098,163179.941,0.18,0.827,-0.532,0.126,0.003,-0.039,0.563,-0.098,0.033,0.326,-0.974,1.556
2024-09-23 11:47:27.108,163179.951,0.179,0.824,-0.537,0.087,0.007,-0.02,0.54,-0.03,-0.05,0.322,-0.969,1.553
2024-09-23 11:47:27.118,163179.961,0.179,0.821,-0.541,0.049,-0.002,-0.006,0.577,0.049,-0.095,0.319,-0.964,1.549
2024-09-23 11:47:27.128,163179.97,0.178,0.818,-0.546,0.013,-0.016,0.002,0.628,0.092,-0.123,0.316,-0.959,1.544
2024-09-23 11:47:27.138,163179.98,0.178,0.815,-0.551,-0.001,-0.028,0.01,0.647,0.077,-0.14,0.312,-0.953,1.538
2024-09-23 11:47:27.148,163179.99,0.177,0.812,-0.557,0.006,-0.023,0.01,0.681,0.046,-0.129,0.308,-0.947,1.532
2024-09-23 11:47:27.157,163180.0,0.176,0.808,-0.562,0.016,0.005,0.002,0.711,-0.002,-0.095,0.304,-0.941,1.527
2024-09-23 11:47:27.167,163180.01,0.176,0.804,-0.568,0.022,0.028,0.004,0.72,-0.015,-0.048,0.3,-0.934,1.522
2024-09-23 11:47:27.177,163180.02,0.175,0.8,-0.574,0.019,0.04,0.009,0.721,0.005,-0.023,0.296,-0.927,1.518
2024-09-23 11:47:27.187,163180.03,0.175,0.796,-0.579,0.007,0.048,0.01,0.709,0.036,-0.001,0.294,-0.921,1.515
2024-09-23 11:47:27.197,163180.04,0.176,0.792,-0.585,-0.005,0.041,0.007,0.627,0.051,0.019,0.292,-0.914,1.512
2024-09-23 11:47:27.208,163180.05,0.176,0.789,-0.589,-0.009,0.014,0.004,0.512,0.051,0.027,0.29,-0.909,1.509
2024-09-23 11:47:27.218,163180.06,0.177,0.786,-0.592,-0.007,-0.018,-0.005,0.375,0.056,0.031,0.29,-0.904,1.508
2024-09-23 11:47:27.227,163180.07,0.177,0.784,-0.595,-0.004,-0.037,-0.013,0.262,0.06,0.021,0.29,-0.901,1.507
2024-09-23 11:47:27.237,163180.08,0.178,0.783,-0.596,-0.001,-0.043,-0.022,0.16,0.061,0.011,0.29,-0.899,1.506
2024-09-23 11:47:27.247,163180.09,0.178,0.782,-0.597,0.003,-0.04,-0.026,0.079,0.051,-0.006,0.29,-0.898,1.505
2024-09-23 11:47:27.257,163180.1,0.178,0.782,-0.597,0.005,-0.035,-0.024,0.026,0.04,-0.02,0.29,-0.898,1.505
2024-09-23 11:47:27.267,163180.11,0.178,0.782,-0.598,0.008,-0.034,-0.02,0.002,0.019,-0.029,0.29,-0.898,1.505
2024-09-23 11:47:27.277,163180.12,0.178,0.782,-0.598,0.01,-0.033,-0.015,0.008,-0.001,-0.033,0.29,-0.898,1.504
2024-09-23 11:47:27.287,163180.13,0.178,0.782,-0.598,0.011,-0.027,-0.007,0.023,-0.008,-0.036,0.289,-0.898,1.503
2024-09-23 11:47:27.297,163180.14,0.177,0.782,-0.598,0.01,-0.014,-0.002,0.037,-0.016,-0.038,0.288,-0.897,1.503
2024-09-23 11:47:27.307,163180.15,0.177,0.781,-0.598,0.008,0.003,-0.004,0.055,-0.027,-0.034,0.288,-0.897,1.502
2024-09-23 11:47:27.317,163180.16,0.177,0.781,-0.599,0.007,0.016,-0.007,0.078,-0.029,-0.023,0.287,-0.896,1.501
2024-09-23 11:47:27.327,163180.17,0.176,0.781,-0.6,0.006,0.018,-0.002,0.094,-0.03,-0.021,0.286,-0.896,1.501
2024-09-23 11:47:27.337,163180.18,0.176,0.78,-0.6,0.004,0.007,0.004,0.106,-0.023,-0.022,0.285,-0.895,1.5
2024-09-23 11:47:27.347,163180.19,0.176,0.779,-0.601,0.002,-0.007,0.003,0.103,-0.021,-0.025,0.284,-0.894,1.499
2024-09-23 11:47:27.357,163180.2,0.175,0.779,-0.602,0.002,-0.013,0.002,0.117,-0.019,-0.018,0.283,-0.893,1.498
2024-09-23 11:47:27.367,163180.21,0.175,0.778,-0.603,0.001,-0.003,-0.001,0.131,-0.01,-0.004,0.283,-0.891,1.498
2024-09-23 11:47:27.377,163180.22,0.175,0.777,-0.604,-0.0,0.01,-0.0,0.132,0.006,0.013,0.282,-0.89,1.497
2024-09-23 11:47:27.387,163180.23,0.176,0.776,-0.605,-0.004,0.005,0.002,0.123,0.021,0.03,0.282,-0.889,1.497
2024-09-23 11:47:27.397,163180.24,0.176,0.776,-0.606,-0.006,-0.005,0.002,0.125,0.025,0.043,0.283,-0.888,1.497
2024-09-23 11:47:27.407,163180.25,0.177,0.775,-0.607,-0.007,-0.007,-0.002,0.114,0.029,0.04,0.283,-0.886,1.497
2024-09-23 11:47:27.417,163180.26,0.177,0.774,-0.608,-0.006,-0.005,-0.003,0.112,0.035,0.039,0.283,-0.885,1.497
2024-09-23 11:47:27.427,163180.27,0.178,0.773,-0.609,-0.004,0.002,-0.003,0.117,0.024,0.033,0.284,-0.884,1.497
2024-09-23 11:47:27.437,163180.28,0.178,0.773,-0.61,0.001,0.003,-0.001,0.118,0.018,0.017,0.284,-0.883,1.497
