Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-09-23 11:26:49.884,161942.721,-0.028,0.642,-0.766,-0.002,0.0,0.008,-0.032,-0.015,0.007,-0.037,-0.697,1.964
2024-09-23 11:26:49.894,161942.731,-0.028,0.642,-0.766,0.004,-0.012,0.005,-0.019,-0.005,-0.001,-0.037,-0.697,1.964
2024-09-23 11:26:49.904,161942.741,-0.028,0.642,-0.766,0.004,-0.021,-0.004,-0.025,-0.012,0.003,-0.037,-0.698,1.964
2024-09-23 11:26:49.914,161942.751,-0.028,0.643,-0.766,-0.001,-0.019,-0.005,-0.014,-0.01,0.029,-0.037,-0.698,1.965
2024-09-23 11:26:49.924,161942.761,-0.028,0.643,-0.766,-0.005,-0.013,-0.01,-0.017,-0.007,0.018,-0.037,-0.698,1.965
2024-09-23 11:26:49.934,161942.771,-0.028,0.643,-0.766,-0.001,0.001,-0.004,-0.023,-0.041,0.062,-0.037,-0.698,1.965
2024-09-23 11:26:49.944,161942.781,-0.028,0.643,-0.765,-0.013,0.026,-0.005,-0.003,-0.001,0.016,-0.037,-0.698,1.966
2024-09-23 11:26:49.954,161942.791,-0.028,0.643,-0.765,0.003,0.011,0.001,0.022,-0.067,0.048,-0.037,-0.698,1.966
2024-09-23 11:26:49.965,161942.801,-0.028,0.643,-0.766,-0.001,0.003,0.029,0.049,-0.018,0.011,-0.037,-0.698,1.967
2024-09-23 11:26:49.975,161942.811,-0.028,0.642,-0.766,0.01,-0.002,0.02,0.019,-0.078,0.032,-0.037,-0.697,1.967
2024-09-23 11:26:49.984,161942.821,-0.029,0.642,-0.766,0.002,-0.012,0.022,0.056,-0.031,0.047,-0.037,-0.697,1.968
2024-09-23 11:26:49.994,161942.831,-0.029,0.641,-0.767,-0.002,-0.015,0.007,0.097,-0.059,0.021,-0.037,-0.696,1.968
2024-09-23 11:26:50.004,161942.841,-0.029,0.64,-0.768,0.006,0.004,0.037,0.132,-0.084,0.063,-0.038,-0.695,1.969
2024-09-23 11:26:50.014,161942.851,-0.029,0.639,-0.768,-0.013,0.063,0.013,0.148,-0.055,0.037,-0.038,-0.694,1.969
2024-09-23 11:26:50.024,161942.861,-0.03,0.638,-0.769,0.004,0.028,0.005,0.142,-0.098,0.046,-0.038,-0.692,1.97
