Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-11-02 22:36:43.845,39361.063,0.064,-0.31,-0.948,-0.09,-0.01,-0.005,-0.044,-0.015,-0.064,0.068,0.315,1.384
2024-11-02 22:36:43.876,39361.073,0.064,-0.31,-0.949,-0.041,0.013,0.014,-0.041,-0.054,-0.103,0.068,0.315,1.383
2024-11-02 22:36:43.881,39361.083,0.064,-0.309,-0.949,0.01,-0.008,0.035,-0.021,-0.06,-0.128,0.067,0.315,1.382
2024-11-02 22:36:43.885,39361.093,0.064,-0.309,-0.949,0.001,-0.036,0.034,0.017,-0.026,-0.142,0.067,0.314,1.38
2024-11-02 22:36:43.891,39361.103,0.064,-0.31,-0.949,-0.023,-0.032,0.026,0.015,-0.013,-0.151,0.068,0.315,1.379
2024-11-02 22:36:43.896,39361.113,0.065,-0.31,-0.949,-0.035,-0.033,0.022,-0.022,-0.031,-0.166,0.068,0.315,1.377
2024-11-02 22:36:43.899,39361.123,0.065,-0.309,-0.949,-0.032,-0.051,0.024,-0.073,-0.057,-0.192,0.068,0.314,1.375
2024-11-02 22:36:43.908,39361.133,0.065,-0.308,-0.949,-0.022,-0.066,0.025,-0.1,-0.07,-0.207,0.068,0.313,1.373
2024-11-02 22:36:43.915,39361.143,0.065,-0.307,-0.949,-0.024,-0.071,0.025,-0.1,-0.072,-0.226,0.068,0.312,1.371
2024-11-02 22:36:43.926,39361.153,0.065,-0.306,-0.95,-0.024,-0.062,0.021,-0.071,-0.087,-0.249,0.068,0.311,1.368
2024-11-02 22:36:43.936,39361.163,0.065,-0.306,-0.95,-0.012,-0.046,0.021,-0.03,-0.104,-0.288,0.068,0.311,1.366
2024-11-02 22:36:43.945,39361.173,0.065,-0.305,-0.95,-0.0,-0.032,0.016,0.02,-0.101,-0.301,0.068,0.31,1.363
2024-11-02 22:36:43.957,39361.183,0.065,-0.306,-0.95,0.002,-0.015,0.01,0.049,-0.087,-0.308,0.068,0.311,1.359
2024-11-02 22:36:43.966,39361.193,0.065,-0.306,-0.95,-0.006,-0.01,0.004,0.045,-0.082,-0.307,0.068,0.311,1.356
2024-11-02 22:36:43.977,39361.203,0.065,-0.306,-0.95,-0.009,-0.015,-0.001,0.006,-0.087,-0.311,0.068,0.312,1.353
2024-11-02 22:36:43.986,39361.213,0.064,-0.306,-0.95,-0.009,-0.03,-0.004,-0.054,-0.102,-0.324,0.068,0.311,1.35
2024-11-02 22:36:43.995,39361.223,0.064,-0.306,-0.95,-0.011,-0.048,-0.007,-0.114,-0.09,-0.335,0.068,0.311,1.346
2024-11-02 22:36:44.007,39361.233,0.065,-0.305,-0.95,-0.015,-0.057,-0.012,-0.155,-0.062,-0.347,0.068,0.31,1.343
2024-11-02 22:36:44.015,39361.243,0.065,-0.303,-0.951,-0.031,-0.064,-0.015,-0.172,-0.027,-0.366,0.068,0.308,1.339
2024-11-02 22:36:44.026,39361.253,0.066,-0.301,-0.951,-0.045,-0.064,-0.016,-0.157,-0.0,-0.388,0.069,0.306,1.336
2024-11-02 22:36:44.037,39361.263,0.067,-0.3,-0.952,-0.044,-0.06,-0.008,-0.129,0.024,-0.425,0.071,0.304,1.331
2024-11-02 22:36:44.045,39361.273,0.069,-0.298,-0.952,-0.037,-0.054,-0.001,-0.101,0.041,-0.459,0.072,0.303,1.327
